,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Мордовия02,RU000A0JVV49,9,75937.44,107.21,108.28,107.21,107.21,16.95,108.17,8.49,107.88,117,,107.77,107.21,0.0,532821.78,0.0,2020-10-14,467,7.76,,,,20.57,,2018-10-01,600,SUR,,,,,RUB
1,EQOB,2018-10-02,Мордовия02,RU000A0JVV49,5,3219.18,107.21,107.69,107.69,107.69,17.18,107.31,8.11,107.21,5,,107.77,107.69,0.0,536040.96,0.0,2020-10-14,465,8.41,,,,20.57,,2018-10-02,600,SUR,,,,,RUB
2,EQOB,2018-10-03,Мордовия02,RU000A0JVV49,11,263851.44,107.1,108.28,107.69,107.69,17.4,107.52,8.1,108.0,409,,107.69,107.69,0.0,657742.86,0.0,2020-10-14,464,8.24,,,,20.57,,2018-10-03,600,SUR,,,,,RUB
3,EQOB,2018-10-04,Мордовия02,RU000A0JVV49,2,19278.0,107.1,107.1,107.1,107.1,17.63,107.1,8.55,107.1,30,,107.67,107.1,0.0,677020.86,0.0,2020-10-14,463,8.55,,,,20.57,,2018-10-04,600,SUR,,,,,RUB
4,EQOB,2018-10-05,Мордовия02,RU000A0JVV49,3,19912.2,106.7,107.07,106.7,106.7,17.86,107.05,8.85,107.07,31,,107.65,106.7,0.0,696933.06,0.0,2020-10-14,462,8.58,,,,20.57,,2018-10-05,600,SUR,,,,,RUB
5,EQOB,2018-10-08,Мордовия02,RU000A0JVV49,5,218045.7,106.8,107.63,107.63,107.63,18.53,106.89,8.1,106.8,340,,107.22,107.63,0.0,521087.34,0.0,2020-10-14,459,8.67,,,,20.57,,2018-10-08,600,SUR,,,,,RUB
6,EQOB,2018-10-09,Мордовия02,RU000A0JVV49,3,7735.32,107.4,107.47,107.47,107.47,18.76,107.44,8.21,107.4,12,,107.19,107.47,0.0,504846.66,0.0,2020-10-14,458,8.23,,,,20.57,,2018-10-09,600,SUR,,,,,RUB
7,EQOB,2018-10-10,Мордовия02,RU000A0JVV49,7,315465.06,107.2,107.62,107.62,107.62,18.99,107.3,8.08,107.43,490,,107.14,107.62,0.0,531634.08,0.0,2020-10-14,457,8.33,,,,20.57,,2018-10-10,600,SUR,,,,,RUB
8,EQOB,2018-10-11,Мордовия02,RU000A0JVV49,8,20652.72,107.11,107.78,107.59,107.59,19.21,107.57,8.09,107.78,32,,107.18,107.59,0.0,517042.8,0.0,2020-10-14,456,8.11,,,,20.57,,2018-10-11,600,SUR,,,,,RUB
9,EQOB,2018-10-12,Мордовия02,RU000A0JVV49,1,1281.0,106.75,106.75,106.75,106.75,19.44,106.75,8.74,106.75,2,,107.18,106.75,0.0,518323.8,0.0,2020-10-14,455,8.74,,,,20.57,,2018-10-12,600,SUR,,,,,RUB
10,EQOB,2018-10-15,Мордовия02,RU000A0JVV49,3,11619.72,107.54,107.64,107.54,107.54,20.12,107.59,8.09,107.64,18,,107.19,107.54,0.0,529943.52,0.0,2020-10-14,453,8.05,,,,20.57,,2018-10-15,600,SUR,,,,,RUB
11,EQOB,2018-10-16,Мордовия02,RU000A0JVV49,8,108278.34,106.76,107.54,107.46,107.46,20.34,107.42,8.14,107.54,168,,107.23,107.46,0.0,638221.86,0.0,2020-10-14,451,8.17,,,,20.57,,2018-10-16,600,SUR,,,,,RUB
12,EQOB,2018-10-17,Мордовия02,RU000A0JVV49,14,202395.06,107.26,107.44,107.3,107.43,0.0,107.43,8.26,107.39,314,,107.36,107.43,0.0,526910.94,0.0,2020-10-14,465,8.15,,,,20.57,,2018-10-17,600,SUR,,,,,RUB
13,EQOB,2018-10-18,Мордовия02,RU000A0JVV49,14,176144.4,107.4,107.66,107.6,107.6,0.23,107.54,8.01,107.66,273,,107.47,107.6,0.0,500364.06,0.0,2020-10-14,464,8.05,,,,20.57,,2018-10-18,600,SUR,,,,,RUB
14,EQOB,2018-10-19,Мордовия02,RU000A0JVV49,19,439204.92,107.27,107.99,107.27,107.27,0.45,107.33,8.26,107.99,682,,107.37,107.27,0.0,545660.4,0.0,2020-10-14,463,8.21,,,,20.57,,2018-10-19,600,SUR,,,,,RUB
15,EQOB,2018-10-22,Мордовия02,RU000A0JVV49,8,191990.16,107.35,107.48,107.48,107.48,1.13,107.38,8.06,107.35,298,107.35,107.31,107.48,631195.08,507368.88,631195.08,2020-10-14,460,8.14,,,,20.57,,2018-10-22,600,SUR,,,,,RUB
16,EQOB,2018-10-23,Мордовия02,RU000A0JVV49,10,466446.78,107.1,107.88,107.39,107.39,1.36,107.67,8.12,107.87,722,,107.66,107.39,0.0,503204.94,0.0,2020-10-14,459,7.89,,,,20.57,,2018-10-23,600,SUR,,,,,RUB
17,EQOB,2018-10-24,Мордовия02,RU000A0JVV49,20,1219336.14,107.0,108.26,107.51,107.51,1.58,107.24,8.01,108.26,1895,107.24,107.24,107.51,1219336.14,1219336.14,1219336.14,2020-10-14,458,8.22,,,,20.57,,2018-10-24,600,SUR,,,,,RUB
18,EQOB,2018-10-25,Мордовия02,RU000A0JVV49,3,56115.0,107.5,107.5,107.5,107.5,1.81,107.5,8.0,107.5,87,107.25,107.25,107.5,1275451.14,971027.34,1275451.14,2020-10-14,457,8.0,,,,20.57,,2018-10-25,600,SUR,,,,,RUB
19,EQOB,2018-10-26,Мордовия02,RU000A0JVV49,8,617919.36,106.98,107.29,107.28,107.28,2.03,107.17,8.17,107.2,961,107.19,107.19,107.28,674034.36,667584.36,674034.36,2020-10-14,456,8.26,,,,20.57,,2018-10-26,600,SUR,,,,,RUB
20,EQOB,2018-10-29,Мордовия02,RU000A0JVV49,9,201725.88,106.98,107.48,106.98,106.98,2.71,107.07,8.38,106.99,314,107.14,107.14,106.98,819645.24,819645.24,819645.24,2020-10-14,453,8.3,,,,20.57,,2018-10-29,600,SUR,,,,,RUB
21,EQOB,2018-10-30,Мордовия02,RU000A0JVV49,15,90493.62,106.81,107.58,107.28,107.28,2.94,106.97,8.12,107.58,141,,107.13,107.28,0.0,910138.86,0.0,2020-10-14,451,8.37,,,,20.57,,2018-10-30,600,SUR,,,,,RUB
22,EQOB,2018-10-31,Мордовия02,RU000A0JVV49,5,20533.62,106.83,107.05,106.83,106.93,3.16,106.95,8.48,107.05,32,,107.12,106.93,0.0,930672.48,0.0,2020-10-14,450,8.38,,,,20.57,,2018-10-31,600,SUR,,,,,RUB
23,EQOB,2018-11-01,Мордовия02,RU000A0JVV49,16,492996.42,106.85,107.25,107.25,107.15,3.39,107.13,8.12,107.19,767,,107.12,107.15,0.0,506466.36,0.0,2020-10-14,450,8.22,,,,20.57,,2018-11-01,600,SUR,,,,,RUB
24,EQOB,2018-11-02,Мордовия02,RU000A0JVV49,2,8367.24,107.25,107.54,107.25,107.25,3.62,107.27,8.11,107.54,13,107.13,107.13,107.25,501363.66,500720.52,501363.66,2020-10-14,449,8.09,,,,20.57,,2018-11-02,600,SUR,,,,,RUB
25,EQOB,2018-11-06,Мордовия02,RU000A0JVV49,3,25097.22,107.25,107.29,107.25,107.25,4.52,107.25,8.06,107.29,39,107.13,107.13,107.25,526460.88,525817.74,526460.88,2020-10-14,445,8.06,,,,20.57,,2018-11-06,600,SUR,,,,,RUB
26,EQOB,2018-11-07,Мордовия02,RU000A0JVV49,1,643.44,107.24,107.24,107.24,107.24,4.75,107.24,8.06,107.24,1,107.13,107.13,107.24,547637.94,526461.18,547637.94,2020-10-14,444,8.06,,,,20.57,,2018-11-07,600,SUR,,,,,RUB
27,EQOB,2018-11-08,Мордовия02,RU000A0JVV49,4,66753.12,106.81,107.18,107.15,107.15,4.97,106.98,8.12,107.18,104,107.12,107.12,107.15,593857.44,593214.3,593857.44,2020-10-14,443,8.26,,,,20.57,,2018-11-08,600,SUR,,,,,RUB
28,EQOB,2018-11-09,Мордовия02,RU000A0JVV49,4,211366.2,106.75,106.76,106.75,106.75,5.2,106.75,8.44,106.76,330,,106.94,106.75,0.0,507514.8,0.0,2020-10-14,441,8.44,,,,20.57,,2018-11-09,600,SUR,,,,,RUB
29,EQOB,2018-11-12,Мордовия02,RU000A0JVV49,12,150257.7,106.51,107.07,106.52,106.51,5.88,107.02,8.6,107.07,234,,106.95,106.51,0.0,536451.3,0.0,2020-10-14,439,8.18,,,,20.57,,2018-11-12,600,SUR,,,,,RUB
30,EQOB,2018-11-13,Мордовия02,RU000A0JVV49,2,50604.24,106.76,106.76,106.76,106.76,6.1,106.76,8.39,106.76,79,,106.88,106.76,0.0,501503.7,0.0,2020-10-14,437,8.39,,,,20.57,,2018-11-13,600,SUR,,,,,RUB
31,EQOB,2018-11-14,Мордовия02,RU000A0JVV49,2,1926.06,106.99,107.03,106.99,106.99,6.33,107.0,8.18,107.03,3,,106.89,106.99,0.0,503429.76,0.0,2020-10-14,437,8.17,,,,20.57,,2018-11-14,600,SUR,,,,,RUB
32,EQOB,2018-11-15,Мордовия02,RU000A0JVV49,37,129157.2,106.38,106.97,106.42,106.42,6.55,106.57,8.65,106.51,202,,106.78,106.42,0.0,529859.7,0.0,2020-10-14,435,8.52,,,,20.57,,2018-11-15,600,SUR,,,,,RUB
33,EQOB,2018-11-16,Мордовия02,RU000A0JVV49,13,625474.86,106.38,106.84,106.84,106.84,6.78,106.81,8.28,106.77,976,106.81,106.81,106.84,625474.86,625474.86,625474.86,2020-10-14,435,8.31,,,,20.57,,2018-11-16,600,SUR,,,,,RUB
34,EQOB,2018-11-19,Мордовия02,RU000A0JVV49,6,23002.62,106.45,106.85,106.49,106.49,7.46,106.49,8.55,106.85,36,106.8,106.8,106.49,648477.48,647196.24,648477.48,2020-10-14,431,8.55,,,,20.57,,2018-11-19,600,SUR,,,,,RUB
35,EQOB,2018-11-20,Мордовия02,RU000A0JVV49,3,189777.18,106.49,106.5,106.5,106.5,7.68,106.5,8.53,106.49,297,106.73,106.71,106.5,838254.66,569824.32,838254.66,2020-10-14,430,8.53,,,,20.57,,2018-11-20,600,SUR,,,,,RUB
36,EQOB,2018-11-21,Мордовия02,RU000A0JVV49,6,165650.64,106.5,106.7,106.7,106.7,7.91,106.6,8.34,106.7,259,,106.62,106.7,0.0,506637.0,0.0,2020-10-14,429,8.43,,,,20.57,,2018-11-21,600,SUR,,,,,RUB
37,EQOB,2018-11-22,Мордовия02,RU000A0JVV49,5,108809.34,106.5,106.7,106.7,106.7,8.14,106.68,8.33,106.5,170,,106.62,106.7,0.0,600062.82,0.0,2020-10-14,428,8.35,,,,20.57,,2018-11-22,600,SUR,,,,,RUB
38,EQOB,2018-11-23,Мордовия02,RU000A0JVV49,3,130481.52,106.6,106.74,106.6,106.6,8.36,106.6,8.4,106.7,204,,106.59,106.6,0.0,532741.5,0.0,2020-10-14,427,8.4,,,,20.57,,2018-11-23,600,SUR,,,,,RUB
39,EQOB,2018-11-26,Мордовия02,RU000A0JVV49,12,2861318.88,106.5,106.7,106.5,106.5,9.04,106.66,8.46,106.5,4471,106.66,106.66,106.5,2861318.88,2861318.88,2861318.88,2020-10-14,425,8.32,,,,20.57,,2018-11-26,600,SUR,,,,,RUB
40,EQOB,2018-11-27,Мордовия02,RU000A0JVV49,2,1276.62,106.37,106.4,106.37,106.37,9.27,106.39,8.56,106.4,2,106.66,106.66,106.37,2862595.5,2814611.7,2862595.5,2020-10-14,423,8.54,,,,20.57,,2018-11-27,600,SUR,,,,,RUB
