,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,СилМашБО-2,RU000A0JVVW1,25,11071030.0,99.92,100.05,100.04,100.04,53.58,100.0,11.66,100.01,11071,100.0,100.0,100.04,11071030.0,11071030.0,11071030.0,2025-10-15,23,12.33,,,,61.33,2018-10-24,2018-10-01,1000,SUR,,8.9487,,2018-10-31,RUB
1,EQOB,2018-10-02,СилМашБО-2,RU000A0JVVW1,31,4139329.3,99.99,100.05,100.04,100.04,53.92,100.03,11.62,100.01,4138,100.03,100.03,100.04,4139329.3,4139329.3,4139329.3,2025-10-15,22,11.8,,,,61.33,2018-10-24,2018-10-02,1000,SUR,,8.8268,,2018-10-31,RUB
2,EQOB,2018-10-03,СилМашБО-2,RU000A0JVVW1,26,126270789.1,99.97,100.06,100.05,100.05,54.25,100.01,11.42,100.04,126254,100.01,100.01,100.05,126270789.1,126270789.1,126270789.1,2025-10-15,21,12.15,,,,61.33,2018-10-24,2018-10-03,1000,SUR,,11.4152,,2018-10-24,RUB
3,EQOB,2018-10-04,СилМашБО-2,RU000A0JVVW1,15,28907999.7,99.97,100.0,100.0,100.0,54.59,100.0,12.33,99.97,28908,100.0,100.0,100.0,28907999.7,28907999.7,28907999.7,2025-10-15,20,12.33,,,,61.33,2018-10-24,2018-10-04,1000,SUR,,12.3295,,2018-10-24,RUB
4,EQOB,2018-10-05,СилМашБО-2,RU000A0JVVW1,6,9831829.6,99.9,100.05,100.05,100.05,54.93,99.99,11.3,99.98,9833,100.0,99.99,100.05,38739829.3,12508829.6,38739829.3,2025-10-15,19,12.53,,,,61.33,2018-10-24,2018-10-05,1000,SUR,,11.3035,,2018-10-24,RUB
5,EQOB,2018-10-08,СилМашБО-2,RU000A0JVVW1,6,10248832.2,99.9,100.03,99.92,99.92,55.94,100.0,14.28,99.97,10249,99.99,99.99,99.92,20080661.8,19978692.2,20080661.8,2025-10-15,16,12.32,,,,61.33,2018-10-24,2018-10-08,1000,SUR,,14.2752,,2018-10-24,RUB
6,EQOB,2018-10-09,СилМашБО-2,RU000A0JVVW1,8,425850.0,99.9,100.05,100.01,100.01,56.28,99.96,12.05,100.05,426,100.0,100.0,100.01,10674682.2,10448838.9,10674682.2,2025-10-15,15,13.35,,,,61.33,2018-10-24,2018-10-09,1000,SUR,,12.0478,,2018-10-24,RUB
7,EQOB,2018-10-10,СилМашБО-2,RU000A0JVVW1,15,3918136.5,99.9,100.0,100.0,99.93,56.61,99.9,12.32,99.9,3922,99.9,99.9,99.93,3918136.5,3918136.5,3918136.5,2025-10-15,14,15.13,,,,61.33,2018-10-24,2018-10-10,1000,SUR,,12.3226,,2018-10-24,RUB
8,EQOB,2018-10-11,СилМашБО-2,RU000A0JVVW1,16,2616941.3,99.95,100.04,99.96,99.96,56.95,100.0,13.51,100.04,2617,100.0,100.0,99.96,2616941.3,2616941.3,2616941.3,2025-10-15,13,12.31,,,,61.33,2018-10-24,2018-10-11,1000,SUR,,13.512,,2018-10-24,RUB
9,EQOB,2018-10-12,СилМашБО-2,RU000A0JVVW1,16,1461704.2,99.81,100.05,100.04,100.04,57.29,99.91,11.02,100.05,1463,99.91,99.91,100.04,1461704.2,1461704.2,1461704.2,2025-10-15,12,15.25,,,,61.33,2018-10-24,2018-10-12,1000,SUR,,11.0153,,2018-10-24,RUB
