history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;107;19.89;;9.57;;0;106.49;106.81;107;8394345.2;4124987.7;8394345.2;2025-10-17;1429;;;;;27.42;2023-10-20;2018-09-28;1000;SUR;;9.5761;;2023-10-25;RUB
EQOB;2018-10-02;ГТЛК БО-05;RU000A0JVWD9;3;161249;107.49;107.5;107.5;107.5;20.19;107.5;9.44;107.49;150;106.67;107.03;107.5;6417304.5;2587979.5;6417304.5;2025-10-17;1429;9.44;;;;27.42;2023-10-20;2018-10-02;1000;SUR;;9.4246;;2023-10-25;RUB
EQOB;2018-10-03;ГТЛК БО-05;RU000A0JVWD9;1;31965;106.55;106.55;106.55;106.55;20.49;106.55;9.69;106.55;30;106.94;107.02;106.55;3473544.5;2612472;3473544.5;2025-10-17;1426;9.69;;;;27.42;2023-10-20;2018-10-03;1000;SUR;;9.6674;;2023-10-25;RUB
EQOB;2018-10-04;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.55;20.79;;9.69;;0;106.5;107.02;106.55;10398059.2;2612472;10398059.2;2025-10-17;1426;;;;;27.42;2023-10-20;2018-10-03;1000;SUR;;9.6744;;2023-10-25;RUB
EQOB;2018-10-05;ГТЛК БО-05;RU000A0JVWD9;4;92736789.5;106.55;106.6;106.56;106.56;21.1;106.58;9.68;106.55;87009;106.58;106.59;106.56;103134848.7;95230503.5;103134848.7;2025-10-17;1424;9.68;;;;27.42;2023-10-20;2018-10-05;1000;SUR;;9.6632;;2023-10-25;RUB
EQOB;2018-10-08;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.56;22;106.9;9.68;;0;106.58;106.59;106.56;101324348.7;95230503.5;101324348.7;2025-10-17;1422;0;;;;27.42;2023-10-20;2018-10-05;1000;SUR;;9.6845;;2023-10-25;RUB
EQOB;2018-10-09;ГТЛК БО-05;RU000A0JVWD9;2;4262;106.55;106.55;106.55;106.55;22.3;106.55;9.68;106.55;4;106.59;106.58;106.55;99190321;92934265.5;99190321;2025-10-17;1420;9.68;;;;27.42;2023-10-20;2018-10-09;1000;SUR;;9.6632;;2023-10-25;RUB
EQOB;2018-10-10;ГТЛК БО-05;RU000A0JVWD9;1;39405;106.5;106.5;106.5;106.5;22.6;106.5;9.7;106.5;37;106.6;106.58;106.5;96254001;92962921.5;96254001;2025-10-17;1419;9.7;;;;27.42;2023-10-20;2018-10-10;1000;SUR;;9.6755;;2023-10-25;RUB
EQOB;2018-10-11;ГТЛК БО-05;RU000A0JVWD9;5;454753.5;106.7;106.75;106.75;106.75;22.9;106.75;9.63;106.75;426;106.58;106.58;106.75;93235210;93225620.5;93235210;2025-10-17;1418;9.63;;;;27.42;2023-10-20;2018-10-11;1000;SUR;;9.6102;;2023-10-25;RUB
EQOB;2018-10-12;ГТЛК БО-05;RU000A0JVWD9;1;1067.5;106.75;106.75;106.75;106.75;23.21;106.75;9.63;106.75;1;106.59;106.56;106.75;93429491.5;39926688;93429491.5;2025-10-17;1417;9.63;;;;27.42;2023-10-20;2018-10-12;1000;SUR;;9.6093;;2023-10-25;RUB
EQOB;2018-10-15;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.75;24.11;;9.63;;0;106.59;106.56;106.75;93429491.5;39926688;93429491.5;2025-10-17;1414;;;;;27.42;2023-10-20;2018-10-12;1000;SUR;;9.6306;;2023-10-25;RUB
EQOB;2018-10-16;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.75;24.41;;9.63;;0;106.58;106.56;106.75;93268242.5;39926688;93268242.5;2025-10-17;1413;;;;;27.42;2023-10-20;2018-10-12;1000;SUR;;9.6377;;2023-10-25;RUB
EQOB;2018-10-17;ГТЛК БО-05;RU000A0JVWD9;2;259260;106.25;106.26;106.25;106.25;24.71;106.25;9.76;106.26;244;106.58;106.57;106.25;93495537.5;756617;93495537.5;2025-10-17;1411;9.76;;;;27.42;2023-10-20;2018-10-17;1000;SUR;;9.7358;;2023-10-25;RUB
EQOB;2018-10-18;ГТЛК БО-05;RU000A0JVWD9;3;1187675;106.95;107;107;106.97;25.01;107;9.56;107;1110;106.59;106.84;106.97;94683212.5;1900621;94683212.5;2025-10-17;1412;9.56;;;;27.42;2023-10-20;2018-10-18;1000;SUR;;9.5407;;2023-10-25;RUB
EQOB;2018-10-19;ГТЛК БО-05;RU000A0JVWD9;2;1626564;106.8;106.8;106.8;106.8;25.32;106.8;9.61;106.8;1523;106.82;106.82;106.8;3572987;3522915.5;3572987;2025-10-17;1411;9.61;;;;27.42;2023-10-20;2018-10-19;1000;SUR;;9.5914;;2023-10-25;RUB
EQOB;2018-10-22;ГТЛК БО-05;RU000A0JVWD9;5;1300500.5;106.05;106.99;106.05;106.05;26.22;106.16;9.81;106.25;1225;106.65;106.65;106.05;4114739.5;4114739.5;4114739.5;2025-10-17;1406;9.78;;;;27.42;2023-10-20;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;ГТЛК БО-05;RU000A0JVWD9;1;4272;106.8;106.8;106.8;106.8;26.52;106.8;9.61;106.8;4;106.63;106.53;106.8;4378271.5;3027611.5;4378271.5;2025-10-17;1407;9.61;;;;27.42;2023-10-20;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;ГТЛК БО-05;RU000A0JVWD9;4;392983.7;106.78;106.79;106.79;106.79;26.82;106.79;9.61;106.78;368;106.31;106.31;106.79;1697756.2;1697756.2;1697756.2;2025-10-17;1406;9.61;;;;27.42;2023-10-20;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;ГТЛК БО-05;RU000A0JVWD9;1;2117;105.85;105.85;105.85;105.85;27.12;105.85;9.86;105.85;2;106.55;106.34;105.85;3326437.2;1062373.2;3326437.2;2025-10-17;1402;9.86;;;;27.42;2023-10-20;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;105.85;0;;9.86;;0;106.31;106.34;105.85;1699873.2;1062373.2;1699873.2;2025-10-17;1439;;;;;27.42;2023-10-20;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-29;ГТЛК БО-05;RU000A0JVWD9;3;350006;105.85;106.2;105.85;106.06;0.9;106.06;9.85;106.2;330;106.6;106.36;106.06;5123378.2;966781.2;5123378.2;2025-10-17;1435;9.8;;;;27.42;2023-10-20;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;ГТЛК БО-05;RU000A0JVWD9;7;4122247;105.85;106;105.95;105.94;1.21;105.89;9.83;105.85;3893;105.9;105.9;105.94;4472253;4472253;4472253;2025-10-17;1434;9.84;;;;27.42;2023-10-20;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;ГТЛК БО-05;RU000A0JVWD9;5;880416.6;105.9;105.95;105.95;105.95;1.51;105.95;9.83;105.95;831;105.9;105.91;105.95;5002663.6;4311461.6;5002663.6;2025-10-17;1433;9.83;;;;27.42;2023-10-20;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;ГТЛК БО-05;RU000A0JVWD9;1;52950;105.9;105.9;105.9;105.9;1.81;105.9;9.84;105.9;50;105.9;105.89;105.9;5055613.6;3728411.6;5055613.6;2025-10-17;1432;9.84;;;;27.42;2023-10-20;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;ГТЛК БО-05;RU000A0JVWD9;2;159150;106;106.15;106.15;106.15;2.11;106.1;9.77;106;150;105.91;105.96;106.15;5564769.6;1770561.6;5564769.6;2025-10-17;1431;9.78;;;;27.42;2023-10-20;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.15;3.32;;9.77;;0;105.91;105.96;106.15;5214763.6;1770561.6;5214763.6;2025-10-17;1427;;;;;27.42;2023-10-20;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-07;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.15;3.62;;9.77;;0;105.97;105.96;106.15;5959870.3;1770561.6;5959870.3;2025-10-17;1426;;;;;27.42;2023-10-20;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-08;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.15;3.92;;9.77;;0;105.91;105.96;106.15;5566886.6;1770561.6;5566886.6;2025-10-17;1425;;;;;27.42;2023-10-20;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-09;ГТЛК БО-05;RU000A0JVWD9;1;10575;105.75;105.75;105.75;105.75;4.22;105.75;9.87;105.75;10;105.91;105.96;105.75;5575344.6;1744089.1;5575344.6;2025-10-17;1424;9.87;;;;27.42;2023-10-20;2018-11-09;1000;SUR;;;;;RUB
EQOB;2018-11-12;ГТЛК БО-05;RU000A0JVWD9;1;30734.2;105.98;105.98;105.98;105.98;5.12;105.98;9.81;105.98;29;105.91;105.97;105.98;5606078.8;1133825.8;5606078.8;2025-10-17;1421;9.81;;;;27.42;2023-10-20;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;ГТЛК БО-05;RU000A0JVWD9;1;10599;105.99;105.99;105.99;105.99;5.42;105.99;9.81;105.99;10;105.91;105.97;105.99;5266671.8;1143365.3;5266671.8;2025-10-17;1420;9.81;;;;27.42;2023-10-20;2018-11-13;1000;SUR;;;;;RUB
EQOB;2018-11-14;ГТЛК БО-05;RU000A0JVWD9;1;42300;105.75;105.75;105.75;105.75;5.73;105.75;9.87;105.75;40;105.96;105.96;105.75;1186724.8;1184605.8;1186724.8;2025-10-17;1419;9.87;;;;27.42;2023-10-20;2018-11-14;1000;SUR;;;;;RUB
EQOB;2018-11-15;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;105.75;6.03;;9.87;;0;;105.96;105.75;0;1184605.8;0;2025-10-17;1418;;;;;27.42;2023-10-20;2018-11-14;1000;SUR;;;;;RUB
EQOB;2018-11-16;ГТЛК БО-05;RU000A0JVWD9;5;1061999;106.15;106.65;106.65;106.65;6.33;106.2;9.63;106.15;1000;106.16;106.17;106.65;1315357.2;1262357.2;1315357.2;2025-10-17;1418;9.75;;;;27.42;2023-10-20;2018-11-16;1000;SUR;;;;;RUB
EQOB;2018-11-19;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.65;7.23;;9.63;;0;;106.17;106.65;0;1262357.2;0;2025-10-17;1415;;;;;27.42;2023-10-20;2018-11-16;1000;SUR;;;;;RUB
EQOB;2018-11-20;ГТЛК БО-05;RU000A0JVWD9;1;21330;106.65;106.65;106.65;106.65;7.53;106.65;9.63;106.65;20;106.18;106.18;106.65;1177537.2;1177537.2;1177537.2;2025-10-17;1415;9.63;;;;27.42;2023-10-20;2018-11-20;1000;SUR;;;;;RUB
EQOB;2018-11-21;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.65;7.84;;9.62;;0;106.18;106.18;106.65;1177537.2;1177537.2;1177537.2;2025-10-17;1413;;;;;27.42;2023-10-20;2018-11-20;1000;SUR;;;;;RUB
EQOB;2018-11-22;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.65;8.14;;9.62;;0;106.18;106.18;106.65;1177537.2;1177537.2;1177537.2;2025-10-17;1412;;;;;27.42;2023-10-20;2018-11-20;1000;SUR;;;;;RUB
EQOB;2018-11-23;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.65;8.44;;9.62;;0;;106.18;106.65;0;1177537.2;0;2025-10-17;1411;;;;;27.42;2023-10-20;2018-11-20;1000;SUR;;;;;RUB
EQOB;2018-11-26;ГТЛК БО-05;RU000A0JVWD9;0;0;;;;106.65;9.34;;9.62;;0;;106.18;106.65;0;1177537.2;0;2025-10-17;1408;;;;;27.42;2023-10-20;2018-11-20;1000;SUR;;;;;RUB
EQOB;2018-11-27;ГТЛК БО-05;RU000A0JVWD9;1;53300;106.6;106.6;106.6;106.6;9.64;106.6;9.63;106.6;50;;106.2;106.6;0;1220262.2;0;2025-10-17;1408;9.63;;;;27.42;2023-10-20;2018-11-27;1000;SUR;;;;;RUB
EQOB;2018-11-28;ГТЛК БО-05;RU000A0JVWD9;1;79987.5;106.65;106.65;106.65;106.65;9.95;106.65;9.62;106.65;75;;106.24;106.65;0;1269515.5;0;2025-10-17;1407;9.62;;;;27.42;2023-10-20;2018-11-28;1000;SUR;;;;;RUB
