,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ФинАвиа 02,RU000A0JVZG5,3,7115.2,13.95,14.0,14.0,14.0,,13.95,,13.96,51,14.2,14.45,14.0,864565.1,514403.1,864565.1,2027-07-31,2331,0.0,,,,0.05,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,ФинАвиа 02,RU000A0JVZG5,8,18242.6,13.96,14.49,14.49,14.49,,14.48,,14.46,126,,14.45,14.49,0.0,532645.7,0.0,2027-07-31,2335,0.0,,,,0.05,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,ФинАвиа 02,RU000A0JVZG5,8,37903.6,13.7,14.49,14.47,14.47,,13.83,,14.49,274,,14.39,14.47,0.0,533999.3,0.0,2027-07-31,2327,0.0,,,,0.05,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,ФинАвиа 02,RU000A0JVZG5,6,5012.5,13.75,14.49,13.75,13.81,,13.92,,14.48,36,,14.37,13.81,0.0,503923.8,0.0,2027-07-31,2327,0.0,,,,0.05,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,ФинАвиа 02,RU000A0JVZG5,1,289.8,14.49,14.49,14.49,14.49,,14.49,,14.49,2,,14.37,14.49,0.0,504213.6,0.0,2027-07-31,2332,0.0,,,,0.05,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,ФинАвиа 02,RU000A0JVZG5,1,149.9,14.99,14.99,14.99,14.99,,14.99,,14.99,1,,14.37,14.99,0.0,504363.5,0.0,2027-07-31,2334,0.0,,,,0.05,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ФинАвиа 02,RU000A0JVZG5,0,0.0,,,,14.99,,,,,0,,14.37,14.99,0.0,504363.5,0.0,2027-07-31,2326,,,,,0.05,,2018-10-08,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ФинАвиа 02,RU000A0JVZG5,6,32825.4,14.12,14.45,14.2,14.35,,14.4,,14.45,228,,14.35,14.35,0.0,500588.9,0.0,2027-07-31,2326,0.0,,,,0.05,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ФинАвиа 02,RU000A0JVZG5,6,16735.0,13.81,14.46,14.46,13.83,,13.83,,14.0,121,,14.33,13.83,0.0,517323.9,0.0,2027-07-31,2318,0.0,,,,0.05,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ФинАвиа 02,RU000A0JVZG5,17,135113.5,13.74,14.48,14.4,13.75,,13.8,,14.48,979,,14.22,13.75,0.0,652437.4,0.0,2027-07-31,2317,0.0,,,,0.05,,2018-10-12,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,ФинАвиа 02,RU000A0JVZG5,9,55545.3,13.8,13.99,13.99,13.99,,13.82,,13.99,402,,14.19,13.99,0.0,707982.7,0.0,2027-07-31,2314,0.0,,,,0.05,,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,ФинАвиа 02,RU000A0JVZG5,17,14110.1,13.73,16.5,14.4,13.81,,13.83,,16.5,102,,14.18,13.81,0.0,722092.8,0.0,2027-07-31,2313,0.0,,,,0.05,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,ФинАвиа 02,RU000A0JVZG5,26,195142.9,13.71,14.49,13.99,13.72,,14.06,,14.48,1388,,13.96,13.72,0.0,507173.1,0.0,2027-07-31,2314,0.0,,,,0.05,,2018-10-17,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,ФинАвиа 02,RU000A0JVZG5,5,9736.1,13.7,13.9,13.9,13.9,,13.71,,13.74,71,,13.94,13.9,0.0,502419.2,0.0,2027-07-31,2309,0.0,,,,0.05,,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,ФинАвиа 02,RU000A0JVZG5,8,33731.2,13.67,14.0,13.88,13.88,,13.94,,13.98,242,,13.94,13.88,0.0,525936.4,0.0,2027-07-31,2311,0.0,,,,0.05,,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,ФинАвиа 02,RU000A0JVZG5,41,609255.0,11.99,14.02,13.67,12.03,,12.51,,14.02,4869,12.51,12.51,12.03,609255.0,609255.0,609255.0,2027-07-31,2291,0.0,,,,0.05,,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,ФинАвиа 02,RU000A0JVZG5,356,18791268.8,9.25,13.29,9.7,9.7,,9.49,,12.02,198081,9.49,9.49,9.7,18791268.8,18791268.8,18791268.8,2027-07-31,2249,0.0,,,,0.05,,2018-10-23,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,ФинАвиа 02,RU000A0JVZG5,158,1636838.7,9.12,11.19,9.2,9.21,,9.55,,9.7,17147,9.55,9.55,9.21,1636838.7,1636838.7,1636838.7,2027-07-31,2249,0.0,,,,0.05,,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,ФинАвиа 02,RU000A0JVZG5,91,713941.5,8.75,9.8,9.41,9.41,,9.17,,9.6,7788,9.17,9.17,9.41,713941.5,713941.5,713941.5,2027-07-31,2242,0.0,,,,0.05,,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,ФинАвиа 02,RU000A0JVZG5,12,66002.7,9.0,9.89,9.45,9.45,,9.0,,9.01,733,,9.12,9.45,0.0,609872.2,0.0,2027-07-31,2238,0.0,,,,0.05,,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,ФинАвиа 02,RU000A0JVZG5,55,619527.7,8.6,9.99,9.4,9.4,,8.66,,9.99,7150,8.66,8.66,9.4,619527.7,619527.7,619527.7,2027-07-31,2228,0.0,,,,0.05,,2018-10-29,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,ФинАвиа 02,RU000A0JVZG5,15,147524.2,8.99,9.7,9.45,9.45,,9.14,,8.99,1614,,8.81,9.45,0.0,503109.3,0.0,2027-07-31,2235,0.0,,,,0.05,,2018-10-30,1000,SUR,,,,,RUB
