,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ПКТ 01,RU000A0JW0S4,4,160909.0,106.5,110.0,106.55,106.52,37.33,106.56,9.95,110.0,151,,106.66,106.52,0.0,973830.0,0.0,2025-12-09,705,9.94,,,,65.32,2020-12-15,2018-10-01,1000,SUR,,9.9176,,2020-12-18,RUB
1,EQOB,2018-10-02,ПКТ 01,RU000A0JW0S4,2,54335.4,106.54,106.54,106.54,106.54,37.68,106.54,9.95,106.54,51,106.64,106.64,106.54,961937.4,961937.4,961937.4,2025-12-09,704,9.95,,,,65.32,2020-12-15,2018-10-02,1000,SUR,,9.9194,,2020-12-18,RUB
2,EQOB,2018-10-03,ПКТ 01,RU000A0JW0S4,4,788033.1,106.2,106.4,106.2,106.2,38.04,106.2,10.12,106.39,742,106.28,106.28,106.2,1003277.5,1003277.5,1003277.5,2025-12-09,703,10.12,,,,65.32,2020-12-15,2018-10-03,1000,SUR,,10.0913,,2020-12-18,RUB
3,EQOB,2018-10-04,ПКТ 01,RU000A0JW0S4,0,0.0,,,,106.2,38.4,,10.12,,0,106.33,106.28,106.2,1269595.5,1003277.5,1269595.5,2025-12-09,702,,,,,65.32,2020-12-15,2018-10-03,1000,SUR,,10.1063,,2020-12-18,RUB
4,EQOB,2018-10-05,ПКТ 01,RU000A0JW0S4,4,416696.0,106.3,106.3,106.3,106.3,38.76,106.3,10.07,106.3,392,106.29,106.25,106.3,1419973.5,1259064.5,1419973.5,2025-12-09,701,10.07,,,,65.32,2020-12-15,2018-10-05,1000,SUR,,10.0321,,2020-12-18,RUB
5,EQOB,2018-10-08,ПКТ 01,RU000A0JW0S4,6,2413692.0,105.2,106.25,106.25,106.25,39.84,105.36,10.08,106.25,2291,105.49,105.49,106.25,2830388.0,2830388.0,2830388.0,2025-12-09,697,10.55,,,,65.32,2020-12-15,2018-10-08,1000,SUR,,10.047,,2020-12-18,RUB
6,EQOB,2018-10-09,ПКТ 01,RU000A0JW0S4,3,478000.0,106.2,106.3,106.2,106.2,40.2,106.22,10.1,106.3,450,105.6,105.53,106.2,3308388.0,2997992.0,3308388.0,2025-12-09,697,10.09,,,,65.32,2020-12-15,2018-10-09,1000,SUR,,10.0694,,2020-12-18,RUB
7,EQOB,2018-10-10,ПКТ 01,RU000A0JW0S4,2,2123.6,106.18,106.18,106.18,106.18,40.56,106.18,10.11,106.18,2,105.5,105.47,106.18,2893815.6,2787565.6,2893815.6,2025-12-09,696,10.11,,,,65.32,2020-12-15,2018-10-10,1000,SUR,,10.0761,,2020-12-18,RUB
8,EQOB,2018-10-11,ПКТ 01,RU000A0JW0S4,4,232797.0,106.3,106.3,106.3,106.3,40.92,106.3,10.04,106.3,219,105.64,106.25,106.3,3543308.6,925420.6,3543308.6,2025-12-09,695,10.04,,,,65.32,2020-12-15,2018-10-11,1000,SUR,,10.0098,,2020-12-18,RUB
9,EQOB,2018-10-12,ПКТ 01,RU000A0JW0S4,9,1381899.7,106.27,106.3,106.3,106.3,41.27,106.3,10.04,106.3,1300,106.3,106.3,106.3,1614696.7,1488199.7,1614696.7,2025-12-09,694,10.04,,,,65.32,2020-12-15,2018-10-12,1000,SUR,,10.0066,,2020-12-18,RUB
10,EQOB,2018-10-15,ПКТ 01,RU000A0JW0S4,5,2607220.0,106.0,106.3,106.0,106.0,42.35,106.24,10.19,106.29,2454,106.26,106.26,106.0,3989119.7,3351319.7,3989119.7,2025-12-09,691,10.06,,,,65.32,2020-12-15,2018-10-15,1000,SUR,,10.1529,,2020-12-18,RUB
11,EQOB,2018-10-16,ПКТ 01,RU000A0JW0S4,13,1725542.0,105.33,106.3,106.1,106.1,42.71,106.25,10.13,106.3,1624,106.25,106.25,106.1,1725542.0,1725542.0,1725542.0,2025-12-09,690,10.05,,,,65.32,2020-12-15,2018-10-16,1000,SUR,,10.0967,,2020-12-18,RUB
12,EQOB,2018-10-17,ПКТ 01,RU000A0JW0S4,5,684760.0,106.0,106.0,106.0,106.0,43.07,106.0,10.18,106.0,646,106.18,106.01,106.0,2410302.0,914875.5,2410302.0,2025-12-09,689,10.18,,,,65.32,2020-12-15,2018-10-17,1000,SUR,,10.1458,,2020-12-18,RUB
13,EQOB,2018-10-18,ПКТ 01,RU000A0JW0S4,2,16039.0,106.0,107.39,107.39,107.39,43.43,106.93,9.45,106.0,15,106.19,106.04,107.39,2426341.0,914060.0,2426341.0,2025-12-09,688,9.69,,,,65.32,2020-12-15,2018-10-18,1000,SUR,,9.4157,,2020-12-18,RUB
14,EQOB,2018-10-19,ПКТ 01,RU000A0JW0S4,3,321725.4,106.18,106.18,106.18,106.18,43.79,106.18,10.08,106.18,303,106.07,106.07,106.18,1022524.4,1022524.4,1022524.4,2025-12-09,687,10.08,,,,65.32,2020-12-15,2018-10-19,1000,SUR,,10.0436,,2020-12-18,RUB
15,EQOB,2018-10-22,ПКТ 01,RU000A0JW0S4,1,1074.9,107.49,107.49,107.49,107.49,44.86,107.49,9.38,107.49,1,106.19,106.07,107.49,2749141.3,1022539.3,2749141.3,2025-12-09,685,9.38,,,,65.32,2020-12-15,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,ПКТ 01,RU000A0JW0S4,0,0.0,,,,107.49,45.22,,9.37,,0,106.07,106.07,107.49,1023599.3,1022539.3,1023599.3,2025-12-09,683,,,,,65.32,2020-12-15,2018-10-22,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,ПКТ 01,RU000A0JW0S4,3,22387.5,106.25,107.0,106.25,106.25,45.58,106.61,10.02,107.0,21,106.23,106.17,106.25,6993445.5,514926.8,6993445.5,2025-12-09,682,9.83,,,,65.32,2020-12-15,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,ПКТ 01,RU000A0JW0S4,20,10753330.6,106.1,107.3,106.1,106.1,45.94,106.68,10.1,106.99,10134,106.11,106.11,106.1,10753330.6,10753330.6,10753330.6,2025-12-09,681,9.79,,,,65.32,2020-12-15,2018-10-25,1000,SUR,,,,,RUB
