,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ГТЛК БО-07,RU000A0JW1P8,1,12867030.0,99.0,99.0,99.0,99.0,1.34,99.0,8.93,99.0,12997,99.01,99.02,99.0,18684418.8,16349610.2,18684418.8,2025-12-16,750,8.93,,,,20.32,2020-12-22,2018-10-01,1000,SUR,,8.9019,,2020-12-25,RUB
1,EQOB,2018-10-02,ГТЛК БО-07,RU000A0JW1P8,7,20757814.6,99.1,99.5,99.46,99.45,1.56,99.26,8.69,99.5,20943,99.06,99.07,99.45,34580448.3,33655680.3,34580448.3,2025-12-16,749,8.79,,,,20.32,2020-12-22,2018-10-02,1000,SUR,,8.6581,,2020-12-25,RUB
2,EQOB,2018-10-03,ГТЛК БО-07,RU000A0JW1P8,5,18988800.0,98.9,98.9,98.9,98.9,1.79,98.9,8.99,98.9,19200,99.01,98.96,98.9,39746614.6,24880619.6,39746614.6,2025-12-16,748,8.99,,,,20.32,2020-12-22,2018-10-03,1000,SUR,,8.956,,2020-12-25,RUB
3,EQOB,2018-10-04,ГТЛК БО-07,RU000A0JW1P8,2,8928.0,99.2,99.2,99.2,99.2,2.01,99.2,8.83,99.2,9,99.01,98.93,99.2,39755542.6,19934547.6,39755542.6,2025-12-16,747,8.83,,,,20.32,2020-12-22,2018-10-04,1000,SUR,,8.7965,,2020-12-25,RUB
4,EQOB,2018-10-05,ГТЛК БО-07,RU000A0JW1P8,4,3487892.9,99.45,99.47,99.47,99.46,2.23,99.46,8.68,99.45,3507,98.99,99.0,99.46,22485620.9,19914220.9,22485620.9,2025-12-16,746,8.69,,,,20.32,2020-12-22,2018-10-05,1000,SUR,,8.6533,,2020-12-25,RUB
5,EQOB,2018-10-08,ГТЛК БО-07,RU000A0JW1P8,5,2319536.2,99.41,99.47,99.43,99.47,2.9,99.47,8.71,99.41,2332,99.46,99.46,99.47,5816357.1,5811397.1,5816357.1,2025-12-16,743,8.68,,,,20.32,2020-12-22,2018-10-08,1000,SUR,,8.6752,,2020-12-25,RUB
6,EQOB,2018-10-09,ГТЛК БО-07,RU000A0JW1P8,1,3987.2,99.68,99.68,99.68,99.68,3.13,99.68,8.57,99.68,4,99.46,99.46,99.68,5811416.3,5811416.3,5811416.3,2025-12-16,743,8.57,,,,20.32,2020-12-22,2018-10-09,1000,SUR,,8.5418,,2020-12-25,RUB
7,EQOB,2018-10-10,ГТЛК БО-07,RU000A0JW1P8,5,1169763.4,99.3,100.24,99.3,99.3,3.35,99.3,8.78,100.24,1178,99.41,99.41,99.3,3493286.8,3484339.9,3493286.8,2025-12-16,741,8.78,,,,20.32,2020-12-22,2018-10-10,1000,SUR,,8.745,,2020-12-25,RUB
8,EQOB,2018-10-11,ГТЛК БО-07,RU000A0JW1P8,9,2578700.0,99.4,100.0,99.7,99.7,3.57,99.53,8.56,99.4,2591,99.46,99.47,99.7,3748463.4,3373100.0,3748463.4,2025-12-16,741,8.65,,,,20.32,2020-12-22,2018-10-11,1000,SUR,,8.5317,,2020-12-25,RUB
9,EQOB,2018-10-12,ГТЛК БО-07,RU000A0JW1P8,1,100000.0,100.0,100.0,100.0,100.0,3.8,100.0,8.4,100.0,100,99.54,99.54,100.0,2678700.0,2678700.0,2678700.0,2025-12-16,740,8.4,,,,20.32,2020-12-22,2018-10-12,1000,SUR,,8.3717,,2020-12-25,RUB
10,EQOB,2018-10-15,ГТЛК БО-07,RU000A0JW1P8,0,0.0,,,,100.0,4.47,,8.4,,0,99.54,99.54,100.0,2678700.0,2678700.0,2678700.0,2025-12-16,737,,,,,20.32,2020-12-22,2018-10-12,1000,SUR,,8.4071,,2020-12-25,RUB
11,EQOB,2018-10-16,ГТЛК БО-07,RU000A0JW1P8,0,0.0,,,,100.0,4.69,,8.4,,0,99.47,99.54,100.0,3848463.4,2678700.0,3848463.4,2025-12-16,736,,,,,20.32,2020-12-22,2018-10-12,1000,SUR,,8.4189,,2020-12-25,RUB
12,EQOB,2018-10-17,ГТЛК БО-07,RU000A0JW1P8,0,0.0,,,,100.0,4.91,,8.4,,0,99.54,99.54,100.0,2678700.0,2678700.0,2678700.0,2025-12-16,735,,,,,20.32,2020-12-22,2018-10-12,1000,SUR,,8.4308,,2020-12-25,RUB
13,EQOB,2018-10-18,ГТЛК БО-07,RU000A0JW1P8,0,0.0,,,,100.0,5.14,,8.4,,0,99.46,99.54,100.0,9659879.7,2678700.0,9659879.7,2025-12-16,734,,,,,20.32,2020-12-22,2018-10-12,1000,SUR,,8.4428,,2020-12-25,RUB
14,EQOB,2018-10-19,ГТЛК БО-07,RU000A0JW1P8,2,313686.0,99.9,99.9,99.9,99.9,5.36,99.9,8.45,99.9,314,99.49,99.69,99.9,6485672.8,1500386.0,6485672.8,2025-12-16,733,8.45,,,,20.32,2020-12-22,2018-10-19,1000,SUR,,8.4247,,2020-12-25,RUB
15,EQOB,2018-10-22,ГТЛК БО-07,RU000A0JW1P8,4,1990976.0,98.8,99.45,98.8,98.8,6.03,99.45,9.05,99.45,2002,99.48,99.53,98.8,6157112.6,2445562.0,6157112.6,2025-12-16,729,8.7,,,,20.32,2020-12-22,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,ГТЛК БО-07,RU000A0JW1P8,3,1981938.0,98.8,99.0,99.0,99.0,6.25,98.8,8.94,98.8,2006,99.32,99.2,99.0,8135063.4,4386600.0,8135063.4,2025-12-16,728,9.05,,,,20.32,2020-12-22,2018-10-23,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,ГТЛК БО-07,RU000A0JW1P8,4,1987875.0,98.1,99.0,99.0,99.0,6.48,99.0,8.94,98.1,2008,99.08,99.04,99.0,5960789.0,5376023.0,5960789.0,2025-12-16,727,8.94,,,,20.32,2020-12-22,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,ГТЛК БО-07,RU000A0JW1P8,4,60318.0,98.8,98.9,98.8,98.8,6.7,98.88,9.06,98.8,61,98.9,98.9,98.8,4030131.0,4029143.0,4030131.0,2025-12-16,726,9.01,,,,20.32,2020-12-22,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,ГТЛК БО-07,RU000A0JW1P8,2,163172.0,98.8,98.96,98.96,98.89,6.92,98.89,8.97,98.8,165,98.99,98.99,98.89,2211365.0,2211365.0,2211365.0,2025-12-16,725,9.01,,,,20.32,2020-12-22,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,ГТЛК БО-07,RU000A0JW1P8,0,0.0,,,,98.89,7.59,,8.97,,0,98.9,98.99,98.89,4193303.0,2211365.0,4193303.0,2025-12-16,722,,,,,20.32,2020-12-22,2018-10-26,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,ГТЛК БО-07,RU000A0JW1P8,2,1980949.5,98.8,98.99,98.99,98.99,7.82,98.8,8.95,98.8,2005,98.9,98.9,98.99,4192314.5,4186419.5,4192314.5,2025-12-16,721,9.06,,,,20.32,2020-12-22,2018-10-30,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,ГТЛК БО-07,RU000A0JW1P8,0,0.0,,,,98.99,8.04,,8.95,,0,99.04,98.9,98.99,8478914.5,4186419.5,8478914.5,2025-12-16,720,,,,,20.32,2020-12-22,2018-10-30,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,ГТЛК БО-07,RU000A0JW1P8,0,0.0,,,,98.99,8.26,,8.96,,0,99.04,98.9,98.99,8478914.5,4186419.5,8478914.5,2025-12-16,719,,,,,20.32,2020-12-22,2018-10-30,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,ГТЛК БО-07,RU000A0JW1P8,0,0.0,,,,98.99,8.48,,8.96,,0,99.01,98.9,98.99,8165228.5,4186419.5,8165228.5,2025-12-16,718,,,,,20.32,2020-12-22,2018-10-30,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,ГТЛК БО-07,RU000A0JW1P8,6,154038.0,98.1,99.0,98.95,98.12,9.38,98.11,8.98,98.1,157,98.85,98.76,98.12,6328290.5,2298159.5,6328290.5,2025-12-16,714,9.45,,,,20.32,2020-12-22,2018-11-06,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,ГТЛК БО-07,RU000A0JW1P8,0,0.0,,,,98.12,9.6,,8.98,,0,98.87,98.76,98.12,4346352.5,2298159.5,4346352.5,2025-12-16,713,,,,,20.32,2020-12-22,2018-11-06,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,ГТЛК БО-07,RU000A0JW1P8,2,2950.0,98.1,98.8,98.8,98.33,9.82,98.33,9.07,98.1,3,98.76,98.75,98.33,2361427.5,2137937.5,2361427.5,2025-12-16,712,9.33,,,,20.32,2020-12-22,2018-11-08,1000,SUR,,,,,RUB
