,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,МЕТАЛИНБ02,RU000A0JWBF6,0,0.0,,,,105.0,1.8,,8.85,,0,105.44,105.44,105.0,25556476.0,25535385.0,25556476.0,2026-03-17,817,,,,,54.6,2021-03-23,2018-09-28,1000,SUR,,8.8657,,2021-03-26,RUB
1,EQOB,2018-10-02,МЕТАЛИНБ02,RU000A0JWBF6,4,3886050.0,105.0,105.0,105.0,105.0,2.1,105.0,8.85,105.0,3701,105.29,105.03,105.0,35233734.5,7657005.0,35233734.5,2026-03-17,816,8.85,,,,54.6,2021-03-23,2018-10-02,1000,SUR,,8.8216,,2021-03-26,RUB
2,EQOB,2018-10-03,МЕТАЛИНБ02,RU000A0JWBF6,2,5288557.4,105.74,105.75,105.75,105.75,2.4,105.75,8.5,105.74,5001,105.35,105.38,105.75,40522291.9,10330662.4,40522291.9,2026-03-17,815,8.5,,,,54.6,2021-03-23,2018-10-03,1000,SUR,,8.4745,,2021-03-26,RUB
3,EQOB,2018-10-04,МЕТАЛИНБ02,RU000A0JWBF6,0,0.0,,,,105.75,2.7,,8.5,,0,105.34,105.38,105.75,40077763.4,10330662.4,40077763.4,2026-03-17,814,,,,,54.6,2021-03-23,2018-10-03,1000,SUR,,8.4853,,2021-03-26,RUB
4,EQOB,2018-10-05,МЕТАЛИНБ02,RU000A0JWBF6,0,0.0,,,,105.75,3.0,,8.49,,0,105.37,105.38,105.75,37347763.4,10330662.4,37347763.4,2026-03-17,813,,,,,54.6,2021-03-23,2018-10-03,1000,SUR,,8.4961,,2021-03-26,RUB
5,EQOB,2018-10-08,МЕТАЛИНБ02,RU000A0JWBF6,0,0.0,,,,105.75,3.9,,8.49,,0,105.43,105.38,105.75,34731083.4,10330662.4,34731083.4,2026-03-17,810,,,,,54.6,2021-03-23,2018-10-03,1000,SUR,,8.5288,,2021-03-26,RUB
6,EQOB,2018-10-09,МЕТАЛИНБ02,RU000A0JWBF6,0,0.0,,,,105.75,4.2,,8.48,,0,105.32,105.38,105.75,12418062.4,10330662.4,12418062.4,2026-03-17,809,,,,,54.6,2021-03-23,2018-10-03,1000,SUR,,8.5397,,2021-03-26,RUB
7,EQOB,2018-10-10,МЕТАЛИНБ02,RU000A0JWBF6,1,1046500.0,104.65,104.65,104.65,104.65,4.5,104.65,8.99,104.65,1000,,105.32,104.65,0.0,11364562.4,0.0,2026-03-17,808,8.99,,,,54.6,2021-03-23,2018-10-10,1000,SUR,,8.9638,,2021-03-26,RUB
8,EQOB,2018-10-11,МЕТАЛИНБ02,RU000A0JWBF6,3,10475500.0,104.65,104.8,104.8,104.8,4.8,104.76,8.92,104.65,10000,105.05,105.05,104.8,21746607.4,20696607.4,21746607.4,2026-03-17,807,8.94,,,,54.6,2021-03-23,2018-10-11,1000,SUR,,8.8913,,2021-03-26,RUB
9,EQOB,2018-10-12,МЕТАЛИНБ02,RU000A0JWBF6,0,0.0,,,,104.8,5.1,,8.92,,0,105.05,105.05,104.8,20696607.4,20696607.4,20696607.4,2026-03-17,806,,,,,54.6,2021-03-23,2018-10-11,1000,SUR,,8.9027,,2021-03-26,RUB
