history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;СИБУРХол10;RU000A0JWBK6;0;0;;;;105;1.73;;8.4;;0;;104.02;105;0;4351320.6;0;2026-03-17;820;;;;;52.36;2021-03-23;2018-09-28;1000;SUR;;8.4113;;2021-03-26;RUB
EQOB;2018-10-02;СИБУРХол10;RU000A0JWBK6;2;7348.8;104.7;105.69;104.7;104.7;2.01;104.98;8.53;105.69;7;104.03;104.03;104.7;4353484.4;4350334.7;4353484.4;2026-03-17;819;8.4;;;;52.36;2021-03-23;2018-10-02;1000;SUR;;8.5069;;2021-03-26;RUB
EQOB;2018-10-03;СИБУРХол10;RU000A0JWBK6;1;10485;104.85;104.85;104.85;104.85;2.3;104.85;8.46;104.85;10;104.03;104.01;104.85;4360819.7;4308269.7;4360819.7;2026-03-17;818;8.46;;;;52.36;2021-03-23;2018-10-03;1000;SUR;;8.4354;;2021-03-26;RUB
EQOB;2018-10-04;СИБУРХол10;RU000A0JWBK6;1;2115.8;105.79;105.79;105.79;105.79;2.59;105.79;8.03;105.79;2;;104.02;105.79;0;4309345.4;0;2026-03-17;818;8.03;;;;52.36;2021-03-23;2018-10-04;1000;SUR;;8.0037;;2021-03-26;RUB
EQOB;2018-10-05;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.79;2.88;;8.02;;0;;104.02;105.79;0;4309345.4;0;2026-03-17;816;;;;;52.36;2021-03-23;2018-10-04;1000;SUR;;8.0139;;2021-03-26;RUB
EQOB;2018-10-08;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.79;3.74;;8.02;;0;;104.02;105.79;0;4309345.4;0;2026-03-17;813;;;;;52.36;2021-03-23;2018-10-04;1000;SUR;;8.0445;;2021-03-26;RUB
EQOB;2018-10-09;СИБУРХол10;RU000A0JWBK6;1;10577;105.77;105.77;105.77;105.77;4.03;105.77;8.02;105.77;10;;104.02;105.77;0;4318872.4;0;2026-03-17;813;8.02;;;;52.36;2021-03-23;2018-10-09;1000;SUR;;7.9982;;2021-03-26;RUB
EQOB;2018-10-10;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.77;4.32;;8.02;;0;;104.02;105.77;0;4318872.4;0;2026-03-17;811;;;;;52.36;2021-03-23;2018-10-09;1000;SUR;;8.0084;;2021-03-26;RUB
EQOB;2018-10-11;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.77;4.6;;8.02;;0;;104.02;105.77;0;4318872.4;0;2026-03-17;810;;;;;52.36;2021-03-23;2018-10-09;1000;SUR;;8.0187;;2021-03-26;RUB
EQOB;2018-10-12;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.77;4.89;;8.01;;0;;104.02;105.77;0;4318872.4;0;2026-03-17;809;;;;;52.36;2021-03-23;2018-10-09;1000;SUR;;8.0289;;2021-03-26;RUB
EQOB;2018-10-15;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.77;5.75;;8.01;;0;;104.02;105.77;0;4318872.4;0;2026-03-17;806;;;;;52.36;2021-03-23;2018-10-09;1000;SUR;;8.0599;;2021-03-26;RUB
EQOB;2018-10-16;СИБУРХол10;RU000A0JWBK6;1;15840;105.6;105.6;105.6;105.6;6.04;105.6;8.08;105.6;15;;104.02;105.6;0;4330508.8;0;2026-03-17;806;8.08;;;;52.36;2021-03-23;2018-10-16;1000;SUR;;8.056;;2021-03-26;RUB
EQOB;2018-10-17;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.6;6.33;;8.08;;0;;104.02;105.6;0;4330508.8;0;2026-03-17;804;;;;;52.36;2021-03-23;2018-10-16;1000;SUR;;8.0664;;2021-03-26;RUB
EQOB;2018-10-18;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.6;6.62;;8.07;;0;;104.02;105.6;0;4330508.8;0;2026-03-17;803;;;;;52.36;2021-03-23;2018-10-16;1000;SUR;;8.0768;;2021-03-26;RUB
EQOB;2018-10-19;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.6;6.9;;8.07;;0;;104.02;105.6;0;4330508.8;0;2026-03-17;802;;;;;52.36;2021-03-23;2018-10-16;1000;SUR;;8.0872;;2021-03-26;RUB
EQOB;2018-10-22;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.6;7.77;;8.06;;0;;104.02;105.6;0;4330508.8;0;2026-03-17;799;;;;;52.36;2021-03-23;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-23;СИБУРХол10;RU000A0JWBK6;1;1057.4;105.74;105.74;105.74;105.74;8.05;105.74;8;105.74;1;;104.02;105.74;0;4326311.2;0;2026-03-17;799;8;;;;52.36;2021-03-23;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.74;8.34;;7.99;;0;;104.02;105.74;0;4326311.2;0;2026-03-17;797;;;;;52.36;2021-03-23;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-25;СИБУРХол10;RU000A0JWBK6;0;0;;;;105.74;8.63;;7.99;;0;;104.02;105.74;0;4326311.2;0;2026-03-17;796;;;;;52.36;2021-03-23;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-26;СИБУРХол10;RU000A0JWBK6;2;17783;104.5;104.7;104.5;104.5;8.92;104.61;8.57;104.7;17;;104.03;104.5;0;4344094.2;0;2026-03-17;795;8.52;;;;52.36;2021-03-23;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;СИБУРХол10;RU000A0JWBK6;0;0;;;;104.5;9.78;;8.56;;0;;104.03;104.5;0;4344094.2;0;2026-03-17;792;;;;;52.36;2021-03-23;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-30;СИБУРХол10;RU000A0JWBK6;0;0;;;;104.5;10.07;;8.56;;0;;104.03;104.5;0;4344094.2;0;2026-03-17;791;;;;;52.36;2021-03-23;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-31;СИБУРХол10;RU000A0JWBK6;0;0;;;;104.5;10.36;104.21;8.56;;0;;104.03;104.5;0;4344094.2;0;2026-03-17;790;0;;;;52.36;2021-03-23;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-11-01;СИБУРХол10;RU000A0JWBK6;4;154072.5;104.1;104.55;104.1;104.1;10.64;104.1;8.74;104.55;148;;104.03;104.1;0;4498166.7;0;2026-03-17;789;8.74;;;;52.36;2021-03-23;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;СИБУРХол10;RU000A0JWBK6;1;1057.9;105.79;105.79;105.79;105.79;10.93;105.79;7.94;105.79;1;;104.03;105.79;0;4499224.6;0;2026-03-17;789;7.94;;;;52.36;2021-03-23;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;СИБУРХол10;RU000A0JWBK6;1;1040.2;104.02;104.02;104.02;104.02;12.08;104.02;8.77;104.02;1;;104.03;104.02;0;4500264.8;0;2026-03-17;784;8.77;;;;52.36;2021-03-23;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;СИБУРХол10;RU000A0JWBK6;6;1824202.6;104;105;105;105;12.37;104;8.3;104.04;1754;104.01;104.01;105;1980373.2;1978286.7;1980373.2;2026-03-17;783;8.78;;;;52.36;2021-03-23;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-08;СИБУРХол10;RU000A0JWBK6;0;0;;;;105;12.66;;8.3;;0;104.01;104.01;105;1980373.2;1978286.7;1980373.2;2026-03-17;782;;;;;52.36;2021-03-23;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-09;СИБУРХол10;RU000A0JWBK6;0;0;;;;105;12.95;104.16;8.3;;0;104.02;104.01;105;1998156.2;1978286.7;1998156.2;2026-03-17;781;0;;;;52.36;2021-03-23;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-12;СИБУРХол10;RU000A0JWBK6;0;0;;;;105;13.81;;8.29;;0;104.01;104.01;105;1980373.2;1978286.7;1980373.2;2026-03-17;778;;;;;52.36;2021-03-23;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-13;СИБУРХол10;RU000A0JWBK6;0;0;;;;105;14.1;;8.28;;0;104.01;104.01;105;1980373.2;1978286.7;1980373.2;2026-03-17;777;;;;;52.36;2021-03-23;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-14;СИБУРХол10;RU000A0JWBK6;0;0;;;;105;14.38;;8.28;;0;104.01;104.01;105;1980373.2;1978286.7;1980373.2;2026-03-17;776;;;;;52.36;2021-03-23;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-15;СИБУРХол10;RU000A0JWBK6;0;0;;;;105;14.67;;8.28;;0;104.01;104.01;105;1980373.2;1978286.7;1980373.2;2026-03-17;775;;;;;52.36;2021-03-23;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-16;СИБУРХол10;RU000A0JWBK6;3;110873.5;104.55;104.6;104.55;104.55;14.96;104.6;8.49;104.6;106;104.04;104.04;104.55;1937174.2;1936116.3;1937174.2;2026-03-17;774;8.47;;;;52.36;2021-03-23;2018-11-16;1000;SUR;;;;;RUB
EQOB;2018-11-19;СИБУРХол10;RU000A0JWBK6;3;19869;104.55;104.6;104.6;104.6;15.82;104.57;8.46;104.55;19;104.04;104.04;104.6;1955985.3;1950783.7;1955985.3;2026-03-17;771;8.48;;;;52.36;2021-03-23;2018-11-19;1000;SUR;;;;;RUB
EQOB;2018-11-20;СИБУРХол10;RU000A0JWBK6;1;6270;104.5;104.5;104.5;104.5;16.11;104.5;8.51;104.5;6;104.04;104.04;104.5;1961215.1;1954973.3;1961215.1;2026-03-17;770;8.51;;;;52.36;2021-03-23;2018-11-20;1000;SUR;;;;;RUB
EQOB;2018-11-21;СИБУРХол10;RU000A0JWBK6;0;0;;;;104.5;16.4;;8.51;;0;;104.04;104.5;0;1954973.3;0;2026-03-17;769;;;;;52.36;2021-03-23;2018-11-20;1000;SUR;;;;;RUB
