history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ТМК БО-5;RU000A0JWCM0;1;384187.5;102.45;102.45;102.45;102.45;61.62;102.45;8.28;102.45;375;102.38;102.39;102.45;4520251.8;3700267.9;4520251.8;2026-04-01;180;8.28;;;;64.82;2019-04-10;2018-10-01;1000;SUR;;7.9901;;2019-04-17;RUB
EQOB;2018-10-02;ТМК БО-5;RU000A0JWCM0;13;52162.4;101.81;102.48;102.47;102.47;61.97;102.28;8.21;101.81;51;;102.39;102.47;0;1962835.7;0;2026-04-01;179;8.6;;;;64.82;2019-04-10;2018-10-02;1000;SUR;;7.9273;;2019-04-17;RUB
EQOB;2018-10-03;ТМК БО-5;RU000A0JWCM0;0;0;;;;102.47;62.33;;8.19;;0;;102.39;102.47;0;1962835.7;0;2026-04-01;178;;;;;64.82;2019-04-10;2018-10-02;1000;SUR;;7.9719;;2019-04-17;RUB
EQOB;2018-10-04;ТМК БО-5;RU000A0JWCM0;0;0;;;;102.47;62.68;;8.16;;0;;102.39;102.47;0;1962835.7;0;2026-04-01;177;;;;;64.82;2019-04-10;2018-10-02;1000;SUR;;8.0171;;2019-04-17;RUB
EQOB;2018-10-05;ТМК БО-5;RU000A0JWCM0;0;0;;;;102.47;63.04;;8.14;;0;;102.39;102.47;0;1962835.7;0;2026-04-01;176;;;;;64.82;2019-04-10;2018-10-02;1000;SUR;;8.0628;;2019-04-17;RUB
EQOB;2018-10-08;ТМК БО-5;RU000A0JWCM0;1;1024.4;102.44;102.44;102.44;102.44;64.11;102.44;8.12;102.44;1;;102.39;102.44;0;1963860.1;0;2026-04-01;173;8.12;;;;64.82;2019-04-10;2018-10-08;1000;SUR;;7.8311;;2019-04-17;RUB
EQOB;2018-10-09;ТМК БО-5;RU000A0JWCM0;14;143787.2;100.01;102.44;101.54;101.54;64.47;101.26;10.01;102.44;142;;102.14;101.54;0;581161.5;0;2026-04-01;172;10.62;;;;64.82;2019-04-10;2018-10-09;1000;SUR;;9.651;;2019-04-17;RUB
EQOB;2018-10-10;ТМК БО-5;RU000A0JWCM0;7;178022.5;101.54;102.55;102.55;102.55;0;102.31;7.84;102.11;174;;102.18;102.55;0;759184;0;2026-04-01;182;8.35;;;;64.82;2019-04-10;2018-10-10;1000;SUR;;22.0438;;2019-04-17;RUB
EQOB;2018-10-11;ТМК БО-5;RU000A0JWCM0;4;43071.2;102.55;102.56;102.56;102.56;0.36;102.55;7.79;102.55;42;;102.2;102.56;0;802255.2;0;2026-04-01;181;7.81;;;;64.82;2019-04-10;2018-10-11;1000;SUR;;7.5024;;2019-04-17;RUB
EQOB;2018-10-12;ТМК БО-5;RU000A0JWCM0;6;43985.1;102.1;102.56;102.5;102.5;0.71;102.29;7.88;102.1;43;;102.2;102.5;0;846240.3;0;2026-04-01;180;8.33;;;;64.82;2019-04-10;2018-10-12;1000;SUR;;7.5954;;2019-04-17;RUB
EQOB;2018-10-15;ТМК БО-5;RU000A0JWCM0;18;549633.6;101.5;102.78;102.7;102.7;1.78;102.74;7.36;101.56;535;102.74;102.74;102.7;549633.6;549633.6;549633.6;2026-04-01;177;7.27;;;;64.82;2019-04-10;2018-10-15;1000;SUR;;7.0859;;2019-04-17;RUB
EQOB;2018-10-16;ТМК БО-5;RU000A0JWCM0;2;308100;102.7;102.7;102.7;102.7;2.14;102.7;7.32;102.7;300;102.72;102.74;102.7;857733.6;800363;857733.6;2026-04-01;176;7.32;;;;64.82;2019-04-10;2018-10-16;1000;SUR;;7.0512;;2019-04-17;RUB
EQOB;2018-10-17;ТМК БО-5;RU000A0JWCM0;8;27530.2;101.51;102.77;101.51;101.63;2.49;101.8;9.92;102.77;27;;102.71;101.63;0;807339.2;0;2026-04-01;175;9.27;;;;64.82;2019-04-10;2018-10-17;1000;SUR;;9.5488;;2019-04-17;RUB
EQOB;2018-10-18;ТМК БО-5;RU000A0JWCM0;2;2043.5;101.7;102.65;101.7;102.18;2.85;102.18;9.47;102.65;2;;102.71;102.18;0;809382.7;0;2026-04-01;174;8.4;;;;64.82;2019-04-10;2018-10-18;1000;SUR;;9.1138;;2019-04-17;RUB
EQOB;2018-10-19;ТМК БО-5;RU000A0JWCM0;0;0;;;;102.18;3.21;;9.45;;0;;102.71;102.18;0;809382.7;0;2026-04-01;173;;;;;64.82;2019-04-10;2018-10-18;1000;SUR;;9.1668;;2019-04-17;RUB
EQOB;2018-10-22;ТМК БО-5;RU000A0JWCM0;2;82020;102;102.6;102.6;102.6;4.27;102.53;7.34;102;80;;102.7;102.6;0;891402.7;0;2026-04-01;170;7.5;;;;64.82;2019-04-10;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;ТМК БО-5;RU000A0JWCM0;4;54893.3;101.65;101.68;101.65;101.65;4.63;101.65;9.47;101.68;54;;102.52;101.65;0;504380;0;2026-04-01;169;9.47;;;;64.82;2019-04-10;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;ТМК БО-5;RU000A0JWCM0;0;0;;;;101.65;4.99;;9.45;;0;102.61;102.52;101.65;1111276.9;504380;1111276.9;2026-04-01;168;;;;;64.82;2019-04-10;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-25;ТМК БО-5;RU000A0JWCM0;8;104515.3;102.37;102.68;102.68;102.49;5.34;102.47;7.05;102.37;102;;102.49;102.49;0;568832.3;0;2026-04-01;167;7.53;;;;64.82;2019-04-10;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;ТМК БО-5;RU000A0JWCM0;0;0;;;;102.49;5.7;;7.01;;0;;102.49;102.49;0;568832.3;0;2026-04-01;166;;;;;64.82;2019-04-10;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-29;ТМК БО-5;RU000A0JWCM0;4;11300.2;102.71;102.74;102.74;102.73;6.77;102.73;6.76;102.71;11;;102.5;102.73;0;580132.5;0;2026-04-01;163;6.78;;;;64.82;2019-04-10;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;ТМК БО-5;RU000A0JWCM0;2;625738;102.58;102.58;102.58;102.58;7.12;102.58;7.09;102.58;610;102.57;102.57;102.58;741553.5;722101.4;741553.5;2026-04-01;162;7.09;;;;64.82;2019-04-10;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;ТМК БО-5;RU000A0JWCM0;3;22526.9;101.8;102.57;101.8;101.8;7.48;102.4;8.91;102.57;22;102.56;102.58;101.8;764080.4;663672.3;764080.4;2026-04-01;161;7.48;;;;64.82;2019-04-10;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;ТМК БО-5;RU000A0JWCM0;0;0;;;;101.8;7.84;;8.88;;0;102.5;102.58;101.8;900993.7;663672.3;900993.7;2026-04-01;160;;;;;64.82;2019-04-10;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-02;ТМК БО-5;RU000A0JWCM0;6;36654.1;101.51;102.5;101.51;101.59;8.19;101.82;9.56;101.81;36;102.54;102.53;101.59;696219.2;684919;696219.2;2026-04-01;159;8.8;;;;64.82;2019-04-10;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;ТМК БО-5;RU000A0JWCM0;1;5124;102.48;102.48;102.48;102.48;9.62;102.48;7.06;102.48;5;102.53;102.53;102.48;690043;690043;690043;2026-04-01;155;7.06;;;;64.82;2019-04-10;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;ТМК БО-5;RU000A0JWCM0;1;15270;101.8;101.8;101.8;101.8;9.97;101.8;8.71;101.8;15;;102.52;101.8;0;705313;0;2026-04-01;154;8.71;;;;64.82;2019-04-10;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-08;ТМК БО-5;RU000A0JWCM0;6;512833;102.48;102.58;102.58;102.57;10.33;102.57;6.73;102.48;500;102.5;102.54;102.57;569881.1;535258.7;569881.1;2026-04-01;153;6.76;;;;64.82;2019-04-10;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-09;ТМК БО-5;RU000A0JWCM0;2;4097.5;102.01;102.58;102.01;102.01;10.68;102.44;8.11;102.58;4;102.5;102.54;102.01;573978.6;537324.5;573978.6;2026-04-01;152;7.04;;;;64.82;2019-04-10;2018-11-09;1000;SUR;;;;;RUB
EQOB;2018-11-12;ТМК БО-5;RU000A0JWCM0;6;44060.2;102.01;102.58;102.01;102.02;11.75;102.47;8.01;102.57;43;102.56;102.56;102.02;560990.7;504617.7;560990.7;2026-04-01;149;6.84;;;;64.82;2019-04-10;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;ТМК БО-5;RU000A0JWCM0;1;1020.1;102.01;102.01;102.01;102.01;12.11;102.01;7.97;102.01;1;102.54;102.56;102.01;577280.8;505637.8;577280.8;2026-04-01;148;7.97;;;;64.82;2019-04-10;2018-11-13;1000;SUR;;;;;RUB
EQOB;2018-11-14;ТМК БО-5;RU000A0JWCM0;4;22440.1;102;102.01;102;102;12.47;102;7.96;102.01;22;;102.54;102;0;517820.9;0;2026-04-01;147;7.96;;;;64.82;2019-04-10;2018-11-14;1000;SUR;;;;;RUB
EQOB;2018-11-15;ТМК БО-5;RU000A0JWCM0;0;0;;;;102;12.82;;7.93;;0;;102.54;102;0;517820.9;0;2026-04-01;146;;;;;64.82;2019-04-10;2018-11-14;1000;SUR;;;;;RUB
EQOB;2018-11-16;ТМК БО-5;RU000A0JWCM0;3;26597.4;102.29;102.3;102.29;102.29;13.18;102.3;7.13;102.29;26;;102.53;102.29;0;544418.3;0;2026-04-01;145;7.1;;;;64.82;2019-04-10;2018-11-16;1000;SUR;;;;;RUB
EQOB;2018-11-19;ТМК БО-5;RU000A0JWCM0;6;50825.9;101.63;101.72;101.63;101.65;14.25;101.65;8.77;101.72;50;;102.45;101.65;0;595244.2;0;2026-04-01;142;8.72;;;;64.82;2019-04-10;2018-11-19;1000;SUR;;;;;RUB
EQOB;2018-11-20;ТМК БО-5;RU000A0JWCM0;2;17283.4;101.66;101.67;101.67;101.67;14.6;101.67;8.63;101.66;17;;102.43;101.67;0;612527.6;0;2026-04-01;141;8.63;;;;64.82;2019-04-10;2018-11-20;1000;SUR;;;;;RUB
EQOB;2018-11-21;ТМК БО-5;RU000A0JWCM0;13;93641.3;101.61;102.49;101.66;101.66;14.96;101.78;8.63;101.66;92;;102.25;101.66;0;501028.9;0;2026-04-01;140;8.3;;;;64.82;2019-04-10;2018-11-21;1000;SUR;;;;;RUB
EQOB;2018-11-22;ТМК БО-5;RU000A0JWCM0;4;13211.8;101.61;101.66;101.61;101.61;15.32;101.63;8.73;101.66;13;;102.23;101.61;0;514240.7;0;2026-04-01;139;8.67;;;;64.82;2019-04-10;2018-11-22;1000;SUR;;;;;RUB
EQOB;2018-11-23;ТМК БО-5;RU000A0JWCM0;18;165539.3;101.52;101.97;101.53;101.53;15.67;101.56;8.92;101.97;163;;102.07;101.53;0;679780;0;2026-04-01;138;8.84;;;;64.82;2019-04-10;2018-11-23;1000;SUR;;;;;RUB
