history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ЕврХимБ1Р1;RU000A0JWDU1;4;2076602;101;101.25;101;101;47.92;101.25;8.86;101.25;2051;101.24;101.24;101;2471211.4;2470199.9;2471211.4;2019-04-19;191;8.37;;;;53.15;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ЕврХимБ1Р1;RU000A0JWDU1;3;50680;101.3;101.45;101.3;101.3;48.21;101.36;8.26;101.45;50;101.24;101.23;101.3;2521891.4;2330246;2521891.4;2019-04-19;190;8.14;;;;53.15;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ЕврХимБ1Р1;RU000A0JWDU1;3;35391952.2;101.18;101.2;101.18;101.18;48.5;101.18;8.49;101.2;34979;101.18;101.18;101.18;37519234.2;37519234.2;37519234.2;2019-04-19;189;8.49;;;;53.15;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ЕврХимБ1Р1;RU000A0JWDU1;2;10130;101.3;101.3;101.3;101.3;48.79;101.3;8.24;101.3;10;101.18;101.18;101.3;37923973.6;35457812.2;37923973.6;2019-04-19;188;8.24;;;;53.15;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;ЕврХимБ1Р1;RU000A0JWDU1;4;145920;101.2;101.5;101.5;101.4;49.08;101.33;7.83;101.4;144;101.19;101.18;101.4;37675284.2;35558132.2;37675284.2;2019-04-19;187;8.17;;;;53.15;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ЕврХимБ1Р1;RU000A0JWDU1;7;27151115.7;101.25;101.74;101.4;101.4;49.95;101.3;7.99;101.74;26804;101.3;101.3;101.4;27297035.7;27296021.7;27297035.7;2019-04-19;184;8.19;;;;53.15;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ЕврХимБ1Р1;RU000A0JWDU1;4;766083;101.3;101.4;101.4;101.4;50.24;101.33;7.97;101.3;756;101.3;101.3;101.4;27917198.7;27863276.5;27917198.7;2019-04-19;183;8.12;;;;53.15;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ЕврХимБ1Р1;RU000A0JWDU1;4;10596887.6;101.2;101.4;101.2;101.2;50.53;101.28;8.37;101.4;10463;101.29;101.28;101.2;38514086.3;11393389.1;38514086.3;2019-04-19;182;8.21;;;;53.15;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ЕврХимБ1Р1;RU000A0JWDU1;0;0;;;;101.2;50.82;;8.36;;0;101.29;101.28;101.2;38660006.3;11393389.1;38660006.3;2019-04-19;181;;;;;53.15;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-12;ЕврХимБ1Р1;RU000A0JWDU1;6;24421646.5;101.28;101.29;101.28;101.28;51.11;101.28;8.18;101.29;24113;101.28;101.28;101.28;35018534.1;35018534.1;35018534.1;2019-04-19;180;8.18;;;;53.15;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;ЕврХимБ1Р1;RU000A0JWDU1;4;205497;101.05;101.74;101.05;101.05;51.98;101.73;8.63;101.74;202;101.28;101.28;101.05;24627143.5;24627143.5;24627143.5;2019-04-19;177;7.21;;;;53.15;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;ЕврХимБ1Р1;RU000A0JWDU1;3;107792;101.69;101.7;101.69;101.69;52.27;101.69;7.27;101.7;106;101.29;101.43;101.69;24734935.5;934135.4;24734935.5;2019-04-19;176;7.27;;;;53.15;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;ЕврХимБ1Р1;RU000A0JWDU1;10;1031557.6;101.01;101.74;101.15;101.15;52.56;101.73;8.39;101.01;1014;101.73;101.73;101.15;1031557.6;1031557.6;1031557.6;2019-04-19;175;7.17;;;;53.15;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;ЕврХимБ1Р1;RU000A0JWDU1;2;45552;101.2;101.28;101.2;101.2;52.85;101.23;8.27;101.28;45;101.71;101.71;101.2;1077109.6;1073056.6;1077109.6;2019-04-19;174;8.21;;;;53.15;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;ЕврХимБ1Р1;RU000A0JWDU1;5;188616;101.4;102;101.4;101.4;0;101.95;7.83;102;185;101.75;101.75;101.4;1265725.6;1259638.8;1265725.6;2019-04-19;182;6.67;;;;52.85;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;ЕврХимБ1Р1;RU000A0JWDU1;5;553538.4;101.18;101.4;101.4;101.4;0.87;101.38;7.78;101.4;546;101.53;101.53;101.4;742154.4;742154.4;742154.4;2019-04-19;179;7.82;;;;52.85;;2018-10-22;1000;SUR;;;7.6311;;RUB
EQOB;2018-10-23;ЕврХимБ1Р1;RU000A0JWDU1;8;32431;101.3;101.4;101.3;101.3;1.16;101.35;7.98;101.3;32;101.38;101.4;101.3;585969.4;535375;585969.4;2019-04-19;178;7.87;;;;52.85;;2018-10-23;1000;SUR;;;7.8229;;RUB
EQOB;2018-10-24;ЕврХимБ1Р1;RU000A0JWDU1;6;1922168.5;101.05;101.4;101.4;101.4;1.45;101.33;7.74;101.05;1897;101.33;101.33;101.4;1954599.5;1936350.5;1954599.5;2019-04-19;177;7.9;;;;52.85;;2018-10-24;1000;SUR;;;7.5951;;RUB
EQOB;2018-10-25;ЕврХимБ1Р1;RU000A0JWDU1;3;6617942.6;101.06;101.35;101.3;101.3;1.74;101.3;7.95;101.06;6533;101.31;101.31;101.3;8572542.1;8541124.1;8572542.1;2019-04-19;176;7.95;;;;52.85;;2018-10-25;1000;SUR;;;7.7887;;RUB
