history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ДельтКрБ20;RU000A0JWGS8;2;31609.9;101.95;102.49;101.95;101.95;40.99;101.97;7.87;102.49;31;101.78;101.76;101.95;251490133.6;121133298.7;251490133.6;2026-05-18;220;7.84;;;;55.45;2019-05-18;2018-10-01;1000;SUR;;7.7402;;2019-05-22;RUB
EQOB;2018-10-02;ДельтКрБ20;RU000A0JWGS8;0;0;;;;101.95;41.29;;7.86;;0;101.78;101.76;101.95;251490133.6;121133298.7;251490133.6;2026-05-18;219;;;;;55.45;2019-05-18;2018-10-01;1000;SUR;;7.7763;;2019-05-22;RUB
EQOB;2018-10-03;ДельтКрБ20;RU000A0JWGS8;0;0;;;;101.95;41.59;;7.84;;0;101.78;101.76;101.95;251490133.6;121133298.7;251490133.6;2026-05-18;218;;;;;55.45;2019-05-18;2018-10-01;1000;SUR;;7.8128;;2019-05-22;RUB
EQOB;2018-10-04;ДельтКрБ20;RU000A0JWGS8;1;25462.5;101.85;101.85;101.85;101.85;41.89;101.85;8;101.85;25;101.78;101.76;101.85;251494347.1;121157741.2;251494347.1;2026-05-18;217;8;;;;55.45;2019-05-18;2018-10-04;1000;SUR;;7.8665;;2019-05-22;RUB
EQOB;2018-10-05;ДельтКрБ20;RU000A0JWGS8;0;0;;;;101.85;42.19;;7.99;;0;101.76;101.76;101.85;121158761.2;121157741.2;121158761.2;2026-05-18;216;;;;;55.45;2019-05-18;2018-10-04;1000;SUR;;7.9038;;2019-05-22;RUB
EQOB;2018-10-08;ДельтКрБ20;RU000A0JWGS8;2;25260;100.95;101.7;101.7;101.7;43.1;101.04;8.21;100.95;25;101.76;101.76;101.7;100847246.2;100840117.4;100847246.2;2026-05-18;213;9.38;;;;55.45;2019-05-18;2018-10-08;1000;SUR;;8.0676;;2019-05-22;RUB
EQOB;2018-10-09;ДельтКрБ20;RU000A0JWGS8;0;0;;;;101.7;43.4;;8.2;;0;101.76;101.76;101.7;100840117.4;100840117.4;100840117.4;2026-05-18;212;;;;;55.45;2019-05-18;2018-10-08;1000;SUR;;8.1066;;2019-05-22;RUB
EQOB;2018-10-10;ДельтКрБ20;RU000A0JWGS8;4;661372.8;101.74;101.75;101.75;101.75;43.7;101.75;8.1;101.74;650;101.76;101.89;101.75;97431490.2;2782705.2;97431490.2;2026-05-18;211;8.1;;;;55.45;2019-05-18;2018-10-10;1000;SUR;;7.955;;2019-05-22;RUB
EQOB;2018-10-11;ДельтКрБ20;RU000A0JWGS8;0;0;;;;101.75;44;;8.08;;0;101.92;101.89;101.75;5841205.2;2782705.2;5841205.2;2026-05-18;210;;;;;55.45;2019-05-18;2018-10-10;1000;SUR;;7.9937;;2019-05-22;RUB
EQOB;2018-10-12;ДельтКрБ20;RU000A0JWGS8;0;0;;;;101.75;44.3;;8.07;;0;;101.89;101.75;0;2782705.2;0;2026-05-18;209;;;;;55.45;2019-05-18;2018-10-10;1000;SUR;;8.0329;;2019-05-22;RUB
EQOB;2018-10-15;ДельтКрБ20;RU000A0JWGS8;0;0;;;;101.75;45.21;;8.03;;0;;101.89;101.75;0;2782705.2;0;2026-05-18;206;;;;;55.45;2019-05-18;2018-10-10;1000;SUR;;8.1527;;2019-05-22;RUB
EQOB;2018-10-16;ДельтКрБ20;RU000A0JWGS8;1;25437500;101.75;101.75;101.75;101.75;45.51;101.75;8.01;101.75;25000;;101.75;101.75;0;26181205.2;0;2026-05-18;205;8.01;;;;55.45;2019-05-18;2018-10-16;1000;SUR;;7.8706;;2019-05-22;RUB
EQOB;2018-10-17;ДельтКрБ20;RU000A0JWGS8;2;101705092.5;101.7;101.85;101.7;101.7;45.81;101.7;8.09;101.85;100005;101.71;101.71;101.7;127854687.8;127854687.8;127854687.8;2026-05-18;204;8.09;;;;55.45;2019-05-18;2018-10-17;1000;SUR;;7.9459;;2019-05-22;RUB
EQOB;2018-10-18;ДельтКрБ20;RU000A0JWGS8;2;21364;101.7;102.4;102.4;102.4;46.11;101.73;6.81;101.7;21;101.71;101.71;102.4;127850589.3;127828380.3;127850589.3;2026-05-18;203;8.02;;;;55.45;2019-05-18;2018-10-18;1000;SUR;;6.6856;;2019-05-22;RUB
EQOB;2018-10-19;ДельтКрБ20;RU000A0JWGS8;0;0;;;;102.4;46.41;;6.79;;0;101.71;101.71;102.4;127850589.3;127828380.3;127850589.3;2026-05-18;202;;;;;55.45;2019-05-18;2018-10-18;1000;SUR;;6.7193;;2019-05-22;RUB
EQOB;2018-10-22;ДельтКрБ20;RU000A0JWGS8;0;0;;;;102.4;47.32;;6.73;;0;;101.71;102.4;0;127828380.3;0;2026-05-18;199;;;;;55.45;2019-05-18;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-23;ДельтКрБ20;RU000A0JWGS8;2;10093.5;100.85;101.7;101.7;101.7;47.62;100.94;8.01;100.85;10;101.71;101.71;101.7;127835422.8;127813040;127835422.8;2026-05-18;198;9.45;;;;55.45;2019-05-18;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;ДельтКрБ20;RU000A0JWGS8;2;7117.6;101.68;101.68;101.68;101.68;47.92;101.68;8.03;101.68;7;;101.71;101.68;0;127435542.6;0;2026-05-18;197;8.03;;;;55.45;2019-05-18;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;ДельтКрБ20;RU000A0JWGS8;1;1016;101.6;101.6;101.6;101.6;48.22;101.6;8.17;101.6;1;101.71;101.71;101.6;127182183.6;127182183.6;127182183.6;2026-05-18;196;8.17;;;;55.45;2019-05-18;2018-10-25;1000;SUR;;;;;RUB
