history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;СберБ БО18;RU000A0JWH46;27;2296348.9;101.4;101.8;101.78;101.6;35.26;101.65;7.12;101.43;2259;101.65;101.65;101.6;2296348.9;2296348.9;2296348.9;2021-05-24;227;7.33;;;;49.91;2019-05-24;2018-10-01;1000;SUR;;6.9739;;2019-05-29;RUB
EQOB;2018-10-02;СберБ БО18;RU000A0JWH46;45;464253.4;101.47;101.8;101.7;101.7;35.53;101.59;7.24;101.76;457;;101.58;101.7;0;503854.2;0;2021-05-24;225;7.42;;;;49.91;2019-05-24;2018-10-02;1000;SUR;;7.0908;;2019-05-29;RUB
EQOB;2018-10-03;СберБ БО18;RU000A0JWH46;26;2381502.8;101.47;101.85;101.65;101.65;35.8;101.64;7.31;101.85;2343;101.64;101.64;101.65;2381502.8;2381502.8;2381502.8;2021-05-24;225;7.33;;;;49.91;2019-05-24;2018-10-03;1000;SUR;;7.1601;;2019-05-29;RUB
EQOB;2018-10-04;СберБ БО18;RU000A0JWH46;38;1388461;101.32;101.65;101.49;101.49;36.07;101.5;7.57;101.65;1368;101.5;101.5;101.49;1388461;1388461;1388461;2021-05-24;223;7.55;;;;49.91;2019-05-24;2018-10-04;1000;SUR;;7.4099;;2019-05-29;RUB
EQOB;2018-10-05;СберБ БО18;RU000A0JWH46;21;2587625.9;101.25;101.49;101.46;101.26;36.35;101.32;7.6;101.49;2554;101.32;101.32;101.26;2587625.9;2587625.9;2587625.9;2021-05-24;222;7.84;;;;49.91;2019-05-24;2018-10-05;1000;SUR;;7.447;;2019-05-29;RUB
EQOB;2018-10-08;СберБ БО18;RU000A0JWH46;17;74904.3;101.12;101.73;101.42;101.42;37.16;101.22;7.64;101.73;74;;101.25;101.42;0;1741584.3;0;2021-05-24;219;7.98;;;;49.91;2019-05-24;2018-10-08;1000;SUR;;7.482;;2019-05-29;RUB
EQOB;2018-10-09;СберБ БО18;RU000A0JWH46;16;44587.8;101.15;101.49;101.17;101.17;37.43;101.34;8.06;101.49;44;;101.26;101.17;0;1786172.1;0;2021-05-24;218;7.77;;;;49.91;2019-05-24;2018-10-09;1000;SUR;;7.8911;;2019-05-29;RUB
EQOB;2018-10-10;СберБ БО18;RU000A0JWH46;16;121546.7;101.15;101.72;101.29;101.29;37.7;101.29;7.85;101.72;120;;101.26;101.29;0;1907718.8;0;2021-05-24;217;7.85;;;;49.91;2019-05-24;2018-10-10;1000;SUR;;7.6799;;2019-05-29;RUB
EQOB;2018-10-11;СберБ БО18;RU000A0JWH46;36;949568.7;100.51;101.53;101.28;101.28;37.97;101.02;7.85;101.53;940;101.02;101.02;101.28;949568.7;949568.7;949568.7;2021-05-24;216;8.31;;;;49.91;2019-05-24;2018-10-11;1000;SUR;;7.6871;;2019-05-29;RUB
EQOB;2018-10-12;СберБ БО18;RU000A0JWH46;27;17179366.6;100.51;101.33;101.27;101.27;38.24;100.59;7.86;101.03;17078;100.59;100.59;101.27;17179366.6;17179366.6;17179366.6;2021-05-24;215;9.06;;;;49.91;2019-05-24;2018-10-12;1000;SUR;;7.6945;;2019-05-29;RUB
