,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQDB,2018-10-01,СТТ 01,RU000A0JWKY8,13,29137.0,17.0,21.99,21.99,21.94,47.51,20.23,842.29,19.98,144,,19.81,21.94,0,501182.5,0,2021-06-20,226,951.44,,,,84.77,2019-06-21,2018-10-01,1000,SUR,,,,2019-06-26,RUB
1,EQDB,2018-10-02,СТТ 01,RU000A0JWKY8,5,6206.3,10.01,15.02,10.01,10.52,47.97,10.52,,15.02,59,,19.6,10.52,0,502188.8,0,2021-06-20,211,0.0,,,,84.77,2019-06-21,2018-10-02,1000,SUR,,,,2019-06-26,RUB
2,EQDB,2018-10-03,СТТ 01,RU000A0JWKY8,11,25660.2,19.51,21.98,20.01,19.76,48.44,21.93,982.76,21.98,117,,19.75,19.76,0,500684.5,0,2021-06-20,225,859.32,,,,84.77,2019-06-21,2018-10-03,1000,SUR,,,,2019-06-26,RUB
3,EQDB,2018-10-04,СТТ 01,RU000A0JWKY8,3,649.6,21.0,21.98,21.98,21.98,48.9,21.65,863.41,21.0,3,,19.75,21.98,0,501334.1,0,2021-06-20,224,883.0,,,,84.77,2019-06-21,2018-10-04,1000,SUR,,,,2019-06-26,RUB
4,EQDB,2018-10-05,СТТ 01,RU000A0JWKY8,1,1759.2,21.99,21.99,21.99,21.99,49.37,21.99,869.87,21.99,8,,19.76,21.99,0,503093.3,0,2021-06-20,223,869.87,,,,84.77,2019-06-21,2018-10-05,1000,SUR,,,,2019-06-26,RUB
5,EQDB,2018-10-08,СТТ 01,RU000A0JWKY8,8,12355.1,21.99,22.98,22.98,22.98,50.77,22.06,834.49,21.99,56,,19.8,22.98,0,501102.3,0,2021-06-20,220,887.58,,,,84.77,2019-06-21,2018-10-08,1000,SUR,,,,2019-06-26,RUB
6,EQDB,2018-10-09,СТТ 01,RU000A0JWKY8,0,0.0,,,,22.98,51.23,,841.49,,0,,19.8,22.98,0,501102.3,0,2021-06-20,217,,,,,84.77,2019-06-21,2018-10-08,1000,SUR,,,,2019-06-26,RUB
7,EQDB,2018-10-10,СТТ 01,RU000A0JWKY8,1,1202.4,20.04,20.04,20.04,20.04,51.7,20.04,,20.04,6,,19.8,20.04,0,500258.7,0,2021-06-20,216,0.0,,,,84.77,2019-06-21,2018-10-10,1000,SUR,,,,2019-06-26,RUB
8,EQDB,2018-10-11,СТТ 01,RU000A0JWKY8,8,31842.0,20.03,23.0,20.03,20.03,52.16,22.27,,22.98,143,,19.89,20.03,0,512680.7,0,2021-06-20,217,897.68,,,,84.77,2019-06-21,2018-10-11,1000,SUR,,,,2019-06-26,RUB
9,EQDB,2018-10-12,СТТ 01,RU000A0JWKY8,1,8784.9,20.43,20.43,20.43,20.43,52.63,20.43,,20.43,43,,19.83,20.43,0,503871.6,0,2021-06-20,214,0.0,,,,84.77,2019-06-21,2018-10-12,1000,SUR,,,,2019-06-26,RUB
10,EQDB,2018-10-15,СТТ 01,RU000A0JWKY8,3,902.5,20.83,24.21,24.21,24.21,54.03,22.56,816.93,20.83,4,,19.83,24.21,0,504774.1,0,2021-06-20,212,911.49,,,,84.77,2019-06-21,2018-10-15,1000,SUR,,,,2019-06-26,RUB
11,EQDB,2018-10-16,СТТ 01,RU000A0JWKY8,20,20586.7,16.04,24.22,16.5,16.5,54.49,17.6,,24.21,117,,19.66,16.5,0,505346.8,0,2021-06-20,206,0.0,,,,84.77,2019-06-21,2018-10-16,1000,SUR,,,,2019-06-26,RUB
12,EQDB,2018-10-17,СТТ 01,RU000A0JWKY8,0,0.0,,,,16.5,54.96,,,,0,,19.66,16.5,0,505346.8,0,2021-06-20,207,,,,,84.77,2019-06-21,2018-10-16,1000,SUR,,,,2019-06-26,RUB
13,EQDB,2018-10-18,СТТ 01,RU000A0JWKY8,0,0.0,,,,16.5,55.42,,,,0,,19.66,16.5,0,505346.8,0,2021-06-20,206,,,,,84.77,2019-06-21,2018-10-16,1000,SUR,,,,2019-06-26,RUB
14,EQDB,2018-10-19,СТТ 01,RU000A0JWKY8,0,0.0,,,,16.5,55.89,,,,0,,19.66,16.5,0,505346.8,0,2021-06-20,205,,,,,84.77,2019-06-21,2018-10-16,1000,SUR,,,,2019-06-26,RUB
