,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,РСГ-ФинБ10,RU000A0JWLJ7,0,0.0,,,,104.0,40.12,,13.09,,0,100.01,100.01,104.0,380650489.4,115217621.0,380650489.4,2021-06-18,823,,,,,72.3,,2018-09-25,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,РСГ-ФинБ10,RU000A0JWLJ7,3,48661.8,100.16,102.5,102.5,101.38,40.52,101.38,13.79,100.16,48,100.01,100.01,101.38,380594551.2,115266282.8,380594551.2,2021-06-18,823,14.33,,,,72.3,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,РСГ-ФинБ10,RU000A0JWLJ7,0,0.0,,,,101.38,40.92,,13.79,,0,,100.01,101.38,0.0,115266282.8,0.0,2021-06-18,821,,,,,72.3,,2018-10-02,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,РСГ-ФинБ10,RU000A0JWLJ7,1,1039.2,103.92,103.92,103.92,103.92,41.32,103.92,13.12,103.92,1,,100.01,103.92,0.0,115267322.0,0.0,2021-06-18,824,13.12,,,,72.3,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,РСГ-ФинБ10,RU000A0JWLJ7,0,0.0,,,,103.92,41.71,,13.12,,0,,100.01,103.92,0.0,115267322.0,0.0,2021-06-18,819,,,,,72.3,,2018-10-04,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,РСГ-ФинБ10,RU000A0JWLJ7,0,0.0,,,,103.92,42.9,,13.12,,0,,100.01,103.92,0.0,115267322.0,0.0,2021-06-18,816,,,,,72.3,,2018-10-04,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,РСГ-ФинБ10,RU000A0JWLJ7,0,0.0,,,,103.92,43.3,,13.12,,0,,100.01,103.92,0.0,115267322.0,0.0,2021-06-18,815,,,,,72.3,,2018-10-04,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,РСГ-ФинБ10,RU000A0JWLJ7,5,56717.2,102.5,103.66,103.66,103.62,43.7,103.12,13.24,102.5,55,,100.01,103.62,0.0,115324039.2,0.0,2021-06-18,817,13.49,,,,72.3,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,РСГ-ФинБ10,RU000A0JWLJ7,0,0.0,,,,103.62,44.1,,13.24,,0,,100.01,103.62,0.0,115324039.2,0.0,2021-06-18,813,,,,,72.3,,2018-10-10,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,РСГ-ФинБ10,RU000A0JWLJ7,0,0.0,,,,103.62,44.49,,13.23,,0,,100.01,103.62,0.0,115324039.2,0.0,2021-06-18,812,,,,,72.3,,2018-10-10,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,РСГ-ФинБ10,RU000A0JWLJ7,0,0.0,,,,103.62,45.68,,13.23,,0,,100.01,103.62,0.0,115324039.2,0.0,2021-06-18,809,,,,,72.3,,2018-10-10,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,РСГ-ФинБ10,RU000A0JWLJ7,1,5199.5,103.99,103.99,103.99,103.99,46.08,103.99,13.07,103.99,5,,100.01,103.99,0.0,115329238.7,0.0,2021-06-18,812,13.07,,,,72.3,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,РСГ-ФинБ10,RU000A0JWLJ7,0,0.0,,,,103.99,46.48,,13.07,,0,,100.01,103.99,0.0,115329238.7,0.0,2021-06-18,807,,,,,72.3,,2018-10-16,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,РСГ-ФинБ10,RU000A0JWLJ7,0,0.0,,,,103.99,46.88,,13.07,,0,,100.01,103.99,0.0,115329238.7,0.0,2021-06-18,806,,,,,72.3,,2018-10-16,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,РСГ-ФинБ10,RU000A0JWLJ7,12,444591.8,97.75,104.28,104.28,98.37,47.27,100.36,12.93,101.01,443,,100.69,98.37,0.0,504458.0,0.0,2021-06-18,805,14.82,,,,72.3,,2018-10-19,1000,SUR,,,,,RUB
