,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,СамарОбл12,RU000A0JWM56,1,281840.0,104.0,104.0,104.0,104.0,0.79,104.0,8.79,104.0,271,105.38,105.35,104.0,1250807.8,896535.0,1250807.8,2024-06-21,1299,8.79,,,,24.03,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,СамарОбл12,RU000A0JWM56,0,0.0,,,,104.0,1.06,,8.78,,0,105.38,105.35,104.0,1250807.8,896535.0,1250807.8,2024-06-21,1302,,,,,24.03,,2018-10-01,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,СамарОбл12,RU000A0JWM56,0,0.0,,,,104.0,1.32,,8.78,,0,105.38,105.35,104.0,1250807.8,896535.0,1250807.8,2024-06-21,1301,,,,,24.03,,2018-10-01,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,СамарОбл12,RU000A0JWM56,0,0.0,,,,104.0,1.58,,8.78,,0,105.38,105.35,104.0,1250807.8,896535.0,1250807.8,2024-06-21,1300,,,,,24.03,,2018-10-01,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,СамарОбл12,RU000A0JWM56,1,1061.4,106.14,106.14,106.14,106.14,1.85,106.14,8.16,106.14,1,105.29,105.28,106.14,1498243.1,802205.4,1498243.1,2024-06-21,1301,8.16,,,,24.03,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,СамарОбл12,RU000A0JWM56,0,0.0,,,,106.14,2.64,,8.16,,0,105.34,105.28,106.14,1276709.2,802205.4,1276709.2,2024-06-21,1296,,,,,24.03,,2018-10-05,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,СамарОбл12,RU000A0JWM56,0,0.0,,,,106.14,2.91,,8.16,,0,105.38,105.28,106.14,1251869.2,802205.4,1251869.2,2024-06-21,1295,,,,,24.03,,2018-10-05,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,СамарОбл12,RU000A0JWM56,0,0.0,,,,106.14,3.17,,8.16,,0,105.38,105.28,106.14,1251869.2,802205.4,1251869.2,2024-06-21,1294,,,,,24.03,,2018-10-05,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,СамарОбл12,RU000A0JWM56,0,0.0,,,,106.14,3.43,,8.16,,0,105.38,105.28,106.14,1251869.2,802205.4,1251869.2,2024-06-21,1293,,,,,24.03,,2018-10-05,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,СамарОбл12,RU000A0JWM56,0,0.0,,,,106.14,3.7,,8.15,,0,,105.28,106.14,0.0,802205.4,0.0,2024-06-21,1292,,,,,24.03,,2018-10-05,1000,SUR,,,,,RUB
