history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;МОСТРЕСТ 7;RU000A0JWN63;3;151379.7;101.17;101.6;101.6;101.6;23.95;101.3;9.52;101.17;149;101.54;101.54;101.6;3826067.5;3383184.4;3826067.5;2026-07-07;278;9.94;;;;57.34;2019-07-16;2018-10-01;1000;SUR;;9.4599;;2019-07-18;RUB
EQOB;2018-10-02;МОСТРЕСТ 7;RU000A0JWN63;5;4956737.2;101.5;101.58;101.58;101.58;24.26;101.44;9.54;101.5;4882;101.51;101.53;101.58;6319097.6;5113199.2;6319097.6;2026-07-07;277;9.74;;;;57.34;2019-07-16;2018-10-02;1000;SUR;;9.4803;;2019-07-18;RUB
EQOB;2018-10-03;МОСТРЕСТ 7;RU000A0JWN63;5;2365715;101.5;101.55;101.5;101.5;24.58;101.53;9.65;101.55;2330;101.53;101.53;101.5;7322452.2;7322452.2;7322452.2;2026-07-07;276;9.61;;;;57.34;2019-07-16;2018-10-03;1000;SUR;;9.5823;;2019-07-18;RUB
EQOB;2018-10-04;МОСТРЕСТ 7;RU000A0JWN63;12;652998.5;101.17;101.55;101.55;101.43;24.89;101.25;9.57;101.48;645;101.24;101.24;101.43;652998.5;652998.5;652998.5;2026-07-07;275;9.99;;;;57.34;2019-07-16;2018-10-04;1000;SUR;;9.5061;;2019-07-18;RUB
EQOB;2018-10-05;МОСТРЕСТ 7;RU000A0JWN63;1;16240;101.5;101.5;101.5;101.5;25.21;101.5;9.63;101.5;16;101.25;101.23;101.5;669238.5;628622.3;669238.5;2026-07-07;274;9.63;;;;57.34;2019-07-16;2018-10-05;1000;SUR;;9.5672;;2019-07-18;RUB
EQOB;2018-10-08;МОСТРЕСТ 7;RU000A0JWN63;9;5961787.6;100.7;101.4;101.4;101.4;26.15;100.71;9.75;101.18;5920;100.71;100.71;101.4;5978027.6;5978027.6;5978027.6;2026-07-07;271;10.74;;;;57.34;2019-07-16;2018-10-08;1000;SUR;;9.6857;;2019-07-18;RUB
EQOB;2018-10-09;МОСТРЕСТ 7;RU000A0JWN63;7;1255315.3;101.08;101.4;101.4;101.4;26.47;101.24;9.74;101.4;1240;100.8;100.8;101.4;7217102.9;7170570.5;7217102.9;2026-07-07;270;9.97;;;;57.34;2019-07-16;2018-10-09;1000;SUR;;9.6777;;2019-07-18;RUB
EQOB;2018-10-10;МОСТРЕСТ 7;RU000A0JWN63;6;81124.5;101.4;101.48;101.48;101.42;26.78;101.41;9.62;101.4;80;101.25;101.18;101.42;1336439.8;929828.9;1336439.8;2026-07-07;269;9.72;;;;57.34;2019-07-16;2018-10-10;1000;SUR;;9.5577;;2019-07-18;RUB
EQOB;2018-10-11;МОСТРЕСТ 7;RU000A0JWN63;8;50659614.9;101.44;101.49;101.49;101.48;27.1;101.46;9.6;101.44;49931;101.46;101.46;101.48;50740739.4;50661644.5;50740739.4;2026-07-07;268;9.64;;;;57.34;2019-07-16;2018-10-11;1000;SUR;;9.535;;2019-07-18;RUB
EQOB;2018-10-12;МОСТРЕСТ 7;RU000A0JWN63;5;16710174;101.2;101.45;101.45;101.45;27.41;101.2;9.65;101.45;16512;101.39;101.38;101.45;67369788.9;49215071.9;67369788.9;2026-07-07;267;10.01;;;;57.34;2019-07-16;2018-10-12;1000;SUR;;9.5849;;2019-07-18;RUB
