history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ВЭБ ПБО1Р4;RU000A0JWNJ3;0;0;;;;101.95;19.19;;7.73;;0;101.4;101.52;101.95;912624.5;812124.5;912624.5;2019-07-23;286;;;;;50.61;;2018-09-28;1000;SUR;;;;;RUB
EQOB;2018-10-02;ВЭБ ПБО1Р4;RU000A0JWNJ3;3;51841.5;101.65;101.65;101.65;101.65;19.47;101.65;8.12;101.65;51;101.52;101.53;101.65;190923755;762476;190923755;2019-07-23;285;8.12;;;;50.61;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ВЭБ ПБО1Р4;RU000A0JWNJ3;0;0;;;;101.65;19.74;;8.12;;0;101.59;101.53;101.65;38716485;762476;38716485;2019-07-23;284;;;;;50.61;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-04;ВЭБ ПБО1Р4;RU000A0JWNJ3;0;0;;;;101.65;20.02;;8.11;;0;101.59;101.53;101.65;38586437;762476;38586437;2019-07-23;283;;;;;50.61;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-05;ВЭБ ПБО1Р4;RU000A0JWNJ3;0;0;;;;101.65;20.3;;8.1;;0;101.47;101.53;101.65;2717373;762476;2717373;2019-07-23;282;;;;;50.61;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-08;ВЭБ ПБО1Р4;RU000A0JWNJ3;0;0;;;;101.65;21.13;;8.08;;0;101.42;101.53;101.65;964466;762476;964466;2019-07-23;279;;;;;50.61;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-09;ВЭБ ПБО1Р4;RU000A0JWNJ3;0;0;;;;101.65;21.41;;8.07;;0;;101.53;101.65;0;762476;0;2019-07-23;278;;;;;50.61;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-10;ВЭБ ПБО1Р4;RU000A0JWNJ3;0;0;;;;101.65;21.69;;8.06;;0;;101.53;101.65;0;762476;0;2019-07-23;277;;;;;50.61;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-11;ВЭБ ПБО1Р4;RU000A0JWNJ3;0;0;;;;101.65;21.97;;8.05;;0;;101.53;101.65;0;762476;0;2019-07-23;276;;;;;50.61;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-12;ВЭБ ПБО1Р4;RU000A0JWNJ3;5;25353149;101.25;101.75;101.65;101.25;22.25;101.15;8.05;101.75;25040;;101.25;101.25;0;25413139;0;2019-07-23;275;8.74;;;;50.61;;2018-10-12;1000;SUR;;;;;RUB
