history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ПИК БО-7;RU000A0JWP46;9;76899.6;102.27;102.64;102.63;102.63;21.01;102.53;9.84;102.62;75;102.07;102.06;102.63;1743390;1289051.5;1743390;2026-07-24;294;9.97;;;;64.82;2019-08-02;2018-10-01;1000;SUR;;9.6867;;2019-08-07;RUB
EQOB;2018-10-02;ПИК БО-7;RU000A0JWP46;3;11261.9;102.19;102.6;102.6;102.6;21.37;102.38;9.87;102.19;11;;102.07;102.6;0;1300313.4;0;2026-07-24;293;10.15;;;;64.82;2019-08-02;2018-10-02;1000;SUR;;9.7131;;2019-08-07;RUB
EQOB;2018-10-03;ПИК БО-7;RU000A0JWP46;12;676138.8;102.25;102.4;102.39;102.39;21.73;102.29;10.13;102.4;661;102.29;102.29;102.39;676138.8;676138.8;676138.8;2026-07-24;292;10.26;;;;64.82;2019-08-02;2018-10-03;1000;SUR;;9.9723;;2019-08-07;RUB
EQOB;2018-10-04;ПИК БО-7;RU000A0JWP46;22;12187874.6;102.08;102.3;102.2;102.2;22.08;102.3;10.37;102.29;11914;102.3;102.3;102.2;12187874.6;12187874.6;12187874.6;2026-07-24;291;10.24;;;;64.82;2019-08-02;2018-10-04;1000;SUR;;10.2095;;2019-08-07;RUB
EQOB;2018-10-05;ПИК БО-7;RU000A0JWP46;12;65493;102.07;102.35;102.35;102.35;22.44;102.33;10.16;102.19;64;;102.29;102.35;0;1266407.3;0;2026-07-24;290;10.19;;;;64.82;2019-08-02;2018-10-05;1000;SUR;;10.0029;;2019-08-07;RUB
EQOB;2018-10-08;ПИК БО-7;RU000A0JWP46;12;196187.3;102.06;102.49;102.25;102.25;23.51;102.18;10.26;102.08;192;;102.28;102.25;0;1462594.6;0;2026-07-24;287;10.36;;;;64.82;2019-08-02;2018-10-08;1000;SUR;;10.1017;;2019-08-07;RUB
EQOB;2018-10-09;ПИК БО-7;RU000A0JWP46;12;2747081.7;102.05;102.35;102.05;102.05;23.86;102.27;10.52;102.35;2686;102.27;102.27;102.05;2747081.7;2747081.7;2747081.7;2026-07-24;286;10.23;;;;64.82;2019-08-02;2018-10-09;1000;SUR;;10.3568;;2019-08-07;RUB
EQOB;2018-10-10;ПИК БО-7;RU000A0JWP46;12;2038002.7;102.05;102.25;102.25;102.25;24.22;102.05;10.24;102.06;1997;102.05;102.05;102.25;2038002.7;2038002.7;2038002.7;2026-07-24;285;10.51;;;;64.82;2019-08-02;2018-10-10;1000;SUR;;10.0807;;2019-08-07;RUB
EQOB;2018-10-11;ПИК БО-7;RU000A0JWP46;11;54117.7;102.01;102.25;102.15;102.15;24.58;102.11;10.37;102.25;53;;102.05;102.15;0;1335877.5;0;2026-07-24;284;10.42;;;;64.82;2019-08-02;2018-10-11;1000;SUR;;10.2026;;2019-08-07;RUB
EQOB;2018-10-12;ПИК БО-7;RU000A0JWP46;9;292594;102.3;102.39;102.3;102.3;24.93;102.31;10.16;102.34;286;;102.1;102.3;0;1628471.5;0;2026-07-24;283;10.14;;;;64.82;2019-08-02;2018-10-12;1000;SUR;;9.9928;;2019-08-07;RUB
EQOB;2018-10-15;ПИК БО-7;RU000A0JWP46;22;3094150.8;102.19;102.89;102.2;102.2;26;102.25;10.26;102.48;3026;102.25;102.25;102.2;3094150.8;3094150.8;3094150.8;2026-07-24;280;10.19;;;;64.82;2019-08-02;2018-10-15;1000;SUR;;10.0939;;2019-08-07;RUB
EQOB;2018-10-16;ПИК БО-7;RU000A0JWP46;4;11251.7;102.21;102.48;102.48;102.48;26.36;102.29;9.87;102.22;11;102.25;102.2;102.48;3105402.5;2688895.9;3105402.5;2026-07-24;279;10.13;;;;64.82;2019-08-02;2018-10-16;1000;SUR;;9.7051;;2019-08-07;RUB
EQOB;2018-10-17;ПИК БО-7;RU000A0JWP46;19;291215.7;102.03;102.6;102.39;102.39;26.71;102.18;9.98;102.6;285;;102.2;102.39;0;2755267.4;0;2026-07-24;278;10.27;;;;64.82;2019-08-02;2018-10-17;1000;SUR;;9.8153;;2019-08-07;RUB
EQOB;2018-10-18;ПИК БО-7;RU000A0JWP46;15;2736806.7;102;102.3;102.3;102.3;27.07;102.01;10.09;102.09;2683;102.01;102.01;102.3;2736806.7;2736806.7;2736806.7;2026-07-24;277;10.49;;;;64.82;2019-08-02;2018-10-18;1000;SUR;;9.9251;;2019-08-07;RUB
EQOB;2018-10-19;ПИК БО-7;RU000A0JWP46;13;334502.7;102.1;102.72;102.29;102.28;27.42;102.29;10.09;102.48;327;;102.04;102.28;0;2706027.4;0;2026-07-24;276;10.09;;;;64.82;2019-08-02;2018-10-19;1000;SUR;;9.9282;;2019-08-07;RUB
EQOB;2018-10-22;ПИК БО-7;RU000A0JWP46;25;4390347.7;102;102.69;102.69;102.67;28.49;102.1;9.5;102.12;4300;102.1;102.1;102.67;4390347.7;4390347.7;4390347.7;2026-07-24;273;10.33;;;;64.82;2019-08-02;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;ПИК БО-7;RU000A0JWP46;9;108809.2;102.12;102.7;102.7;102.69;28.85;102.65;9.48;102.12;106;102.11;102.15;102.69;4499156.9;1251353.5;4499156.9;2026-07-24;272;9.55;;;;64.82;2019-08-02;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;ПИК БО-7;RU000A0JWP46;10;59293.3;102.12;102.45;102.45;102.27;29.21;102.23;9.81;102.12;58;;102.15;102.27;0;1310646.8;0;2026-07-24;271;10.12;;;;64.82;2019-08-02;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;ПИК БО-7;RU000A0JWP46;14;1349530.3;102.23;102.24;102.23;102.24;29.56;102.24;10.11;102.24;1320;102.24;102.24;102.24;1349530.3;1349530.3;1349530.3;2026-07-24;270;10.1;;;;64.82;2019-08-02;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;ПИК БО-7;RU000A0JWP46;12;424239.1;102;102.5;102.35;102.35;29.92;102.23;9.93;102.5;415;;102.23;102.35;0;540791.9;0;2026-07-24;269;10.1;;;;64.82;2019-08-02;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;ПИК БО-7;RU000A0JWP46;27;5003625.3;102;102.34;102.34;102.34;30.99;102.03;9.91;102.21;4904;102.03;102.03;102.34;5003625.3;5003625.3;5003625.3;2026-07-24;266;10.35;;;;64.82;2019-08-02;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;ПИК БО-7;RU000A0JWP46;35;5872491.9;101.37;102.29;102.29;102.29;31.34;102.01;9.97;102.06;5757;102.01;102.01;102.29;5872491.9;5872491.9;5872491.9;2026-07-24;265;10.37;;;;64.82;2019-08-02;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;ПИК БО-7;RU000A0JWP46;13;3679183.3;101.99;102.29;102.29;102.01;31.7;102;9.96;101.99;3607;102;102;102.01;3679183.3;3679183.3;3679183.3;2026-07-24;264;10.38;;;;64.82;2019-08-02;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;ПИК БО-7;RU000A0JWP46;7;42841.6;101.99;102.03;102;102;32.05;102;10.37;102.03;42;102;102.01;102;3722024.9;961913.8;3722024.9;2026-07-24;263;10.37;;;;64.82;2019-08-02;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;ПИК БО-7;RU000A0JWP46;11;453418.9;102.09;102.2;102.2;102.17;32.41;102.12;10.06;102.09;444;;102.12;102.17;0;514672.7;0;2026-07-24;262;10.18;;;;64.82;2019-08-02;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;ПИК БО-7;RU000A0JWP46;9;144081.2;101.91;102.3;102.3;102.29;33.84;102.19;9.87;101.92;141;102.14;102.14;102.29;597500.1;592395.6;597500.1;2026-07-24;258;10.03;;;;64.82;2019-08-02;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;ПИК БО-7;RU000A0JWP46;22;560032.7;101.91;102.05;101.95;101.95;34.19;102.01;10.38;102.05;549;102.01;102.01;101.95;560032.7;560032.7;560032.7;2026-07-24;257;10.29;;;;64.82;2019-08-02;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-08;ПИК БО-7;RU000A0JWP46;13;248658;101.85;101.98;101.9;101.89;34.55;101.91;10.44;101.98;244;;101.97;101.89;0;739308.1;0;2026-07-24;256;10.43;;;;64.82;2019-08-02;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-09;ПИК БО-7;RU000A0JWP46;13;1004417.5;101.76;102.24;101.86;101.98;34.9;101.97;10.49;101.76;985;101.97;101.97;101.98;1004417.5;1004417.5;1004417.5;2026-07-24;255;10.33;;;;64.82;2019-08-02;2018-11-09;1000;SUR;;;;;RUB
EQOB;2018-11-12;ПИК БО-7;RU000A0JWP46;3;55025.5;101.89;101.9;101.9;101.9;35.97;101.9;10.4;101.89;54;101.97;101.98;101.9;1059443;994267.4;1059443;2026-07-24;252;10.4;;;;64.82;2019-08-02;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;ПИК БО-7;RU000A0JWP46;12;990029.3;101.35;101.9;101.81;101.84;36.33;101.54;10.52;101.9;975;101.54;101.54;101.84;990029.3;990029.3;990029.3;2026-07-24;251;10.94;;;;64.82;2019-08-02;2018-11-13;1000;SUR;;;;;RUB
EQOB;2018-11-14;ПИК БО-7;RU000A0JWP46;12;797315.6;101.65;102.2;101.65;101.66;36.68;101.83;10.76;102.2;783;101.83;101.83;101.66;797315.6;797315.6;797315.6;2026-07-24;250;10.48;;;;64.82;2019-08-02;2018-11-14;1000;SUR;;;;;RUB
EQOB;2018-11-15;ПИК БО-7;RU000A0JWP46;41;30997078.7;101.6;101.9;101.85;101.85;37.04;101.7;10.44;101.6;30479;101.7;101.7;101.85;30997078.7;30997078.7;30997078.7;2026-07-24;249;10.67;;;;64.82;2019-08-02;2018-11-15;1000;SUR;;;;;RUB
EQOB;2018-11-16;ПИК БО-7;RU000A0JWP46;11;2537247.4;101.85;102.2;101.85;101.85;37.4;101.9;10.43;102.18;2490;101.9;101.9;101.85;2537247.4;2537247.4;2537247.4;2026-07-24;248;10.36;;;;64.82;2019-08-02;2018-11-16;1000;SUR;;;;;RUB
EQOB;2018-11-19;ПИК БО-7;RU000A0JWP46;33;4476522.9;101.64;102.19;101.65;101.65;38.47;101.67;10.71;102.19;4403;101.67;101.67;101.65;4476522.9;4476522.9;4476522.9;2026-07-24;245;10.68;;;;64.82;2019-08-02;2018-11-19;1000;SUR;;;;;RUB
EQOB;2018-11-20;ПИК БО-7;RU000A0JWP46;35;38449160.4;101.15;101.7;101.15;101.15;38.82;101.17;11.49;101.7;38003;101.17;101.17;101.15;38449160.4;38449160.4;38449160.4;2026-07-24;244;11.46;;;;64.82;2019-08-02;2018-11-20;1000;SUR;;;;;RUB
EQOB;2018-11-21;ПИК БО-7;RU000A0JWP46;73;686448298.2;100.88;101.29;101.05;101.05;39.18;101.05;11.64;101.28;679316;101.05;101.05;101.05;686448298.2;686448298.2;686448298.2;2026-07-24;243;11.64;;;;64.82;2019-08-02;2018-11-21;1000;SUR;;;;;RUB
EQOB;2018-11-22;ПИК БО-7;RU000A0JWP46;68;137796431.3;101;101.49;101.05;101.05;39.53;101.02;11.64;101.15;136377;101.04;101.04;101.05;137796431.3;137796431.3;137796431.3;2026-07-24;242;11.69;;;;64.82;2019-08-02;2018-11-22;1000;SUR;;;;;RUB
EQOB;2018-11-23;ПИК БО-7;RU000A0JWP46;28;3111341.2;101.02;101.47;101.05;101.05;39.89;101.05;11.63;101.47;3079;101.05;101.05;101.05;3111341.2;3111341.2;3111341.2;2026-07-24;241;11.63;;;;64.82;2019-08-02;2018-11-23;1000;SUR;;;;;RUB
EQOB;2018-11-26;ПИК БО-7;RU000A0JWP46;39;669164.5;100.86;101.39;101.03;101.03;40.96;101.08;11.64;101.01;662;101.08;101.08;101.03;669164.5;669164.5;669164.5;2026-07-24;238;11.56;;;;64.82;2019-08-02;2018-11-26;1000;SUR;;;;;RUB
EQOB;2018-11-27;ПИК БО-7;RU000A0JWP46;7;27304.1;101.01;101.37;101.37;101.37;41.32;101.13;11.08;101.2;27;101.08;101.13;101.37;696468.6;546089.4;696468.6;2026-07-24;237;11.47;;;;64.82;2019-08-02;2018-11-27;1000;SUR;;;;;RUB
EQOB;2018-11-28;ПИК БО-7;RU000A0JWP46;18;10433385;101.03;101.25;101.25;101.25;41.67;101.24;11.27;101.23;10306;101.24;101.24;101.25;10433385;10433385;10433385;2026-07-24;236;11.29;;;;64.82;2019-08-02;2018-11-28;1000;SUR;;;;;RUB
EQOB;2018-11-29;ПИК БО-7;RU000A0JWP46;36;11114513.3;101.01;101.47;101.3;101.42;42.03;101.35;11.18;101.1;10967;101.35;101.35;101.42;11114513.3;11114513.3;11114513.3;2026-07-24;235;11.1;;;;64.82;2019-08-02;2018-11-29;1000;SUR;;;;;RUB
EQOB;2018-11-30;ПИК БО-7;RU000A0JWP46;33;6449791.5;101.1;101.42;101.4;101.4;42.38;101.24;11.01;101.42;6371;101.24;101.24;101.4;6449791.5;6449791.5;6449791.5;2026-07-24;234;11.27;;;;64.82;2019-08-02;2018-11-30;1000;SUR;;;;;RUB
EQOB;2018-12-03;ПИК БО-7;RU000A0JWP46;25;12241175.2;101.34;101.5;101.5;101.5;43.45;101.38;10.82;101.5;12078;101.35;101.35;101.5;12241175.2;12241175.2;12241175.2;2026-07-24;231;11.02;;;;64.82;2019-08-02;2018-12-03;1000;SUR;;;;;RUB
