,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,СилМашБО-3,RU000A0JWTW3,4,468459.9,95.0,96.99,96.99,96.99,1.91,95.41,13.77,96.99,491,95.87,95.49,96.99,5617109.4,554769.9,5617109.4,2026-09-14,348,15.74,,,,49.61,2019-09-23,2018-10-01,1000,SUR,,13.5086,,2019-09-30,RUB
1,EQOB,2018-10-02,СилМашБО-3,RU000A0JWTW3,6,2397636.5,96.0,96.5,96.1,96.1,2.18,96.06,14.89,96.01,2496,95.95,95.95,96.1,2866096.4,2866096.4,2866096.4,2026-09-14,347,14.94,,,,49.61,2019-09-23,2018-10-02,1000,SUR,,14.5996,,2019-09-30,RUB
2,EQOB,2018-10-03,СилМашБО-3,RU000A0JWTW3,5,118326.9,96.9,96.99,96.99,96.99,2.45,96.99,13.79,96.9,122,96.1,96.1,96.99,2515963.4,2511162.9,2515963.4,2026-09-14,346,13.79,,,,49.61,2019-09-23,2018-10-03,1000,SUR,,13.5249,,2019-09-30,RUB
3,EQOB,2018-10-04,СилМашБО-3,RU000A0JWTW3,5,7767.1,96.9,97.15,97.15,97.15,2.73,97.09,13.6,96.9,8,,96.11,97.15,0.0,2518930.0,0.0,2026-09-14,345,13.67,,,,49.61,2019-09-23,2018-10-04,1000,SUR,,13.3384,,2019-09-30,RUB
4,EQOB,2018-10-05,СилМашБО-3,RU000A0JWTW3,7,120844.0,96.5,97.5,97.48,97.48,3.0,97.45,13.2,96.9,124,,96.84,97.48,0.0,522924.0,0.0,2026-09-14,344,13.24,,,,49.61,2019-09-23,2018-10-05,1000,SUR,,12.9479,,2019-09-30,RUB
5,EQOB,2018-10-08,СилМашБО-3,RU000A0JWTW3,31,301756.0,96.5,97.9,97.5,97.5,3.82,97.34,13.2,97.48,310,,97.29,97.5,0.0,546755.1,0.0,2026-09-14,341,13.4,,,,49.61,2019-09-23,2018-10-08,1000,SUR,,12.943,,2019-09-30,RUB
6,EQOB,2018-10-09,СилМашБО-3,RU000A0JWTW3,22,1446863.8,96.5,97.9,96.5,96.5,4.09,97.43,14.46,97.9,1485,97.43,97.43,96.5,1446863.8,1446863.8,1446863.8,2026-09-14,340,13.29,,,,49.61,2019-09-23,2018-10-09,1000,SUR,,14.1776,,2019-09-30,RUB
7,EQOB,2018-10-10,СилМашБО-3,RU000A0JWTW3,19,67336658.9,96.1,98.0,98.0,97.99,4.36,97.99,12.6,97.7,68719,97.99,97.99,97.99,67336658.9,67336658.9,67336658.9,2026-09-14,339,12.61,,,,49.61,2019-09-23,2018-10-10,1000,SUR,,12.3509,,2019-09-30,RUB
8,EQOB,2018-10-11,СилМашБО-3,RU000A0JWTW3,19,44859611.4,96.03,98.0,97.95,97.96,4.63,97.93,12.66,96.03,45808,97.93,97.93,97.96,44859611.4,44859611.4,44859611.4,2026-09-14,338,12.69,,,,49.61,2019-09-23,2018-10-11,1000,SUR,,12.4167,,2019-09-30,RUB
9,EQOB,2018-10-12,СилМашБО-3,RU000A0JWTW3,14,161093.2,97.01,98.47,98.42,98.42,4.91,98.23,12.09,98.0,164,,98.0,98.42,0.0,27025832.1,0.0,2026-09-14,337,12.32,,,,49.61,2019-09-23,2018-10-12,1000,SUR,,11.8537,,2019-09-30,RUB
10,EQOB,2018-10-15,СилМашБО-3,RU000A0JWTW3,10,28275606.4,98.02,98.45,98.44,98.44,5.72,98.45,12.08,98.44,28721,98.45,98.45,98.44,28275606.4,28275606.4,28275606.4,2026-09-14,334,12.07,,,,49.61,2019-09-23,2018-10-15,1000,SUR,,11.8418,,2019-09-30,RUB
11,EQOB,2018-10-16,СилМашБО-3,RU000A0JWTW3,17,1887575.2,97.01,98.5,98.49,98.44,6.0,98.47,12.02,98.5,1917,98.47,98.47,98.44,1887575.2,1887575.2,1887575.2,2026-09-14,333,12.05,,,,49.61,2019-09-23,2018-10-16,1000,SUR,,11.784,,2019-09-30,RUB
12,EQOB,2018-10-17,СилМашБО-3,RU000A0JWTW3,9,15713.8,96.51,98.5,98.43,98.43,6.27,98.21,12.1,96.51,16,98.46,98.44,98.43,1903289.0,874126.6,1903289.0,2026-09-14,332,12.37,,,,49.61,2019-09-23,2018-10-17,1000,SUR,,11.8609,,2019-09-30,RUB
13,EQOB,2018-10-18,СилМашБО-3,RU000A0JWTW3,12,67640125.8,98.49,98.75,98.75,98.74,6.54,98.71,11.71,98.49,68523,98.71,98.71,98.74,67640125.8,67640125.8,67640125.8,2026-09-14,331,11.76,,,,49.61,2019-09-23,2018-10-18,1000,SUR,,11.4759,,2019-09-30,RUB
14,EQOB,2018-10-19,СилМашБО-3,RU000A0JWTW3,15,507764.1,96.96,99.0,99.0,99.0,6.82,98.98,11.4,96.96,513,98.98,98.98,99.0,507764.1,507764.1,507764.1,2026-09-14,330,11.43,,,,49.61,2019-09-23,2018-10-19,1000,SUR,,11.1748,,2019-09-30,RUB
15,EQOB,2018-10-22,СилМашБО-3,RU000A0JWTW3,12,10759460.5,98.0,99.9,99.6,99.6,7.63,98.91,10.67,98.75,10878,98.91,98.91,99.6,10759460.5,10759460.5,10759460.5,2026-09-14,327,11.52,,,,49.61,2019-09-23,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,СилМашБО-3,RU000A0JWTW3,16,1370601.7,98.51,99.88,99.0,99.0,7.91,99.03,11.41,98.51,1384,99.03,99.03,99.0,1370601.7,1370601.7,1370601.7,2026-09-14,326,11.38,,,,49.61,2019-09-23,2018-10-23,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,СилМашБО-3,RU000A0JWTW3,7,1043518.4,99.0,99.88,99.0,99.0,8.18,99.29,11.42,99.88,1051,99.14,99.18,99.0,2414120.1,1625638.4,2414120.1,2026-09-14,325,11.05,,,,49.61,2019-09-23,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,СилМашБО-3,RU000A0JWTW3,8,6900047.6,98.99,99.45,99.45,99.45,8.45,99.32,10.86,98.99,6947,99.32,99.3,99.45,7943566.0,7382177.6,7943566.0,2026-09-14,324,11.02,,,,49.61,2019-09-23,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,СилМашБО-3,RU000A0JWTW3,11,114334.2,99.0,99.5,99.0,99.01,8.72,99.42,11.42,99.5,115,,99.45,99.01,0.0,5086834.2,0.0,2026-09-14,323,10.9,,,,49.61,2019-09-23,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,СилМашБО-3,RU000A0JWTW3,20,837467684.8,98.32,99.4,99.4,99.25,9.54,98.35,10.93,98.32,851510,98.35,98.35,99.25,837467684.8,837467684.8,837467684.8,2026-09-14,320,12.26,,,,49.61,2019-09-23,2018-10-29,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,СилМашБО-3,RU000A0JWTW3,4,14852.9,98.9,99.39,99.39,99.39,9.81,98.39,10.94,98.9,15,98.35,99.25,99.39,837482537.7,824754.7,837482537.7,2026-09-14,319,12.22,,,,49.61,2019-09-23,2018-10-30,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,СилМашБО-3,RU000A0JWTW3,1,992.9,99.29,99.29,99.29,99.29,10.09,99.29,11.07,99.29,1,98.35,99.25,99.29,837483530.6,819808.8,837483530.6,2026-09-14,318,11.07,,,,49.61,2019-09-23,2018-10-31,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,СилМашБО-3,RU000A0JWTW3,2,29760.0,99.2,99.2,99.2,99.2,10.36,99.2,11.18,99.2,30,98.35,99.27,99.2,837627624.8,775323.8,837627624.8,2026-09-14,317,11.18,,,,49.61,2019-09-23,2018-11-01,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,СилМашБО-3,RU000A0JWTW3,4,25750.6,98.95,99.39,98.95,98.95,10.63,99.04,11.51,99.39,26,98.35,99.36,98.95,837539041.2,585254.4,837539041.2,2026-09-14,316,11.39,,,,49.61,2019-09-23,2018-11-02,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,СилМашБО-3,RU000A0JWTW3,2,567270.0,99.0,99.0,99.0,99.0,11.72,99.0,11.46,99.0,573,99.01,99.01,99.0,638626.4,624767.4,638626.4,2026-09-14,312,11.46,,,,49.61,2019-09-23,2018-11-06,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,СилМашБО-3,RU000A0JWTW3,7,70130.2,98.71,98.94,98.72,98.72,11.99,98.77,11.83,98.71,71,98.98,98.97,98.72,663150.8,647295.2,663150.8,2026-09-14,311,11.76,,,,49.61,2019-09-23,2018-11-07,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,СилМашБО-3,RU000A0JWTW3,3,100000.2,98.99,100.03,99.0,99.0,12.27,99.0,11.46,100.03,101,98.98,98.98,99.0,736400.1,726500.1,736400.1,2026-09-14,310,11.46,,,,49.61,2019-09-23,2018-11-08,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,СилМашБО-3,RU000A0JWTW3,3,14775.5,98.5,98.51,98.5,98.5,12.54,98.5,12.13,98.51,15,,98.97,98.5,0.0,741275.6,0.0,2026-09-14,309,12.13,,,,49.61,2019-09-23,2018-11-09,1000,SUR,,,,,RUB
29,EQOB,2018-11-12,СилМашБО-3,RU000A0JWTW3,7,365907.6,98.52,98.98,98.52,98.53,13.36,98.89,12.11,98.96,370,,98.9,98.53,0.0,500458.2,0.0,2026-09-14,306,11.62,,,,49.61,2019-09-23,2018-11-12,1000,SUR,,,,,RUB
30,EQOB,2018-11-13,СилМашБО-3,RU000A0JWTW3,6,44325.0,98.5,98.5,98.5,98.5,13.63,98.5,12.15,98.5,45,,98.87,98.5,0.0,523018.1,0.0,2026-09-14,305,12.15,,,,49.61,2019-09-23,2018-11-13,1000,SUR,,,,,RUB
31,EQOB,2018-11-14,СилМашБО-3,RU000A0JWTW3,14,11405261.8,98.43,98.8,98.8,98.8,13.9,98.49,11.75,98.43,11580,98.49,98.49,98.8,11405261.8,11405261.8,11405261.8,2026-09-14,304,12.17,,,,49.61,2019-09-23,2018-11-14,1000,SUR,,,,,RUB
32,EQOB,2018-11-15,СилМашБО-3,RU000A0JWTW3,7,5153955.6,98.59,98.7,98.6,98.6,14.18,98.7,12.02,98.7,5222,98.56,98.61,98.6,16559217.4,8945233.6,16559217.4,2026-09-14,303,11.89,,,,49.61,2019-09-23,2018-11-15,1000,SUR,,,,,RUB
33,EQOB,2018-11-16,СилМашБО-3,RU000A0JWTW3,7,1825699.6,98.51,98.74,98.74,98.74,14.45,98.74,11.84,98.51,1849,98.71,98.74,98.74,6979655.2,1835559.3,6979655.2,2026-09-14,302,11.84,,,,49.61,2019-09-23,2018-11-16,1000,SUR,,,,,RUB
34,EQOB,2018-11-19,СилМашБО-3,RU000A0JWTW3,18,65260491.8,98.6,99.0,99.0,99.0,15.27,98.86,11.5,98.85,66013,98.86,98.86,99.0,65260491.8,65260491.8,65260491.8,2026-09-14,299,11.69,,,,49.61,2019-09-23,2018-11-19,1000,SUR,,,,,RUB
35,EQOB,2018-11-20,СилМашБО-3,RU000A0JWTW3,10,11614095.5,98.84,99.9,99.9,99.77,15.54,98.92,10.3,98.84,11741,98.92,98.92,99.77,11614095.5,11614095.5,11614095.5,2026-09-14,298,11.61,,,,49.61,2019-09-23,2018-11-20,1000,SUR,,,,,RUB
36,EQOB,2018-11-21,СилМашБО-3,RU000A0JWTW3,21,2186890.3,98.66,98.85,98.8,98.8,15.81,98.82,11.78,98.66,2213,98.82,98.82,98.8,2186890.3,2186890.3,2186890.3,2026-09-14,297,11.75,,,,49.61,2019-09-23,2018-11-21,1000,SUR,,,,,RUB
37,EQOB,2018-11-22,СилМашБО-3,RU000A0JWTW3,12,1503507.0,98.61,98.85,98.61,98.61,16.08,98.78,12.05,98.79,1522,98.78,98.78,98.61,1503507.0,1503507.0,1503507.0,2026-09-14,296,11.81,,,,49.61,2019-09-23,2018-11-22,1000,SUR,,,,,RUB
38,EQOB,2018-11-23,СилМашБО-3,RU000A0JWTW3,6,301757.7,98.85,99.11,98.85,98.85,16.36,98.94,11.72,99.11,305,98.81,98.85,98.85,1805264.7,906413.9,1805264.7,2026-09-14,295,11.6,,,,49.61,2019-09-23,2018-11-23,1000,SUR,,,,,RUB
39,EQOB,2018-11-26,СилМашБО-3,RU000A0JWTW3,13,1303232.6,98.5,98.85,98.5,98.64,17.17,98.66,12.22,98.72,1321,98.66,98.66,98.64,1303232.6,1303232.6,1303232.6,2026-09-14,292,12.0,,,,49.61,2019-09-23,2018-11-26,1000,SUR,,,,,RUB
40,EQOB,2018-11-27,СилМашБО-3,RU000A0JWTW3,1,9870.0,98.7,98.7,98.7,98.7,17.45,98.7,11.95,98.7,10,98.66,98.65,98.7,1313102.6,1271628.2,1313102.6,2026-09-14,291,11.95,,,,49.61,2019-09-23,2018-11-27,1000,SUR,,,,,RUB
