history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;СберБ БО37;RU000A0JWUE9;35;335784.8;103;104.38;103.04;103.04;0.25;103.96;8.25;103.92;323;;103.64;103.04;0;510926.1;0;2021-09-30;983;7.9;;;;45.87;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;СберБ БО37;RU000A0JWUE9;16;74772.8;103.1;104.34;103.14;103.51;0.51;103.85;8.21;103.51;72;;103.66;103.51;0;585698.9;0;2021-09-30;982;7.94;;;;45.87;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;СберБ БО37;RU000A0JWUE9;18;1484957.4;103.26;104.25;103.5;103.5;0.76;103.92;8.07;104.25;1429;103.92;103.92;103.5;1484957.4;1484957.4;1484957.4;2021-09-30;981;7.91;;;;45.87;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;СберБ БО37;RU000A0JWUE9;12;27944.2;103.16;103.69;103.69;103.64;1.01;103.5;8;103.16;27;;103.84;103.64;0;1166108.6;0;2021-09-30;980;8.07;;;;45.87;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;СберБ БО37;RU000A0JWUE9;9;14536.3;103.3;104.04;103.98;103.98;1.27;103.83;7.88;103.68;14;;103.84;103.98;0;1180644.9;0;2021-09-30;979;7.94;;;;45.87;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;СберБ БО37;RU000A0JWUE9;9;20792.5;103.4;104.24;104.14;104.14;2.03;103.96;7.82;103.99;20;;103.84;104.14;0;1201437.4;0;2021-09-30;976;7.88;;;;45.87;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;СберБ БО37;RU000A0JWUE9;16;219411.8;103.15;103.98;103.98;103.98;2.28;103.5;7.88;103.52;212;;103.79;103.98;0;1420849.2;0;2021-09-30;975;8.06;;;;45.87;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;СберБ БО37;RU000A0JWUE9;4;16586.8;103.33;103.69;103.69;103.69;2.53;103.67;7.99;103.69;16;;103.79;103.69;0;1437436;0;2021-09-30;974;7.99;;;;45.87;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;СберБ БО37;RU000A0JWUE9;15;150386.7;103.32;103.75;103.74;103.74;2.79;103.71;7.97;103.69;145;;103.78;103.74;0;1587822.7;0;2021-09-30;973;7.98;;;;45.87;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;СберБ БО37;RU000A0JWUE9;22;2515532.7;103.3;104.85;103.74;103.74;3.04;103.31;7.96;104.85;2435;103.31;103.31;103.74;2514484.2;2514484.2;2514484.2;2021-09-30;972;8.13;;;;45.87;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;СберБ БО37;RU000A0JWUE9;11;65413.1;103.32;103.89;103.85;103.85;3.8;103.83;7.92;103.74;63;;103.34;103.85;0;960004.3;0;2021-09-30;969;7.93;;;;45.87;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;СберБ БО37;RU000A0JWUE9;16;47636.8;103.35;103.89;103.79;103.79;4.05;103.56;7.94;103.35;46;;103.39;103.79;0;522131.1;0;2021-09-30;968;8.03;;;;45.87;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;СберБ БО37;RU000A0JWUE9;9;1409315.3;103.7;103.79;103.75;103.75;4.31;103.7;7.95;103.79;1359;103.7;103.7;103.75;1456952.1;1412429;1456952.1;2021-09-30;967;7.97;;;;45.87;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;СберБ БО37;RU000A0JWUE9;5;47718.5;103.72;103.89;103.72;103.72;4.56;103.74;7.96;103.84;46;103.7;103.7;103.72;1457033.8;1449768.5;1457033.8;2021-09-30;966;7.96;;;;45.87;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;СберБ БО37;RU000A0JWUE9;11;21818.5;103.4;103.94;103.93;103.93;4.82;103.9;7.88;103.89;21;;103.71;103.93;0;1469512;0;2021-09-30;965;7.89;;;;45.87;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;СберБ БО37;RU000A0JWUE9;10;36461.1;103.42;106;103.42;103.56;5.58;104.17;8.08;106;35;;103.72;103.56;0;1505973.1;0;2021-09-30;962;7.78;;;;45.87;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;СберБ БО37;RU000A0JWUE9;7;17592.1;103.43;103.5;103.48;103.48;5.83;103.48;8.05;103.5;17;;103.71;103.48;0;1523565.2;0;2021-09-30;961;8.05;;;;45.87;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;СберБ БО37;RU000A0JWUE9;12;77622.8;103.45;103.6;103.6;103.6;6.08;103.5;8;103.49;75;;103.7;103.6;0;1601188;0;2021-09-30;960;8.04;;;;45.87;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;СберБ БО37;RU000A0JWUE9;4;45750.3;103.89;103.98;103.98;103.98;6.34;103.98;7.85;103.89;44;;103.71;103.98;0;1646938.3;0;2021-09-30;959;7.85;;;;45.87;;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;СберБ БО37;RU000A0JWUE9;23;4229155.9;103.26;103.98;103.26;103.42;6.59;103.53;8.14;103.98;4085;103.53;103.53;103.42;4229155.9;4229155.9;4229155.9;2021-09-30;958;8.03;;;;45.87;;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;СберБ БО37;RU000A0JWUE9;9;240912.2;103.13;103.4;103.4;103.4;7.35;103.4;8.08;103.13;233;103.52;103.44;103.4;4470068.1;529637.1;4470068.1;2021-09-30;955;8.08;;;;45.87;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;СберБ БО37;RU000A0JWUE9;11;126226.2;103.12;103.5;103.12;103.24;7.6;103.46;8.19;103.5;122;;103.43;103.24;0;501618.8;0;2021-09-30;954;8.05;;;;45.87;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;СберБ БО37;RU000A0JWUE9;21;500755.5;102.83;103.97;102.83;102.83;7.86;103.25;8.3;103.49;485;103.25;103.25;102.83;500755.5;500755.5;500755.5;2021-09-30;953;8.13;;;;45.87;;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;СберБ БО37;RU000A0JWUE9;13;511438.1;102.92;104.2;102.92;102.92;8.11;103.74;8.26;103.38;493;103.74;103.74;102.92;511438.1;511438.1;511438.1;2021-09-30;952;7.94;;;;45.87;;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;СберБ БО37;RU000A0JWUE9;29;714009.7;102.37;103.3;102.37;102.37;8.36;102.59;8.48;103.01;696;102.59;102.59;102.37;714009.7;714009.7;714009.7;2021-09-30;950;8.4;;;;45.87;;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;СберБ БО37;RU000A0JWUE9;22;22735684.5;102;102.45;102.44;102.44;9.38;102.01;8.45;102.45;22287;102.01;102.01;102.44;22735684.5;22735684.5;22735684.5;2021-09-30;946;8.63;;;;45.87;;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;СберБ БО37;RU000A0JWUE9;10;115141;102.42;102.97;102.79;102.79;9.63;102.8;8.31;102.97;112;;102.03;102.79;0;2685558.3;0;2021-09-30;946;8.31;;;;45.87;;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-08;СберБ БО37;RU000A0JWUE9;10;74969;102.24;102.97;102.7;102.7;9.88;102.7;8.34;102.97;73;;102.05;102.7;0;2760527.3;0;2021-09-30;944;8.34;;;;45.87;;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-09;СберБ БО37;RU000A0JWUE9;20;1287394.3;102.45;102.97;102.45;102.45;10.14;102.5;8.44;102.97;1256;102.5;102.5;102.45;1287394.3;1287394.3;1287394.3;2021-09-30;943;8.42;;;;45.87;;2018-11-09;1000;SUR;;;;;RUB
EQOB;2018-11-12;СберБ БО37;RU000A0JWUE9;12;110699.6;102.07;102.7;102.5;102.5;10.9;102.5;8.42;102.69;108;;102.5;102.5;0;1390909;0;2021-09-30;940;8.42;;;;45.87;;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;СберБ БО37;RU000A0JWUE9;16;257792.4;102.08;102.3;102.3;102.3;11.15;102.3;8.5;102.08;252;;102.4;102.3;0;543762.5;0;2021-09-30;939;8.5;;;;45.87;;2018-11-13;1000;SUR;;;;;RUB
EQOB;2018-11-14;СберБ БО37;RU000A0JWUE9;42;4827080;101.8;104.04;102.9;102.9;11.4;102.36;8.26;102.98;4716;102.36;102.36;102.9;4827080;4827080;4827080;2021-09-30;938;8.48;;;;45.87;;2018-11-14;1000;SUR;;;;;RUB
EQOB;2018-11-15;СберБ БО37;RU000A0JWUE9;13;21664.4;102.32;103.87;102.52;102.52;11.66;103.16;8.41;102.32;21;;103.87;102.52;0;619077;0;2021-09-30;938;8.15;;;;45.87;;2018-11-15;1000;SUR;;;;;RUB
EQOB;2018-11-16;СберБ БО37;RU000A0JWUE9;12;36039.9;102.31;103.72;102.99;102.99;11.91;102.97;8.22;103.71;35;;103.82;102.99;0;655116.9;0;2021-09-30;937;8.23;;;;45.87;;2018-11-16;1000;SUR;;;;;RUB
EQOB;2018-11-19;СберБ БО37;RU000A0JWUE9;2;6243.2;102.57;104.35;102.57;102.57;12.67;102.57;8.39;104.35;6;;103.82;102.57;0;656142.6;0;2021-09-30;933;8.39;;;;45.87;;2018-11-19;1000;SUR;;;;;RUB
EQOB;2018-11-20;СберБ БО37;RU000A0JWUE9;12;477473.5;103.64;103.84;103.8;103.8;12.92;103.8;7.89;103.64;460;;103.74;103.8;0;504179.2;0;2021-09-30;933;7.89;;;;45.87;;2018-11-20;1000;SUR;;;;;RUB
EQOB;2018-11-21;СберБ БО37;RU000A0JWUE9;17;187273.8;102.72;103.8;102.74;102.74;13.18;103.47;8.31;103.8;181;;103.7;102.74;0;614931;0;2021-09-30;932;8.02;;;;45.87;;2018-11-21;1000;SUR;;;;;RUB
EQOB;2018-11-22;СберБ БО37;RU000A0JWUE9;11;15451;102.56;103.74;103.3;103.3;13.43;103.01;8.09;102.74;15;;103.68;103.3;0;630382;0;2021-09-30;931;8.2;;;;45.87;;2018-11-22;1000;SUR;;;;;RUB
EQOB;2018-11-23;СберБ БО37;RU000A0JWUE9;13;193237.8;103.05;104.53;103.05;103.05;13.68;103.88;8.19;104.53;186;;103.73;103.05;0;821529.2;0;2021-09-30;930;7.85;;;;45.87;;2018-11-23;1000;SUR;;;;;RUB
EQOB;2018-11-26;СберБ БО37;RU000A0JWUE9;18;105399.8;103.08;103.89;103.08;103.08;14.45;103.33;8.17;103.89;102;;103.58;103.08;0;501347.8;0;2021-09-30;927;8.07;;;;45.87;;2018-11-26;1000;SUR;;;;;RUB
EQOB;2018-11-27;СберБ БО37;RU000A0JWUE9;11;25875.6;103.08;103.74;103.73;103.73;14.7;103.5;7.91;103.08;25;;103.57;103.73;0;513729.4;0;2021-09-30;926;8;;;;45.87;;2018-11-27;1000;SUR;;;;;RUB
EQOB;2018-11-28;СберБ БО37;RU000A0JWUE9;8;16525.4;103.11;103.83;103.11;103.12;14.95;103.28;8.16;103.12;16;;103.57;103.12;0;530254.8;0;2021-09-30;925;8.09;;;;45.87;;2018-11-28;1000;SUR;;;;;RUB
EQOB;2018-11-29;СберБ БО37;RU000A0JWUE9;9;64389.9;103.05;103.95;103.2;103.2;15.21;103.85;8.12;103.91;62;;103.6;103.2;0;594644.7;0;2021-09-30;924;7.85;;;;45.87;;2018-11-29;1000;SUR;;;;;RUB
EQOB;2018-11-30;СберБ БО37;RU000A0JWUE9;14;578227.2;103;103.84;103.05;103.05;15.46;103.07;8.18;103.84;561;103.07;103.07;103.05;578227.2;578227.2;578227.2;2021-09-30;923;8.17;;;;45.87;;2018-11-30;1000;SUR;;;;;RUB
EQOB;2018-12-03;СберБ БО37;RU000A0JWUE9;9;37345.2;103.08;104.66;103.1;103.1;16.22;103.71;8.15;104.66;36;103.11;103.11;103.1;614525.8;551631.9;614525.8;2021-09-30;920;7.91;;;;45.87;;2018-12-03;1000;SUR;;;;;RUB
EQOB;2018-12-04;СберБ БО37;RU000A0JWUE9;13;607077.8;103.01;103.76;103.7;103.7;16.47;103.6;7.91;103.76;586;103.6;103.6;103.7;607077.8;607077.8;607077.8;2021-09-30;919;7.95;;;;45.87;;2018-12-04;1000;SUR;;;;;RUB
EQOB;2018-12-05;СберБ БО37;RU000A0JWUE9;7;12366;102.65;103.71;103.71;103.71;16.73;103.05;7.9;103.12;12;103.59;103.68;103.71;619443.8;517384.8;619443.8;2021-09-30;918;8.17;;;;45.87;;2018-12-05;1000;SUR;;;;;RUB
EQOB;2018-12-06;СберБ БО37;RU000A0JWUE9;6;24858.7;103.12;103.68;103.12;103.48;16.98;103.58;8.14;103.65;24;;103.68;103.48;0;540169.7;0;2021-09-30;917;7.95;;;;45.87;;2018-12-06;1000;SUR;;;;;RUB
EQOB;2018-12-07;СберБ БО37;RU000A0JWUE9;11;113050;103.14;103.75;103.75;103.75;17.23;103.72;7.88;103.69;109;;103.69;103.75;0;653219.7;0;2021-09-30;916;7.9;;;;45.87;;2018-12-07;1000;SUR;;;;;RUB
EQOB;2018-12-10;СберБ БО37;RU000A0JWUE9;7;19617.2;103.01;105.01;103.4;103.4;17.99;103.15;8.02;105.01;19;;103.67;103.4;0;671786.8;0;2021-09-30;913;8.13;;;;45.87;;2018-12-10;1000;SUR;;;;;RUB
EQOB;2018-12-11;СберБ БО37;RU000A0JWUE9;7;21644.8;103.07;103.08;103.07;103.07;18.25;103.07;8.16;103.08;21;;103.65;103.07;0;693431.6;0;2021-09-30;912;8.16;;;;45.87;;2018-12-11;1000;SUR;;;;;RUB
EQOB;2018-12-12;СберБ БО37;RU000A0JWUE9;9;674599;103.04;103.68;103.68;103.68;18.5;103.63;7.91;103.04;651;103.61;103.62;103.68;696243.8;679752.5;696243.8;2021-09-30;911;7.93;;;;45.87;;2018-12-12;1000;SUR;;;;;RUB
EQOB;2018-12-13;СберБ БО37;RU000A0JWUE9;1;1030.8;103.08;103.08;103.08;103.08;18.75;103.08;8.15;103.08;1;103.62;103.62;103.08;675629.8;675629.8;675629.8;2021-09-30;910;8.15;;;;45.87;;2018-12-13;1000;SUR;;;;;RUB
EQOB;2018-12-14;СберБ БО37;RU000A0JWUE9;5;1020750.7;103.14;103.63;103.14;103.14;19.01;103.52;8.13;103.63;986;103.56;103.58;103.14;1696380.5;1638666.5;1696380.5;2021-09-30;909;7.97;;;;45.87;;2018-12-14;1000;SUR;;;;;RUB
EQOB;2018-12-17;СберБ БО37;RU000A0JWUE9;2;2057;102.07;103.63;103.63;103.63;19.77;103.63;7.92;102.07;2;103.56;103.58;103.63;1719061.6;1635557.2;1719061.6;2021-09-30;906;7.92;;;;45.87;;2018-12-17;1000;SUR;;;;;RUB
EQOB;2018-12-18;СберБ БО37;RU000A0JWUE9;6;29017.7;103.63;103.64;103.63;103.63;20.02;103.63;7.92;103.64;28;103.53;103.53;103.63;1050804.7;1035260.2;1050804.7;2021-09-30;905;7.92;;;;45.87;;2018-12-18;1000;SUR;;;;;RUB
EQOB;2018-12-19;СберБ БО37;RU000A0JWUE9;2;5154.9;103.09;103.1;103.09;103.09;20.27;103.1;8.14;103.1;5;103.53;103.63;103.09;1056990.4;716053.1;1056990.4;2021-09-30;904;8.14;;;;45.87;;2018-12-19;1000;SUR;;;;;RUB
EQOB;2018-12-20;СберБ БО37;RU000A0JWUE9;8;25759.1;102.56;103.06;102.56;102.56;20.53;103.04;8.36;103.06;25;;103.61;102.56;0;741812.2;0;2021-09-30;903;8.16;;;;45.87;;2018-12-20;1000;SUR;;;;;RUB
EQOB;2018-12-21;СберБ БО37;RU000A0JWUE9;11;326137;101.51;103.54;103.54;103.54;20.78;101.6;7.95;101.81;321;;102.98;103.54;0;1067949.2;0;2021-09-30;901;8.76;;;;45.87;;2018-12-21;1000;SUR;;;;;RUB


