history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ПКБ БО-01;RU000A0JWWG0;1;50350;100.7;100.7;100.7;100.7;30;100.7;15.38;100.7;50;100.77;100.77;100.7;509901.4;506886.4;509901.4;2021-10-15;594;15.38;;;;37.4;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ПКБ БО-01;RU000A0JWWG0;12;776743.2;99.81;100.11;99.81;99.81;30.41;99.97;15.99;100.11;777;99.97;99.97;99.81;776743.2;776743.2;776743.2;2021-10-15;592;15.88;;;;37.4;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ПКБ БО-01;RU000A0JWWG0;2;276299.2;98.81;99.95;99.95;99.95;30.82;99.39;15.9;98.81;278;99.81;99.8;99.95;1053042.4;1015013.1;1053042.4;2021-10-15;591;16.29;;;;37.4;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ПКБ БО-01;RU000A0JWWG0;3;72999.1;99.99;100;99.99;99.99;31.23;100;15.87;100;73;99.83;99.65;99.99;1126041.5;577961.2;1126041.5;2021-10-15;590;15.86;;;;37.4;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;ПКБ БО-01;RU000A0JWWG0;5;480991;99.99;100;100;100;31.64;100;15.86;99.99;481;99.79;99.79;100;830289.3;830289.3;830289.3;2021-10-15;589;15.86;;;;37.4;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ПКБ БО-01;RU000A0JWWG0;1;999.9;99.99;99.99;99.99;99.99;32.88;99.99;15.87;99.99;1;99.88;99.99;99.99;1608032.4;695919.5;1608032.4;2021-10-15;586;15.87;;;;37.4;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ПКБ БО-01;RU000A0JWWG0;6;327699.9;99.9;100;100;100;33.29;99.91;15.86;99.9;328;99.96;99.96;100;809690.8;719699.8;809690.8;2021-10-15;585;15.93;;;;37.4;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ПКБ БО-01;RU000A0JWWG0;5;242199;99.5;100;100;100;33.7;99.67;15.86;99.9;243;99.81;99.81;100;569898.9;569898.9;569898.9;2021-10-15;584;16.09;;;;37.4;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ПКБ БО-01;RU000A0JWWG0;4;203614.8;99.8;99.99;99.8;99.8;34.11;99.81;16;99.99;204;99.81;99.81;99.8;773513.7;773513.7;773513.7;2021-10-15;583;16;;;;37.4;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;ПКБ БО-01;RU000A0JWWG0;4;129974.2;99.95;100;100;99.98;34.52;99.98;15.86;99.99;130;99.79;99.78;99.98;575788;525838;575788;2021-10-15;582;15.88;;;;37.4;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;ПКБ БО-01;RU000A0JWWG0;1;49995;99.99;99.99;99.99;99.99;35.75;99.99;15.87;99.99;50;99.84;99.8;99.99;953482.9;575833;953482.9;2021-10-15;579;15.87;;;;37.4;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;ПКБ БО-01;RU000A0JWWG0;4;104980;99;100;100;100;36.16;99.98;15.87;99;105;99.83;99.92;100;730763;521564;730763;2021-10-15;578;15.88;;;;37.4;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;ПКБ БО-01;RU000A0JWWG0;13;2484620.8;98;100;100;100;36.58;99.94;15.87;100;2486;99.94;99.94;100;2484620.8;2484620.8;2484620.8;2021-10-15;577;15.91;;;;37.4;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;ПКБ БО-01;RU000A0JWWG0;4;70726.9;99.5;99.89;99.89;99.89;36.99;99.62;15.94;99.5;71;99.94;99.99;99.89;2555347.7;2225707.7;2555347.7;2021-10-15;576;16.14;;;;37.4;;2018-10-18;1000;SUR;;;;;RUB
