history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;КрасЯрКр12;RU000A0JWXF0;2;4176;104.4;104.4;104.4;104.4;40.6;104.4;8.45;104.4;4;103.5;103.5;104.4;26240350.2;25959893;26240350.2;2023-10-25;1083;8.45;;;;48.62;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;КрасЯрКр12;RU000A0JWXF0;1;6264;104.4;104.4;104.4;104.4;40.87;104.4;8.45;104.4;6;103.5;103.5;104.4;26246614.2;25862667;26246614.2;2023-10-25;1082;8.45;;;;48.62;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;КрасЯрКр12;RU000A0JWXF0;3;150290;103.49;104;103.49;103.49;41.14;103.65;8.76;104;145;103.5;103.5;103.49;26435068.2;25995362.5;26435068.2;2023-10-25;1080;8.7;;;;48.62;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;КрасЯрКр12;RU000A0JWXF0;1;2069.8;103.49;103.49;103.49;103.49;41.4;103.49;8.76;103.49;2;103.5;103.5;103.49;26398974;25873244.3;26398974;2023-10-25;1078;8.76;;;;48.62;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;КрасЯрКр12;RU000A0JWXF0;4;25565.5;101.31;103;103;103;41.67;102.26;8.93;101.31;25;;103.5;103;0;25898809.8;0;2023-10-25;1075;9.18;;;;48.62;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;КрасЯрКр12;RU000A0JWXF0;1;2079.2;103.96;103.96;103.96;103.96;42.47;102;8.6;103.96;2;;103.5;103.96;0;25900889;0;2023-10-25;1071;9.27;;;;48.62;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;КрасЯрКр12;RU000A0JWXF0;0;0;;;;103.96;42.74;;8.59;;0;103.5;103.5;103.96;26733670.7;25900889;26733670.7;2023-10-25;1073;;;;;48.62;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-10;КрасЯрКр12;RU000A0JWXF0;2;4156.6;103.9;103.96;103.9;103.9;43.01;103.92;8.61;103.96;4;103.5;103.5;103.9;26468939.3;25905045.6;26468939.3;2023-10-25;1073;8.61;;;;48.62;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;КрасЯрКр12;RU000A0JWXF0;2;17614.3;102.49;104.4;104.4;104.4;43.27;102;8.44;102.49;17;103.5;103.5;104.4;26448389.6;25922659.9;26448389.6;2023-10-25;1068;9.27;;;;48.62;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;КрасЯрКр12;RU000A0JWXF0;1;1043;104.3;104.3;104.3;104.3;43.54;104.3;8.48;104.3;1;;103.5;104.3;0;25923702.9;0;2023-10-25;1072;8.48;;;;48.62;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;КрасЯрКр12;RU000A0JWXF0;4;21630;103;103;103;103;44.34;103;8.92;103;21;;103.5;103;0;25945332.9;0;2023-10-25;1066;8.92;;;;48.62;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;КрасЯрКр12;RU000A0JWXF0;4;18542.6;103.01;103.02;103.02;103.02;44.61;103.01;8.91;103.01;18;;103.5;103.02;0;25963875.5;0;2023-10-25;1065;8.92;;;;48.62;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;КрасЯрКр12;RU000A0JWXF0;3;20650;103.25;103.25;103.25;103.25;44.88;103.25;8.83;103.25;20;;103.5;103.25;0;25984525.5;0;2023-10-25;1065;8.83;;;;48.62;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;КрасЯрКр12;RU000A0JWXF0;3;4159995.6;103.9;104;104;104;45.14;104;8.57;103.9;4000;103.99;103.99;104;4199188.2;4199188.2;4199188.2;2023-10-25;1066;8.57;;;;48.62;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;КрасЯрКр12;RU000A0JWXF0;1;10310;103.1;103.1;103.1;103.1;45.41;103.1;8.88;103.1;10;103.98;103.99;103.1;4231128.2;4205377.8;4231128.2;2023-10-25;1063;8.88;;;;48.62;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;КрасЯрКр12;RU000A0JWXF0;8;106108.4;103;103.9;103.9;103.9;46.21;103.02;8.61;103.9;103;103.97;103.97;103.9;4276414;4270178.4;4276414;2023-10-25;1059;8.91;;;;48.62;;2018-10-22;1000;SUR;;;;;RUB
