history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Хакас2016;RU000A0JWXQ7;33;7277079.5;108.5;109.21;108.9;108.9;19.23;108.94;9.42;108.76;6680;108.94;108.94;108.9;7277079.5;7277079.5;7277079.5;2023-11-02;1217;9.4;;;;29.17;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;Хакас2016;RU000A0JWXQ7;36;1055012.9;108.53;108.94;108.93;108.93;19.55;108.88;9.41;108.94;969;108.88;108.88;108.93;1055012.9;1055012.9;1055012.9;2023-11-02;1216;9.42;;;;29.17;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;Хакас2016;RU000A0JWXQ7;15;524570;108.57;108.94;108.9;108.9;19.87;108.83;9.41;108.94;482;108.83;108.83;108.9;524570;524570;524570;2023-11-02;1215;9.43;;;;29.17;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;Хакас2016;RU000A0JWXQ7;29;1025990;108.7;108.93;108.9;108.9;20.19;108.8;9.41;108.85;943;108.8;108.8;108.9;1025990;1025990;1025990;2023-11-02;1214;9.44;;;;29.17;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;Хакас2016;RU000A0JWXQ7;11;79342.7;108.61;108.89;108.86;108.86;20.52;108.69;9.42;108.61;73;;108.75;108.86;0;526329.7;0;2023-11-02;1213;9.47;;;;29.17;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;Хакас2016;RU000A0JWXQ7;15;2845535.4;108.88;109.02;108.95;108.95;21.48;108.94;9.39;108.88;2612;108.94;108.94;108.95;2845535.4;2845535.4;2845535.4;2023-11-02;1210;9.39;;;;29.17;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;Хакас2016;RU000A0JWXQ7;20;754064.3;108.9;108.97;108.97;108.97;21.8;108.97;9.38;108.95;692;108.97;108.97;108.97;754064.3;754064.3;754064.3;2023-11-02;1209;9.38;;;;29.17;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;Хакас2016;RU000A0JWXQ7;18;2898540.9;108.71;108.96;108.96;108.91;22.12;108.72;9.39;108.96;2666;108.72;108.72;108.91;2898540.9;2898540.9;2898540.9;2023-11-02;1208;9.46;;;;29.17;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;Хакас2016;RU000A0JWXQ7;11;588237.2;108.8;108.96;108.8;108.81;22.44;108.93;9.43;108.95;540;108.93;108.93;108.81;588237.2;588237.2;588237.2;2023-11-02;1207;9.39;;;;29.17;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;Хакас2016;RU000A0JWXQ7;28;1687344.4;108.55;108.94;108.94;108.93;22.76;108.79;9.39;108.93;1551;108.79;108.79;108.93;1687344.4;1687344.4;1687344.4;2023-11-02;1206;9.43;;;;29.17;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;Хакас2016;RU000A0JWXQ7;18;556213.1;108.95;109.19;109.17;108.99;23.72;109.06;9.32;108.96;510;109.06;109.06;108.99;556213.1;556213.1;556213.1;2023-11-02;1204;9.35;;;;29.17;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;Хакас2016;RU000A0JWXQ7;11;289926.3;108.92;109.17;108.98;108.98;24.04;108.99;9.37;109.17;266;;109.08;108.98;0;538834.7;0;2023-11-02;1202;9.37;;;;29.17;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;Хакас2016;RU000A0JWXQ7;35;2173580.8;108.96;109.93;109.85;109.85;24.36;109.28;9.11;109.21;1989;109.28;109.28;109.85;2173580.8;2173580.8;2173580.8;2023-11-02;1202;9.28;;;;29.17;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;Хакас2016;RU000A0JWXQ7;33;2299968.8;108.85;109.85;109.3;109.3;24.68;109.05;9.27;109.85;2109;109.05;109.05;109.3;2299968.8;2299968.8;2299968.8;2023-11-02;1201;9.35;;;;29.17;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;Хакас2016;RU000A0JWXQ7;44;4618736;108.68;109.64;108.7;108.7;25;108.78;9.45;109.48;4246;108.78;108.78;108.7;4618736;4618736;4618736;2023-11-02;1199;9.43;;;;29.17;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;Хакас2016;RU000A0JWXQ7;15;1136996.8;108.78;109.14;108.8;108.8;25.96;108.8;9.42;108.78;1045;108.8;108.8;108.8;1136996.8;1136996.8;1136996.8;2023-11-02;1196;9.42;;;;29.17;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;Хакас2016;RU000A0JWXQ7;19;1107551.3;108.74;109.14;108.75;108.75;26.28;108.8;9.43;109.14;1018;108.8;108.8;108.75;1107551.3;1107551.3;1107551.3;2023-11-02;1195;9.41;;;;29.17;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;Хакас2016;RU000A0JWXQ7;74;10304212;108.48;109.13;108.5;108.57;26.61;108.51;9.5;109.12;9496;108.51;108.51;108.57;10304212;10304212;10304212;2023-11-02;1194;9.5;;;;29.17;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;Хакас2016;RU000A0JWXQ7;100;9497497.8;108.19;108.93;108.49;108.49;26.93;108.33;9.51;108.91;8767;108.33;108.33;108.49;9497497.8;9497497.8;9497497.8;2023-11-02;1192;9.55;;;;29.17;;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;Хакас2016;RU000A0JWXQ7;58;4497385.2;108.21;108.68;108.27;108.27;27.25;108.32;9.57;108.68;4152;108.32;108.32;108.27;4497385.2;4497385.2;4497385.2;2023-11-02;1191;9.56;;;;29.17;;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;Хакас2016;RU000A0JWXQ7;61;2633140;108.02;108.41;108.07;108.07;28.21;108.23;9.63;108.4;2433;108.23;108.23;108.07;2633140;2633140;2633140;2023-11-02;1188;9.58;;;;29.17;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;Хакас2016;RU000A0JWXQ7;53;3739140.1;108;108.47;108.44;108.44;28.53;108.22;9.51;108.2;3455;108.22;108.22;108.44;3739140.1;3739140.1;3739140.1;2023-11-02;1187;9.58;;;;29.17;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;Хакас2016;RU000A0JWXQ7;60;10593734;107.99;108.48;108.2;108.2;28.85;108.01;9.59;108.02;9808;108.01;108.01;108.2;10593734;10593734;10593734;2023-11-02;1185;9.64;;;;29.17;;2018-10-31;1000;SUR;;;;;RUB
