,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,СистемБ1P5,RU000A0JWZY6,0,0.0,,,,100.25,10.31,,10.06,,0,100.17,100.01,100.25,4178943.3,1375161.6,4178943.3,2026-11-13,476,,,,,24.68,2020-02-21,2018-09-27,1000,SUR,,10.0531,,2020-02-26,RUB
1,EQOB,2018-10-02,СистемБ1P5,RU000A0JWZY6,0,0.0,,,,100.25,10.58,,10.06,,0,100.12,100.01,100.25,2540064.8,1375161.6,2540064.8,2026-11-13,475,,,,,24.68,2020-02-21,2018-09-27,1000,SUR,,10.0751,,2020-02-26,RUB
2,EQOB,2018-10-03,СистемБ1P5,RU000A0JWZY6,20,688614.6,99.5,100.48,100.0,100.0,10.85,99.65,10.27,100.05,691,99.65,99.65,100.0,688614.6,688614.6,688614.6,2026-11-13,474,10.56,,,,24.68,2020-02-21,2018-10-03,1000,SUR,,10.1695,,2020-02-26,RUB
3,EQOB,2018-10-04,СистемБ1P5,RU000A0JWZY6,12,75197.0,100.02,100.88,100.88,100.54,11.12,100.26,9.53,100.03,75,,99.66,100.54,0.0,502300.1,0.0,2026-11-13,473,10.05,,,,24.68,2020-02-21,2018-10-04,1000,SUR,,9.4421,,2020-02-26,RUB
4,EQOB,2018-10-05,СистемБ1P5,RU000A0JWZY6,0,0.0,,,,100.54,11.39,,9.53,,0,,99.66,100.54,0.0,502300.1,0.0,2026-11-13,472,,,,,24.68,2020-02-21,2018-10-04,1000,SUR,,9.4628,,2020-02-26,RUB
5,EQOB,2018-10-08,СистемБ1P5,RU000A0JWZY6,17,2150923.2,99.95,100.06,100.0,100.0,12.21,100.0,10.27,100.06,2151,100.0,100.0,100.0,2150923.2,2150923.2,2150923.2,2026-11-13,469,10.27,,,,24.68,2020-02-21,2018-10-08,1000,SUR,,10.1679,,2020-02-26,RUB
6,EQOB,2018-10-09,СистемБ1P5,RU000A0JWZY6,12,1611140.2,99.99,100.05,100.0,100.0,12.48,100.01,10.27,100.05,1611,100.01,100.01,100.0,1611140.2,1611140.2,1611140.2,2026-11-13,468,10.26,,,,24.68,2020-02-21,2018-10-09,1000,SUR,,10.1678,,2020-02-26,RUB
7,EQOB,2018-10-10,СистемБ1P5,RU000A0JWZY6,2,1762000.1,100.0,100.01,100.0,100.0,12.75,100.0,10.27,100.01,1762,100.0,100.0,100.0,3373140.3,2269990.0,3373140.3,2026-11-13,467,10.27,,,,24.68,2020-02-21,2018-10-10,1000,SUR,,10.1677,,2020-02-26,RUB
8,EQOB,2018-10-11,СистемБ1P5,RU000A0JWZY6,4,21020.5,100.0,100.25,100.25,100.25,13.02,100.1,10.05,100.0,21,100.0,100.0,100.25,3394160.8,1929010.7,3394160.8,2026-11-13,466,10.18,,,,24.68,2020-02-21,2018-10-11,1000,SUR,,9.9571,,2020-02-26,RUB
9,EQOB,2018-10-12,СистемБ1P5,RU000A0JWZY6,11,8295271.0,100.01,100.2,100.15,100.15,13.29,100.15,10.14,100.2,8283,100.15,100.15,100.15,8295271.0,8295271.0,8295271.0,2026-11-13,465,10.14,,,,24.68,2020-02-21,2018-10-12,1000,SUR,,10.0409,,2020-02-26,RUB
10,EQOB,2018-10-15,СистемБ1P5,RU000A0JWZY6,11,4761357.9,100.17,100.38,100.2,100.2,14.1,100.12,10.1,100.3,4752,100.2,100.2,100.2,4761357.9,4761357.9,4761357.9,2026-11-13,462,10.16,,,,24.68,2020-02-21,2018-10-15,1000,SUR,,9.9975,,2020-02-26,RUB
11,EQOB,2018-10-16,СистемБ1P5,RU000A0JWZY6,9,1045706.1,100.05,100.37,100.05,100.05,14.38,100.07,10.22,100.37,1045,100.17,100.08,100.05,5807064.0,1143902.1,5807064.0,2026-11-13,461,10.21,,,,24.68,2020-02-21,2018-10-16,1000,SUR,,10.1237,,2020-02-26,RUB
12,EQOB,2018-10-17,СистемБ1P5,RU000A0JWZY6,7,192578.7,100.15,100.42,100.3,100.3,14.65,100.4,10.01,100.38,192,100.1,100.09,100.3,1238284.8,1186095.4,1238284.8,2026-11-13,460,9.92,,,,24.68,2020-02-21,2018-10-17,1000,SUR,,9.9109,,2020-02-26,RUB
13,EQOB,2018-10-18,СистемБ1P5,RU000A0JWZY6,4,351295.3,100.35,100.42,100.35,100.35,14.92,100.37,9.97,100.42,350,100.35,100.35,100.35,543874.0,542870.2,543874.0,2026-11-13,459,9.95,,,,24.68,2020-02-21,2018-10-18,1000,SUR,,9.8679,,2020-02-26,RUB
14,EQOB,2018-10-19,СистемБ1P5,RU000A0JWZY6,4,19039.9,100.2,100.34,100.2,100.2,15.19,100.21,10.09,100.34,19,100.34,100.34,100.2,562913.9,529798.7,562913.9,2026-11-13,458,10.09,,,,24.68,2020-02-21,2018-10-19,1000,SUR,,9.9951,,2020-02-26,RUB
15,EQOB,2018-10-22,СистемБ1P5,RU000A0JWZY6,11,509970.8,100.15,100.22,100.15,100.15,16.0,100.19,10.14,100.22,509,100.19,100.19,100.15,509970.8,509970.8,509970.8,2026-11-13,455,10.1,,,,24.68,2020-02-21,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,СистемБ1P5,RU000A0JWZY6,12,134257.5,100.15,100.34,100.2,100.2,16.27,100.19,10.09,100.15,134,,100.19,100.2,0.0,641221.8,0.0,2026-11-13,454,10.1,,,,24.68,2020-02-21,2018-10-23,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,СистемБ1P5,RU000A0JWZY6,43,1127049.9,100.0,100.19,100.19,100.19,16.55,100.0,10.1,100.07,1127,100.0,100.0,100.19,1127049.9,1127049.9,1127049.9,2026-11-13,453,10.27,,,,24.68,2020-02-21,2018-10-24,1000,SUR,,,,,RUB
