,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,МосОбл2016,RU000A0JX0B9,6,560117.6,104.48,104.5,104.5,104.5,8.99,104.5,8.58,104.48,536,103.62,104.19,104.5,1845459.1,753258.4,1845459.1,2023-11-21,1227,8.58,,,,24.06,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,МосОбл2016,RU000A0JX0B9,13,126383.1,104.0,105.25,105.0,105.0,9.25,104.45,8.43,104.63,121,,104.49,105.0,0.0,670828.1,0.0,2023-11-21,1226,8.59,,,,24.06,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,МосОбл2016,RU000A0JX0B9,0,0.0,,,,105.0,9.52,,8.42,,0,,104.49,105.0,0.0,670828.1,0.0,2023-11-21,1225,,,,,24.06,,2018-10-02,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,МосОбл2016,RU000A0JX0B9,1,85444.0,104.2,104.2,104.2,104.2,9.78,104.2,8.67,104.2,82,,104.46,104.2,0.0,756272.1,0.0,2023-11-21,1223,8.67,,,,24.06,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,МосОбл2016,RU000A0JX0B9,1,1040.3,104.03,104.03,104.03,104.03,10.05,104.03,8.72,104.03,1,104.46,104.46,104.03,772985.0,757312.4,772985.0,2023-11-21,1222,8.72,,,,24.06,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,МосОбл2016,RU000A0JX0B9,4,12539.4,104.03,104.96,104.03,104.03,10.84,104.5,8.72,104.96,12,,104.46,104.03,0.0,769851.8,0.0,2023-11-21,1220,8.57,,,,24.06,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,МосОбл2016,RU000A0JX0B9,2,410353.6,104.14,104.98,104.14,104.14,11.1,104.15,8.68,104.98,394,103.77,104.19,104.14,2481219.5,524077.3,2481219.5,2023-11-21,1218,8.68,,,,24.06,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,МосОбл2016,RU000A0JX0B9,0,0.0,,,,104.14,11.37,,8.68,,0,104.36,104.19,104.14,1241827.7,524077.3,1241827.7,2023-11-21,1217,,,,,24.06,,2018-10-09,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,МосОбл2016,RU000A0JX0B9,2,4160.6,104.0,104.02,104.0,104.02,11.63,104.02,8.73,104.02,4,104.35,104.17,104.02,1244943.5,513537.9,1244943.5,2023-11-21,1216,8.72,,,,24.06,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,МосОбл2016,RU000A0JX0B9,0,0.0,,,,104.02,11.9,,8.72,,0,104.35,104.17,104.02,1200038.6,513537.9,1200038.6,2023-11-21,1215,,,,,24.06,,2018-10-11,1000,SUR,,,,,RUB
