history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ГТЛК 1P-03;RU000A0JXE06;20;1458348.6;107.1;107.88;107.7;107.7;15.97;107.39;9.48;107.84;1358;107.39;107.39;107.7;1458348.6;1458348.6;1458348.6;2032-01-22;1496;9.55;;;;27.42;2024-02-01;2018-10-01;1000;SUR;;9.458;;2024-02-06;RUB
EQOB;2018-10-02;ГТЛК 1P-03;RU000A0JXE06;49;9561170.5;107.5;107.95;107.7;107.7;16.27;107.66;9.48;107.89;8881;107.66;107.66;107.7;9561170.5;9561170.5;9561170.5;2032-01-22;1496;9.49;;;;27.42;2024-02-01;2018-10-02;1000;SUR;;9.4573;;2024-02-06;RUB
EQOB;2018-10-03;ГТЛК 1P-03;RU000A0JXE06;40;57748880.6;107.5;107.7;107.7;107.7;16.58;107.69;9.47;107.5;53623;107.69;107.69;107.7;57748880.6;57748880.6;57748880.6;2032-01-22;1495;9.48;;;;27.42;2024-02-01;2018-10-03;1000;SUR;;9.4563;;2024-02-06;RUB
EQOB;2018-10-04;ГТЛК 1P-03;RU000A0JXE06;45;1877811.8;107.22;107.8;107.6;107.6;16.88;107.61;9.5;107.71;1745;107.61;107.61;107.6;1877811.8;1877811.8;1877811.8;2032-01-22;1493;9.5;;;;27.42;2024-02-01;2018-10-04;1000;SUR;;9.48;;2024-02-06;RUB
EQOB;2018-10-05;ГТЛК 1P-03;RU000A0JXE06;34;2149168.8;107.21;107.65;107.65;107.65;17.18;107.57;9.49;107.23;1998;107.57;107.57;107.65;2149168.8;2149168.8;2149168.8;2032-01-22;1492;9.51;;;;27.42;2024-02-01;2018-10-05;1000;SUR;;9.4671;;2024-02-06;RUB
EQOB;2018-10-08;ГТЛК 1P-03;RU000A0JXE06;13;291515;107.24;107.64;107.63;107.63;18.08;107.57;9.49;107.45;271;;107.6;107.63;0;1855003.5;0;2032-01-22;1489;9.5;;;;27.42;2024-02-01;2018-10-08;1000;SUR;;9.4699;;2024-02-06;RUB
EQOB;2018-10-09;ГТЛК 1P-03;RU000A0JXE06;36;3143510.7;107.6;108.15;108.15;108.14;18.38;107.73;9.36;107.63;2918;107.73;107.73;108.14;3143510.7;3143510.7;3143510.7;2032-01-22;1489;9.46;;;;27.42;2024-02-01;2018-10-09;1000;SUR;;9.3423;;2024-02-06;RUB
EQOB;2018-10-10;ГТЛК 1P-03;RU000A0JXE06;26;405425.4;107.31;107.7;107.5;107.5;18.68;107.54;9.52;107.7;377;;107.86;107.5;0;859653.9;0;2032-01-22;1487;9.51;;;;27.42;2024-02-01;2018-10-10;1000;SUR;;9.5003;;2024-02-06;RUB
EQOB;2018-10-11;ГТЛК 1P-03;RU000A0JXE06;25;2526106.6;107.2;107.49;107.35;107.34;18.99;107.22;9.56;107.32;2356;107.22;107.22;107.34;2526106.6;2526106.6;2526106.6;2032-01-22;1486;9.59;;;;27.42;2024-02-01;2018-10-11;1000;SUR;;9.5362;;2024-02-06;RUB
EQOB;2018-10-12;ГТЛК 1P-03;RU000A0JXE06;33;2703767.8;107.35;107.68;107.68;107.68;19.29;107.59;9.47;107.36;2513;107.59;107.59;107.68;2703767.8;2703767.8;2703767.8;2032-01-22;1486;9.5;;;;27.42;2024-02-01;2018-10-12;1000;SUR;;9.4546;;2024-02-06;RUB
