history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ГазпромКБ5;RU000A0JXFS8;31;543792.9;100.8;101.56;101.56;101.56;11.46;101.08;8.71;101.04;538;101.08;101.08;101.56;543792.9;543792.9;543792.9;2027-02-03;1582;8.83;;;;44.38;2024-02-07;2018-10-01;1000;SUR;;8.6919;;2024-02-12;RUB
EQOB;2018-10-02;ГазпромКБ5;RU000A0JXFS8;14;566854.6;101.56;101.6;101.6;101.59;11.7;101.1;8.7;101.56;558;101.59;101.59;101.59;566854.6;566854.6;566854.6;2027-02-03;1581;8.82;;;;44.38;2024-02-07;2018-10-02;1000;SUR;;8.682;;2024-02-12;RUB
EQOB;2018-10-03;ГазпромКБ5;RU000A0JXFS8;11;4129564.8;100.7;101.1;100.7;100.72;11.95;100.72;8.92;101.1;4100;100.72;100.72;100.72;4129564.8;4129564.8;4129564.8;2027-02-03;1579;8.92;;;;44.38;2024-02-07;2018-10-03;1000;SUR;;8.9022;;2024-02-12;RUB
EQOB;2018-10-04;ГазпромКБ5;RU000A0JXFS8;35;2752681.8;100.65;101.52;101.5;101.5;12.19;101.43;8.72;101.51;2714;101.43;101.43;101.5;2752681.8;2752681.8;2752681.8;2027-02-03;1580;8.74;;;;44.38;2024-02-07;2018-10-04;1000;SUR;;8.7059;;2024-02-12;RUB
EQOB;2018-10-05;ГазпромКБ5;RU000A0JXFS8;15;721394.2;100.72;101.33;100.75;100.75;12.44;100.75;8.91;100.82;716;100.75;100.75;100.75;721394.2;721394.2;721394.2;2027-02-03;1577;8.91;;;;44.38;2024-02-07;2018-10-05;1000;SUR;;8.8895;;2024-02-12;RUB
EQOB;2018-10-08;ГазпромКБ5;RU000A0JXFS8;16;1222580.8;100.74;101.29;100.95;100.95;13.17;100.87;8.86;101.29;1212;100.87;100.87;100.95;1222580.8;1222580.8;1222580.8;2027-02-03;1574;8.88;;;;44.38;2024-02-07;2018-10-08;1000;SUR;;8.8398;;2024-02-12;RUB
EQOB;2018-10-09;ГазпромКБ5;RU000A0JXFS8;21;1257292;100.4;100.99;100.59;100.59;13.41;100.42;8.95;100.71;1252;100.42;100.42;100.59;1257292;1257292;1257292;2027-02-03;1572;8.99;;;;44.38;2024-02-07;2018-10-09;1000;SUR;;8.9286;;2024-02-12;RUB
EQOB;2018-10-10;ГазпромКБ5;RU000A0JXFS8;12;1586335.9;100.4;100.43;100.4;100.4;13.65;100.4;8.99;100.43;1580;100.4;100.4;100.4;1586335.9;1586335.9;1586335.9;2027-02-03;1571;8.99;;;;44.38;2024-02-07;2018-10-10;1000;SUR;;8.9757;;2024-02-12;RUB
EQOB;2018-10-11;ГазпромКБ5;RU000A0JXFS8;20;2199518.4;99.9;100.57;100.57;100.57;13.9;99.93;8.95;100.24;2201;99.93;99.93;100.57;2199518.4;2199518.4;2199518.4;2027-02-03;1569;9.11;;;;44.38;2024-02-07;2018-10-11;1000;SUR;;8.9333;;2024-02-12;RUB
EQOB;2018-10-12;ГазпромКБ5;RU000A0JXFS8;275;2310927.1;100.3;100.7;100.7;100.69;14.14;100.52;8.92;100.52;2299;100.52;100.52;100.69;2310927.1;2310927.1;2310927.1;2027-02-03;1570;8.96;;;;44.38;2024-02-07;2018-10-12;1000;SUR;;8.9011;;2024-02-12;RUB
