history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ЧТПЗ 1P2;RU000A0JXHE4;8;539032;102.47;102.49;102.48;102.48;12.41;102.48;9.18;102.47;526;102.03;102.1;102.48;1019258.7;883166;1019258.7;2022-02-10;1065;9.18;;;;49.12;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ЧТПЗ 1P2;RU000A0JXHE4;3;95880;102;102;102;102;12.68;102;9.35;102;94;102.41;102.4;102;634912;618516.8;634912;2022-02-10;1063;9.35;;;;49.12;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ЧТПЗ 1P2;RU000A0JXHE4;14;1156897.8;101.4;102.1;101.5;101.5;12.95;101.48;9.53;102.1;1140;101.48;101.48;101.5;1156897.8;1156897.8;1156897.8;2022-02-10;1062;9.54;;;;49.12;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ЧТПЗ 1P2;RU000A0JXHE4;4;169307;101.99;102;102;101.99;13.22;101.99;9.35;101.99;166;101.55;101.56;101.99;1326204.8;880545;1326204.8;2022-02-10;1061;9.35;;;;49.12;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;ЧТПЗ 1P2;RU000A0JXHE4;7;24699933.7;101.99;102.5;102.5;102.46;13.49;102.46;9.17;102;24108;102.45;102.45;102.46;24869240.7;24838643.7;24869240.7;2022-02-10;1061;9.18;;;;49.12;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ЧТПЗ 1P2;RU000A0JXHE4;5;322245;101.25;102;102;102;14.3;101.98;9.35;101.25;316;102.45;102.45;102;25022178.7;24986479.2;25022178.7;2022-02-10;1057;9.35;;;;49.12;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ЧТПЗ 1P2;RU000A0JXHE4;2;93430;101.5;102;102;102;14.57;101.55;9.34;101.5;92;102.45;102.49;102;25115608.7;23062350;25115608.7;2022-02-10;1056;9.51;;;;49.12;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ЧТПЗ 1P2;RU000A0JXHE4;3;507056;101.4;101.6;101.4;101.41;14.84;101.41;9.56;101.6;500;101.62;101.62;101.41;922731;922731;922731;2022-02-10;1055;9.56;;;;49.12;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ЧТПЗ 1P2;RU000A0JXHE4;0;0;;;;101.41;15.11;;9.56;;0;102.43;101.62;101.41;25622664.7;922731;25622664.7;2022-02-10;1054;;;;;49.12;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-12;ЧТПЗ 1P2;RU000A0JXHE4;5;626940;101.6;102;102;102;15.38;101.94;9.34;102;615;101.75;101.69;102;1549671;1227426;1549671;2022-02-10;1053;9.36;;;;49.12;;2018-10-12;1000;SUR;;;;;RUB
