history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ПИК БО-П01;RU000A0JXK40;35;4077015.4;103.7;104.69;103.71;103.71;11.04;103.79;10.35;104.69;3928;103.79;103.79;103.71;4077015.4;4077015.4;4077015.4;2022-02-25;483;10.29;;;;64.82;2020-02-28;2018-10-01;1000;SUR;;10.2586;;2020-03-04;RUB
EQOB;2018-10-02;ПИК БО-П01;RU000A0JXK40;35;3469920.8;103;103.92;103.87;103.87;11.4;103.36;10.22;103.71;3357;103.36;103.36;103.87;3469920.8;3469920.8;3469920.8;2022-02-25;482;10.62;;;;64.82;2020-02-28;2018-10-02;1000;SUR;;10.1262;;2020-03-04;RUB
EQOB;2018-10-03;ПИК БО-П01;RU000A0JXK40;21;3263572;103.37;104.1;103.61;104.02;11.75;103.87;10.42;103.37;3142;103.87;103.87;104.02;3263572;3263572;3263572;2022-02-25;481;10.21;;;;64.82;2020-02-28;2018-10-03;1000;SUR;;10.3259;;2020-03-04;RUB
EQOB;2018-10-04;ПИК БО-П01;RU000A0JXK40;30;953560.2;103.5;104.2;104.11;104.11;12.11;103.65;10.01;104.18;920;103.65;103.65;104.11;953560.2;953560.2;953560.2;2022-02-25;480;10.38;;;;64.82;2020-02-28;2018-10-04;1000;SUR;;9.9248;;2020-03-04;RUB
EQOB;2018-10-05;ПИК БО-П01;RU000A0JXK40;18;420565.8;103.51;104.09;104.09;104.09;12.47;103.84;10.02;103.99;405;;103.81;104.09;0;512797.3;0;2022-02-25;479;10.22;;;;64.82;2020-02-28;2018-10-05;1000;SUR;;9.9337;;2020-03-04;RUB
EQOB;2018-10-08;ПИК БО-П01;RU000A0JXK40;47;5006878.6;103.58;104.81;104.8;104.79;13.53;104.42;9.44;104.09;4795;104.42;104.42;104.79;5006878.6;5006878.6;5006878.6;2022-02-25;476;9.74;;;;64.82;2020-02-28;2018-10-08;1000;SUR;;9.3556;;2020-03-04;RUB
EQOB;2018-10-09;ПИК БО-П01;RU000A0JXK40;12;2273177.2;103.93;104.8;103.93;103.93;13.89;104.04;10.13;104.8;2185;104.04;104.04;103.93;2273177.2;2273177.2;2273177.2;2022-02-25;475;10.04;;;;64.82;2020-02-28;2018-10-09;1000;SUR;;10.0349;;2020-03-04;RUB
EQOB;2018-10-10;ПИК БО-П01;RU000A0JXK40;30;2145090.4;103.5;104.49;104.19;104.15;14.25;103.58;9.91;104.49;2071;103.58;103.58;104.15;2145090.4;2145090.4;2145090.4;2022-02-25;474;10.4;;;;64.82;2020-02-28;2018-10-10;1000;SUR;;9.8215;;2020-03-04;RUB
EQOB;2018-10-11;ПИК БО-П01;RU000A0JXK40;16;213229.7;103.53;104.2;104.15;103.94;14.6;104.01;9.94;104.19;205;;103.6;103.94;0;1975627.2;0;2022-02-25;473;10.05;;;;64.82;2020-02-28;2018-10-11;1000;SUR;;9.847;;2020-03-04;RUB
EQOB;2018-10-12;ПИК БО-П01;RU000A0JXK40;24;307976.9;104;104.19;104.19;104.19;14.96;104.05;9.9;104.01;296;;104.03;104.19;0;521206.6;0;2022-02-25;472;10.01;;;;64.82;2020-02-28;2018-10-12;1000;SUR;;9.8081;;2020-03-04;RUB
EQOB;2018-10-15;ПИК БО-П01;RU000A0JXK40;23;969752.9;103.8;104.2;103.95;103.95;16.03;104.16;10.07;104.19;931;104.16;104.16;103.95;969752.9;969752.9;969752.9;2022-02-25;469;9.9;;;;64.82;2020-02-28;2018-10-15;1000;SUR;;9.98;;2020-03-04;RUB
EQOB;2018-10-16;ПИК БО-П01;RU000A0JXK40;20;230949.9;103.83;104.19;104.18;104.19;16.38;104.03;9.88;103.89;222;;104.12;104.19;0;939166.3;0;2022-02-25;468;10;;;;64.82;2020-02-28;2018-10-16;1000;SUR;;9.7892;;2020-03-04;RUB
EQOB;2018-10-17;ПИК БО-П01;RU000A0JXK40;19;902681.6;103.86;104.2;104.19;104.18;16.74;104;9.87;103.86;868;104;104;104.18;902681.6;902681.6;902681.6;2022-02-25;467;10.02;;;;64.82;2020-02-28;2018-10-17;1000;SUR;;9.774;;2020-03-04;RUB
EQOB;2018-10-18;ПИК БО-П01;RU000A0JXK40;19;2437183.5;104;104.43;104.43;104.23;17.1;104.2;9.66;104.1;2339;104.2;104.2;104.23;2437183.5;2437183.5;2437183.5;2022-02-25;466;9.85;;;;64.82;2020-02-28;2018-10-18;1000;SUR;;9.5742;;2020-03-04;RUB
EQOB;2018-10-19;ПИК БО-П01;RU000A0JXK40;14;179706.2;104.13;104.69;104.18;104.18;17.45;104.48;9.86;104.13;172;;104.22;104.18;0;2450277.7;0;2022-02-25;465;9.62;;;;64.82;2020-02-28;2018-10-19;1000;SUR;;9.7685;;2020-03-04;RUB
EQOB;2018-10-22;ПИК БО-П01;RU000A0JXK40;29;386575.8;103.88;104.49;104.48;104.42;18.52;104.2;9.59;104.16;371;;104.26;104.42;0;507761.1;0;2022-02-25;462;9.82;;;;64.82;2020-02-28;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;ПИК БО-П01;RU000A0JXK40;16;576438.2;104.18;104.67;104.18;104.18;18.88;104.24;9.83;104.2;553;104.24;104.24;104.18;576438.2;576438.2;576438.2;2022-02-25;461;9.78;;;;64.82;2020-02-28;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;ПИК БО-П01;RU000A0JXK40;18;663944.6;104.04;104.7;104.2;104.2;19.23;104.23;9.81;104.04;637;104.23;104.23;104.2;663944.6;663944.6;663944.6;2022-02-25;460;9.78;;;;64.82;2020-02-28;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;ПИК БО-П01;RU000A0JXK40;24;1253342.3;103.75;104.5;104.19;104.19;19.59;103.93;9.81;104.49;1206;103.93;103.93;104.19;1253342.3;1253342.3;1253342.3;2022-02-25;459;10.02;;;;64.82;2020-02-28;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;ПИК БО-П01;RU000A0JXK40;7;167149.1;104.4;104.5;104.4;104.4;19.95;104.47;9.63;104.48;160;103.99;103.97;104.4;1420491.4;556217;1420491.4;2022-02-25;458;9.57;;;;64.82;2020-02-28;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;ПИК БО-П01;RU000A0JXK40;22;772126.9;104.32;104.35;104.34;104.34;21.01;104.34;9.66;104.33;740;104.34;104.34;104.34;772126.9;772126.9;772126.9;2022-02-25;455;9.66;;;;64.82;2020-02-28;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;ПИК БО-П01;RU000A0JXK40;18;1015508.7;104.05;104.68;104.39;104.39;21.37;104.48;9.61;104.68;972;104.48;104.48;104.39;1015508.7;1015508.7;1015508.7;2022-02-25;454;9.54;;;;64.82;2020-02-28;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;ПИК БО-П01;RU000A0JXK40;29;2131996;104.02;104.5;104.35;104.35;21.73;104.31;9.64;104.02;2044;104.31;104.31;104.35;2131996;2131996;2131996;2022-02-25;453;9.67;;;;64.82;2020-02-28;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;ПИК БО-П01;RU000A0JXK40;16;438366;104.34;104.4;104.35;104.35;22.08;104.37;9.63;104.4;420;;104.36;104.35;0;1378559.5;0;2022-02-25;452;9.61;;;;64.82;2020-02-28;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;ПИК БО-П01;RU000A0JXK40;22;2415684.6;103.82;104.4;104.36;104.36;22.44;104.39;9.61;104.35;2314;104.39;104.39;104.36;2415684.6;2415684.6;2415684.6;2022-02-25;451;9.59;;;;64.82;2020-02-28;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;ПИК БО-П01;RU000A0JXK40;19;2913658.7;104.1;104.4;104.4;104.4;23.86;104.28;9.55;104.4;2794;104.28;104.28;104.4;2913658.7;2913658.7;2913658.7;2022-02-25;447;9.65;;;;64.82;2020-02-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;ПИК БО-П01;RU000A0JXK40;15;2696145.5;104.06;104.4;104.22;104.22;24.22;104.38;9.69;104.4;2583;104.38;104.38;104.22;2696145.5;2696145.5;2696145.5;2022-02-25;446;9.56;;;;64.82;2020-02-28;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-08;ПИК БО-П01;RU000A0JXK40;21;4550038.3;103.85;104.22;104.22;104.22;24.58;104.21;9.69;104.2;4366;104.22;104.22;104.22;4550038.3;4550038.3;4550038.3;2022-02-25;445;9.69;;;;64.82;2020-02-28;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-09;ПИК БО-П01;RU000A0JXK40;20;636379.1;103.9;104.22;104;104;24.93;104.15;9.87;104.22;611;104.15;104.15;104;636379.1;636379.1;636379.1;2022-02-25;444;9.74;;;;64.82;2020-02-28;2018-11-09;1000;SUR;;;;;RUB
EQOB;2018-11-12;ПИК БО-П01;RU000A0JXK40;17;437828.7;103.89;104.68;104.39;104.4;26;104.49;9.51;104.39;419;;104.41;104.4;0;530388.7;0;2022-02-25;441;9.43;;;;64.82;2020-02-28;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;ПИК БО-П01;RU000A0JXK40;18;398153.6;103.88;104.66;103.95;103.95;26.36;103.96;9.88;104.65;383;;104.11;103.95;0;532001.2;0;2022-02-25;440;9.87;;;;64.82;2020-02-28;2018-11-13;1000;SUR;;;;;RUB
EQOB;2018-11-14;ПИК БО-П01;RU000A0JXK40;36;4211274.3;103.5;103.92;103.75;103.75;26.71;103.75;10.05;103.92;4059;103.75;103.75;103.75;4211274.3;4211274.3;4211274.3;2022-02-25;439;10.05;;;;64.82;2020-02-28;2018-11-14;1000;SUR;;;;;RUB
