,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,РЖД Б01P1R,RU000A0JXN05,28,206010273.2,101.0,101.25,101.0,101.09,28.13,101.0,8.61,101.25,203967,101.0,101.0,101.09,206010273.2,206010273.2,206010273.2,2032-05-18,1399,8.61,,,,43.38,2023-05-30,2018-10-01,1000,SUR,,8.5961,,2023-06-02,RUB
1,EQOB,2018-10-02,РЖД Б01P1R,RU000A0JXN05,5,41481594.1,100.82,101.25,101.25,101.25,28.36,100.82,8.54,101.25,41143,100.97,100.83,101.25,247491867.3,43521794.1,247491867.3,2032-05-18,1397,8.66,,,,43.38,2023-05-30,2018-10-02,1000,SUR,,8.5282,,2023-06-02,RUB
2,EQOB,2018-10-03,РЖД Б01P1R,RU000A0JXN05,55,102823000.0,100.5,101.0,101.0,101.0,28.6,100.65,8.61,101.0,102154,100.65,100.65,101.0,102823000.0,102823000.0,102823000.0,2032-05-18,1396,8.7,,,,43.38,2023-05-30,2018-10-03,1000,SUR,,8.5961,,2023-06-02,RUB
3,EQOB,2018-10-04,РЖД Б01P1R,RU000A0JXN05,21,112119619.0,100.9,101.2,100.95,100.95,28.84,101.19,8.62,101.0,110802,101.19,101.19,100.95,112119619.0,112119619.0,112119619.0,2032-05-18,1396,8.56,,,,43.38,2023-05-30,2018-10-04,1000,SUR,,8.6096,,2023-06-02,RUB
4,EQOB,2018-10-05,РЖД Б01P1R,RU000A0JXN05,3,269313.0,100.85,100.9,100.85,100.85,29.08,100.87,8.65,100.9,267,101.19,100.88,100.85,112388932.0,502393.0,112388932.0,2032-05-18,1394,8.64,,,,43.38,2023-05-30,2018-10-05,1000,SUR,,8.6369,,2023-06-02,RUB
5,EQOB,2018-10-08,РЖД Б01P1R,RU000A0JXN05,8,233674.0,100.1,100.8,100.8,100.8,29.79,100.29,8.66,100.1,233,100.6,100.6,100.8,502987.0,502987.0,502987.0,2032-05-18,1390,8.8,,,,43.38,2023-05-30,2018-10-08,1000,SUR,,8.6505,,2023-06-02,RUB
6,EQOB,2018-10-09,РЖД Б01P1R,RU000A0JXN05,4,31126.0,100.21,100.5,100.5,100.5,30.03,100.41,8.75,100.21,31,,100.59,100.5,0.0,534113.0,0.0,2032-05-18,1389,8.77,,,,43.38,2023-05-30,2018-10-09,1000,SUR,,8.7329,,2023-06-02,RUB
7,EQOB,2018-10-10,РЖД Б01P1R,RU000A0JXN05,5,1118568.5,100.5,100.85,100.5,100.5,30.27,100.37,8.75,100.85,1113,100.46,100.51,100.5,1383368.5,1200094.5,1383368.5,2032-05-18,1388,8.78,,,,43.38,2023-05-30,2018-10-10,1000,SUR,,8.7328,,2023-06-02,RUB
8,EQOB,2018-10-11,РЖД Б01P1R,RU000A0JXN05,8,124150743.0,100.5,100.85,100.85,100.85,30.51,100.78,8.65,100.5,123190,100.78,100.78,100.85,125269311.5,124254258.0,125269311.5,2032-05-18,1388,8.67,,,,43.38,2023-05-30,2018-10-11,1000,SUR,,8.6364,,2023-06-02,RUB
9,EQOB,2018-10-12,РЖД Б01P1R,RU000A0JXN05,2,80660.0,100.65,100.85,100.85,100.85,30.75,100.83,8.65,100.65,80,100.78,100.78,100.85,124231403.0,124231403.0,124231403.0,2032-05-18,1387,8.65,,,,43.38,2023-05-30,2018-10-12,1000,SUR,,8.6363,,2023-06-02,RUB
