history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;СистемБ1P6;RU000A0JXN21;16;737257.9;96.63;97.48;97.46;97.46;43.4;97.39;10.01;97.47;757;97.39;97.39;97.46;737257.9;737257.9;737257.9;2027-03-26;1075;10.04;;;;44.38;2022-04-01;2018-10-01;1000;SUR;;9.979;;2022-04-06;RUB
EQOB;2018-10-02;СистемБ1P6;RU000A0JXN21;21;900861.5;97.48;97.85;97.7;97.7;43.65;97.71;9.93;97.48;922;97.71;97.71;97.7;900861.5;900861.5;900861.5;2027-03-26;1075;9.92;;;;44.38;2022-04-01;2018-10-02;1000;SUR;;9.892;;2022-04-06;RUB
EQOB;2018-10-03;СистемБ1P6;RU000A0JXN21;26;657073.1;96.65;97.99;97.99;97.99;43.89;97.49;9.82;97.5;674;97.49;97.49;97.99;657073.1;657073.1;657073.1;2027-03-26;1074;10;;;;44.38;2022-04-01;2018-10-03;1000;SUR;;9.7873;;2022-04-06;RUB
EQOB;2018-10-04;СистемБ1P6;RU000A0JXN21;14;360771.9;97.28;97.98;97.98;97.94;44.13;97.77;9.83;97.28;369;;97.77;97.94;0;528949.5;0;2027-03-26;1073;9.9;;;;44.38;2022-04-01;2018-10-04;1000;SUR;;9.7917;;2022-04-06;RUB
EQOB;2018-10-05;СистемБ1P6;RU000A0JXN21;32;708409.9;97.92;98;97.99;97.99;0;97.98;9.82;97.92;723;97.98;97.98;97.99;708409.9;708409.9;708409.9;2027-03-26;1121;9.83;;;;44.38;2022-04-01;2018-10-05;1000;SUR;;11.4559;;2022-04-06;RUB
EQOB;2018-10-08;СистемБ1P6;RU000A0JXN21;23;7543293.4;97.52;97.8;97.75;97.75;0.73;97.75;9.91;97.8;7717;97.75;97.75;97.75;7543293.4;7543293.4;7543293.4;2027-03-26;1118;9.91;;;;44.38;2022-04-01;2018-10-08;1000;SUR;;9.877;;2022-04-06;RUB
EQOB;2018-10-09;СистемБ1P6;RU000A0JXN21;27;832774.4;97.53;97.81;97.75;97.75;0.98;97.74;9.91;97.8;852;97.74;97.74;97.75;832774.4;832774.4;832774.4;2027-03-26;1117;9.91;;;;44.38;2022-04-01;2018-10-09;1000;SUR;;9.8771;;2022-04-06;RUB
EQOB;2018-10-10;СистемБ1P6;RU000A0JXN21;20;1300701;97.86;98.95;97.9;97.9;1.22;98.61;9.86;97.99;1319;98.61;98.61;97.9;1300701;1300701;1300701;2027-03-26;1116;9.6;;;;44.38;2022-04-01;2018-10-10;1000;SUR;;9.8226;;2022-04-06;RUB
EQOB;2018-10-11;СистемБ1P6;RU000A0JXN21;26;4899353.6;97.67;97.9;97.8;97.8;1.46;97.77;9.89;97.81;5011;97.77;97.77;97.8;4899353.6;4899353.6;4899353.6;2027-03-26;1115;9.9;;;;44.38;2022-04-01;2018-10-11;1000;SUR;;9.8597;;2022-04-06;RUB
EQOB;2018-10-12;СистемБ1P6;RU000A0JXN21;37;2458926.7;97.3;97.96;97.35;97.35;1.71;97.77;10.06;97.54;2515;97.77;97.77;97.35;2458926.7;2458926.7;2458926.7;2027-03-26;1114;9.9;;;;44.38;2022-04-01;2018-10-12;1000;SUR;;10.0251;;2022-04-06;RUB
