,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Газпнф1P1R,RU000A0JXNF9,2,2048.0,102.0,102.8,102.0,102.0,41.24,102.4,8.2,102.8,2,101.04,101.05,102.0,1377236.7,1375316.5,1377236.7,2022-04-06,1091,8.06,,,,43.38,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,Газпнф1P1R,RU000A0JXNF9,0,0.0,,,,102.0,41.47,,8.2,,0,101.03,101.05,102.0,5241532.1,1375316.5,5241532.1,2022-04-06,1088,,,,,43.38,,2018-10-01,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,Газпнф1P1R,RU000A0JXNF9,0,0.0,,,,102.0,41.71,,8.2,,0,101.03,101.05,102.0,5024400.9,1375316.5,5024400.9,2022-04-06,1087,,,,,43.38,,2018-10-01,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,Газпнф1P1R,RU000A0JXNF9,0,0.0,,,,102.0,41.95,,8.2,,0,101.05,101.05,102.0,3839968.2,1375316.5,3839968.2,2022-04-06,1086,,,,,43.38,,2018-10-01,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,Газпнф1P1R,RU000A0JXNF9,2,17396.0,102.0,102.8,102.0,102.0,42.19,102.33,8.19,102.8,17,101.05,101.07,102.0,3566196.2,1390691.5,3566196.2,2022-04-06,1087,8.08,,,,43.38,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,Газпнф1P1R,RU000A0JXNF9,0,0.0,,,,102.0,42.9,,8.19,,0,101.06,101.07,102.0,1394632.7,1390691.5,1394632.7,2022-04-06,1082,,,,,43.38,,2018-10-05,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,Газпнф1P1R,RU000A0JXNF9,3,1116140.0,102.0,102.8,102.0,102.0,43.14,102.12,8.19,102.8,1093,101.54,101.55,102.0,2446201.5,2430033.0,2446201.5,2022-04-06,1083,8.15,,,,43.38,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,Газпнф1P1R,RU000A0JXNF9,0,0.0,,,,102.0,0.0,,8.19,,0,101.55,101.55,102.0,2431044.0,2430033.0,2431044.0,2022-04-06,1127,,,,,43.38,,2018-10-09,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,Газпнф1P1R,RU000A0JXNF9,1,13388.7,102.99,102.99,102.99,102.0,0.24,102.99,7.85,102.99,13,,101.56,102.0,0.0,2413106.7,0.0,2022-04-06,1127,7.85,,,,43.38,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,Газпнф1P1R,RU000A0JXNF9,3,118867.0,101.5,101.6,101.5,101.5,0.48,101.6,8.36,101.6,117,102.08,102.08,101.5,1267839.7,1266811.7,1267839.7,2022-04-06,1125,8.33,,,,43.38,,2018-10-12,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,Газпнф1P1R,RU000A0JXNF9,0,0.0,,,,101.5,1.19,,8.36,,0,,102.08,101.5,0.0,1266811.7,0.0,2022-04-06,1122,,,,,43.38,,2018-10-12,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,Газпнф1P1R,RU000A0JXNF9,1,101450.0,101.45,101.45,101.45,101.45,1.43,101.45,8.38,101.45,100,102.03,102.03,101.45,1367241.7,1367241.7,1367241.7,2022-04-06,1121,8.38,,,,43.38,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,Газпнф1P1R,RU000A0JXNF9,2,18095406.0,100.9,100.9,100.9,100.9,1.67,100.9,8.57,100.9,17934,100.98,100.98,100.9,19462647.7,19445251.7,19462647.7,2022-04-06,1119,8.57,,,,43.38,,2018-10-17,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,Газпнф1P1R,RU000A0JXNF9,3,52274.9,100.5,101.99,100.5,100.5,1.91,100.53,8.71,101.99,52,100.98,100.91,100.5,19514922.6,18381386.6,19514922.6,2022-04-06,1118,8.7,,,,43.38,,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,Газпнф1P1R,RU000A0JXNF9,1,1019.9,101.99,101.99,101.99,101.99,2.15,101.99,8.19,101.99,1,100.98,100.91,101.99,19498546.5,18369017.8,19498546.5,2022-04-06,1118,8.19,,,,43.38,,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,Газпнф1P1R,RU000A0JXNF9,1,51000.0,102.0,102.0,102.0,102.0,2.86,102.0,8.19,102.0,50,100.98,100.91,102.0,19549546.5,18369217.8,19549546.5,2022-04-06,1115,8.19,,,,43.38,,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,Газпнф1P1R,RU000A0JXNF9,0,0.0,,,,102.0,3.1,,8.19,,0,100.91,100.91,102.0,18433406.5,18369217.8,18433406.5,2022-04-06,1113,,,,,43.38,,2018-10-22,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,Газпнф1P1R,RU000A0JXNF9,1,2040.0,102.0,102.0,102.0,102.0,3.34,102.0,8.18,102.0,2,100.91,100.91,102.0,18435446.5,18308265.8,18435446.5,2022-04-06,1113,8.18,,,,43.38,,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,Газпнф1P1R,RU000A0JXNF9,11,70702699.0,100.9,101.3,100.9,100.9,3.58,100.9,8.57,101.0,70072,100.9,100.9,100.9,70702699.0,70702699.0,70702699.0,2022-04-06,1111,8.57,,,,43.38,,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,Газпнф1P1R,RU000A0JXNF9,9,313444.0,100.51,102.45,100.9,100.9,3.81,100.79,8.57,102.45,311,100.9,100.9,100.9,71016143.0,70994903.0,71016143.0,2022-04-06,1110,8.61,,,,43.38,,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,Газпнф1P1R,RU000A0JXNF9,0,0.0,,,,100.9,4.53,,8.57,,0,100.9,100.9,100.9,71016143.0,70994903.0,71016143.0,2022-04-06,1107,,,,,43.38,,2018-10-26,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,Газпнф1P1R,RU000A0JXNF9,3,31163.0,100.51,100.9,100.9,100.9,4.77,100.53,8.57,100.52,31,,100.9,100.9,0.0,71026066.0,0.0,2022-04-06,1106,8.7,,,,43.38,,2018-10-30,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,Газпнф1P1R,RU000A0JXNF9,8,8131260.0,100.0,100.9,100.5,100.5,5.01,100.19,8.71,100.06,8116,100.19,100.19,100.5,8162423.0,8152371.0,8162423.0,2022-04-06,1105,8.82,,,,43.38,,2018-10-31,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,Газпнф1P1R,RU000A0JXNF9,1,6054.0,100.9,100.9,100.9,100.9,5.24,100.9,8.57,100.9,6,100.19,100.19,100.9,8168477.0,8138323.0,8168477.0,2022-04-06,1104,8.57,,,,43.38,,2018-11-01,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,Газпнф1P1R,RU000A0JXNF9,3,26104.0,100.4,100.4,100.4,100.4,5.48,100.4,8.74,100.4,26,100.19,100.19,100.4,8163418.0,8113392.0,8163418.0,2022-04-06,1103,8.74,,,,43.38,,2018-11-02,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,Газпнф1P1R,RU000A0JXNF9,3,118048.0,100.4,100.9,100.9,100.9,6.44,100.9,8.56,100.4,117,100.2,100.51,100.9,8312629.0,3211440.0,8312629.0,2022-04-06,1099,8.56,,,,43.38,,2018-11-06,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,Газпнф1P1R,RU000A0JXNF9,0,0.0,,,,100.9,6.67,,8.56,,0,100.2,100.51,100.9,8281466.0,3211440.0,8281466.0,2022-04-06,1098,,,,,43.38,,2018-11-06,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,Газпнф1P1R,RU000A0JXNF9,5,1048180.7,100.4,100.41,100.4,100.4,6.91,100.4,8.74,100.41,1044,100.45,100.45,100.4,1198386.7,1177272.7,1198386.7,2022-04-06,1097,8.74,,,,43.38,,2018-11-08,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,Газпнф1P1R,RU000A0JXNF9,6,107321.0,100.3,100.3,100.3,100.3,7.15,100.3,8.78,100.3,107,100.39,100.39,100.3,1155501.7,1108309.0,1155501.7,2022-04-06,1096,8.78,,,,43.38,,2018-11-09,1000,SUR,,,,,RUB
29,EQOB,2018-11-12,Газпнф1P1R,RU000A0JXNF9,6,767053.0,100.0,100.49,100.49,100.49,7.87,100.01,8.71,100.01,767,100.04,100.04,100.49,874374.0,872368.0,874374.0,2022-04-06,1093,8.88,,,,43.38,,2018-11-12,1000,SUR,,,,,RUB
30,EQOB,2018-11-13,Газпнф1P1R,RU000A0JXNF9,5,2139371.9,100.89,101.98,100.9,100.9,8.1,101.39,8.56,101.97,2110,101.02,101.04,100.9,2906424.9,2866420.9,2906424.9,2022-04-06,1093,8.39,,,,43.38,,2018-11-13,1000,SUR,,,,,RUB
31,EQOB,2018-11-14,Газпнф1P1R,RU000A0JXNF9,6,73065.2,99.0,102.0,101.0,101.0,8.34,100.09,8.53,102.0,73,101.35,101.04,101.0,2212437.1,1472134.9,2212437.1,2022-04-06,1091,8.85,,,,43.38,,2018-11-14,1000,SUR,,,,,RUB
