history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;СберБ БО2R;RU000A0JXPE7;12;46222.3;102.5;103;103;103;;102.72;;103;45;;102.41;103;0;500768.6;0;2019-04-26;207;0;;;;0.05;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;СберБ БО2R;RU000A0JXPE7;18;48586.5;102.73;105.07;105.07;105.07;;103.38;;103.01;47;;102.66;105.07;0;502017.5;0;2019-04-26;206;0;;;;0.05;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;СберБ БО2R;RU000A0JXPE7;15;269694;102;103;102;102;;102.55;;102.97;263;;103;102;0;627256.5;0;2019-04-26;205;0;;;;0.05;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;СберБ БО2R;RU000A0JXPE7;16;39172.5;102.75;104.5;103;103;;103.09;;102.75;38;;103;103;0;666429;0;2019-04-26;204;0;;;;0.05;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;СберБ БО2R;RU000A0JXPE7;41;3113996.2;98;103.01;100.98;100.98;;98.2;;103.01;3171;98.2;98.2;100.98;3113996.2;3113996.2;3113996.2;2019-04-26;203;0;;;;0.05;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;СберБ БО2R;RU000A0JXPE7;43;315750.2;98;101;98.01;98.03;;98.98;;98.97;319;;99.37;98.03;0;514760.1;0;2019-04-26;200;0;;;;0.05;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;СберБ БО2R;RU000A0JXPE7;12;138794.7;97.23;100.93;99.9;99.9;;99.85;;97.23;139;;99.35;99.9;0;530554.7;0;2019-04-26;199;0;;;;0.05;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;СберБ БО2R;RU000A0JXPE7;10;12968.8;99.01;100.41;100.39;99.47;;99.76;;100.4;13;;99.36;99.47;0;543523.5;0;2019-04-26;198;0;;;;0.05;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;СберБ БО2R;RU000A0JXPE7;7;27974.6;99.01;99.98;99.97;99.97;;99.91;;99.97;28;;99.39;99.97;0;571498.1;0;2019-04-26;197;0;;;;0.05;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;СберБ БО2R;RU000A0JXPE7;10;152970.1;99.02;100;99.99;99.99;;99.98;;99.02;153;;99.56;99.99;0;570489.7;0;2019-04-26;196;0;;;;0.05;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;СберБ БО2R;RU000A0JXPE7;4;6972;99.02;100.38;100.33;99.29;;99.6;;100.38;7;;99.8;99.29;0;501001.7;0;2019-04-26;193;0;;;;0.05;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;СберБ БО2R;RU000A0JXPE7;10;314990.8;99.13;100;100;100;;100;;99.98;315;;99.98;100;0;500908.1;0;2019-04-26;192;0;;;;0.05;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;СберБ БО2R;RU000A0JXPE7;7;441347.5;99.85;100.31;99.85;99.85;;99.85;;99.9;442;99.91;99.87;99.85;756338.3;512347.5;756338.3;2019-04-26;191;0;;;;0.05;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;СберБ БО2R;RU000A0JXPE7;4;9985.2;99.84;99.86;99.84;99.84;;99.85;;99.86;10;;99.87;99.84;0;504332.7;0;2019-04-26;190;0;;;;0.05;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;СберБ БО2R;RU000A0JXPE7;44;1559254.3;99;100.93;99.01;99.01;;99.51;;100.28;1567;99.51;99.51;99.01;1559254.3;1559254.3;1559254.3;2019-04-26;189;0;;;;0.05;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;СберБ БО2R;RU000A0JXPE7;32;78187.2;99;102;102;102;;100.24;;100.6;78;;99.55;102;0;814326.8;0;2019-04-26;186;0;;;;0.05;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;СберБ БО2R;RU000A0JXPE7;21;38490.2;99.95;104.06;99.95;99.95;;101.29;;102;38;;99.63;99.95;0;852817;0;2019-04-26;185;0;;;;0.05;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;СберБ БО2R;RU000A0JXPE7;11;31959.9;99.76;100.12;100.11;100.11;;99.87;;99.76;32;;99.64;100.11;0;884776.9;0;2019-04-26;184;0;;;;0.05;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;СберБ БО2R;RU000A0JXPE7;4;4002.3;99.95;100.1;100.1;100.1;;100.06;;100.09;4;;99.64;100.1;0;888779.2;0;2019-04-26;183;0;;;;0.05;;2018-10-25;1000;SUR;;;;;RUB
