history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQDB;2018-10-01;ДомДенБ1Р1;RU000A0JXPH0;400;147853.6;0.76;1.3;0.89;0.79;;0.87;;1.25;16945;;0.93;0.79;0;500330.5;0;2022-04-19;161;0;;;;0.24;;2018-10-01;1000;SUR;;;;;RUB
EQDB;2018-10-02;ДомДенБ1Р1;RU000A0JXPH0;317;48080;0.64;0.9;0.85;0.81;;0.73;;0.9;6622;;0.96;0.81;0;502005.2;0;2022-04-19;152;0;;;;0.24;;2018-10-02;1000;SUR;;;;;RUB
EQDB;2018-10-03;ДомДенБ1Р1;RU000A0JXPH0;458;97595.7;0.58;0.85;0.67;0.65;;0.64;;0.82;15292;;0.88;0.65;0;501544.5;0;2022-04-19;146;0;;;;0.24;;2018-10-03;1000;SUR;;;;;RUB
EQDB;2018-10-04;ДомДенБ1Р1;RU000A0JXPH0;96;11467.6;0.6;0.88;0.73;0.69;;0.67;;0.88;1717;;0.86;0.69;0;500472.7;0;2022-04-19;146;0;;;;0.24;;2018-10-04;1000;SUR;;;;;RUB
EQDB;2018-10-05;ДомДенБ1Р1;RU000A0JXPH0;83;23634.9;0.71;0.9;0.82;0.82;;0.83;;0.73;2849;;0.86;0.82;0;500115.7;0;2022-04-19;152;0;;;;0.24;;2018-10-05;1000;SUR;;;;;RUB
EQDB;2018-10-08;ДомДенБ1Р1;RU000A0JXPH0;186;48523.4;0.84;1.2;1.01;0.98;;0.99;;0.9;4924;;0.85;0.98;0;502946;0;2022-04-19;155;0;;;;0.24;;2018-10-08;1000;SUR;;;;;RUB
EQDB;2018-10-09;ДомДенБ1Р1;RU000A0JXPH0;52;12176.6;0.9;1.07;1.01;0.97;;0.97;;1.02;1255;;0.85;0.97;0;505403;0;2022-04-19;152;0;;;;0.24;;2018-10-09;1000;SUR;;;;;RUB
EQDB;2018-10-10;ДомДенБ1Р1;RU000A0JXPH0;45;3394.3;0.87;1.2;1.02;1.02;;0.95;;1.2;358;;0.85;1.02;0;500149.9;0;2022-04-19;150;0;;;;0.24;;2018-10-10;1000;SUR;;;;;RUB
EQDB;2018-10-11;ДомДенБ1Р1;RU000A0JXPH0;51;9191.8;0.92;1.3;1;0.98;;1.11;;1.3;830;;0.85;0.98;0;502497.3;0;2022-04-19;155;0;;;;0.24;;2018-10-11;1000;SUR;;;;;RUB
EQDB;2018-10-12;ДомДенБ1Р1;RU000A0JXPH0;106;18606.7;0.67;1.16;0.96;0.96;;0.97;;1;1910;;0.84;0.96;0;500346;0;2022-04-19;148;0;;;;0.24;;2018-10-12;1000;SUR;;;;;RUB
EQDB;2018-10-15;ДомДенБ1Р1;RU000A0JXPH0;28;1423.6;0.82;1;0.95;0.95;;0.91;;1;157;;0.84;0.95;0;500141.6;0;2022-04-19;140;0;;;;0.24;;2018-10-15;1000;SUR;;;;;RUB
