history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ЛСР БО 1Р2;RU000A0JXPM0;8;229140;100.5;100.5;100.5;100.5;17.98;100.5;9.76;100.5;228;100.44;100.48;100.5;1652172.6;743560.1;1652172.6;2022-04-20;817;9.76;;;;24.06;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ЛСР БО 1Р2;RU000A0JXPM0;13;359726;100.47;100.75;100.47;100.47;18.24;100.48;9.78;100.75;358;;100.49;100.47;0;508466;0;2022-04-20;816;9.77;;;;24.06;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ЛСР БО 1Р2;RU000A0JXPM0;11;566835.4;100.47;100.91;100.5;100.5;18.51;100.5;9.76;100.91;564;100.5;100.5;100.5;566835.4;566835.4;566835.4;2022-04-20;815;9.76;;;;24.06;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ЛСР БО 1Р2;RU000A0JXPM0;5;1462272.4;100.47;100.5;100.5;100.5;18.77;100.5;9.76;100.47;1455;100.5;100.5;100.5;2029107.8;1837136.4;2029107.8;2022-04-20;814;9.76;;;;24.06;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;ЛСР БО 1Р2;RU000A0JXPM0;9;169810.3;100.47;100.5;100.48;100.48;19.04;100.48;9.77;100.5;169;100.5;100.5;100.48;1632082.7;1608970.3;1632082.7;2022-04-20;813;9.77;;;;24.06;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ЛСР БО 1Р2;RU000A0JXPM0;26;219871.8;99.53;100.93;100.15;100.15;19.83;99.94;9.93;100.93;220;;100.43;100.15;0;1828842.1;0;2022-04-20;809;10.03;;;;24.06;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ЛСР БО 1Р2;RU000A0JXPM0;31;1391128.3;100;100.49;100.1;100.1;20.09;100.08;9.96;100.39;1390;100.08;100.08;100.1;1391128.3;1391128.3;1391128.3;2022-04-20;809;9.97;;;;24.06;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ЛСР БО 1Р2;RU000A0JXPM0;23;7699837.6;100.2;100.89;100.89;100.82;20.36;100.3;9.57;100.75;7677;100.3;100.3;100.82;7699837.6;7699837.6;7699837.6;2022-04-20;808;9.86;;;;24.06;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ЛСР БО 1Р2;RU000A0JXPM0;14;252908.3;100.14;100.89;100.79;100.79;20.62;100.36;9.62;100.7;252;;100.31;100.79;0;5900956.3;0;2022-04-20;807;9.83;;;;24.06;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;ЛСР БО 1Р2;RU000A0JXPM0;11;963879.9;100.15;100.89;100.89;100.3;20.89;100.3;9.57;100.88;961;100.3;100.3;100.3;963879.9;963879.9;963879.9;2022-04-20;806;9.86;;;;24.06;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;ЛСР БО 1Р2;RU000A0JXPM0;22;15730996.8;100.4;100.51;100.49;100.49;21.68;100.4;9.77;100.51;15668;100.4;100.4;100.49;15730996.8;15730996.8;15730996.8;2022-04-20;803;9.81;;;;24.06;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;ЛСР БО 1Р2;RU000A0JXPM0;12;1400483.4;100.35;100.7;100.7;100.7;21.94;100.68;9.66;100.59;1391;100.68;100.68;100.7;1400483.4;1400483.4;1400483.4;2022-04-20;802;9.67;;;;24.06;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;ЛСР БО 1Р2;RU000A0JXPM0;12;317634.7;100.49;100.79;100.7;100.52;22.21;100.52;9.66;100.79;316;;100.66;100.52;0;1526034.7;0;2022-04-20;801;9.75;;;;24.06;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;ЛСР БО 1Р2;RU000A0JXPM0;23;2561323.4;100.2;100.7;100.7;100.7;22.47;100.64;9.66;100.41;2545;100.64;100.64;100.7;2561323.4;2561323.4;2561323.4;2022-04-20;800;9.69;;;;24.06;;2018-10-18;1000;SUR;;;;;RUB
