history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;РЖД Б01P2R;RU000A0JXQ44;2;2000.2;98.08;101.94;98.08;98.08;36.79;100.01;9.05;101.94;2;98.66;99.83;98.08;3003174.9;903445.1;3003174.9;2037-04-02;2014;8.68;;;;42.38;2026-04-16;2018-10-01;1000;SUR;;9.036;;2026-04-21;RUB
EQOB;2018-10-02;РЖД Б01P2R;RU000A0JXQ44;4;965493.7;100;101;100;100;37.03;100.99;8.68;100.99;956;100.44;100.47;100;1856170;1835529.1;1856170;2037-04-02;2018;8.49;;;;42.38;2026-04-16;2018-10-02;1000;SUR;;8.6669;;2026-04-21;RUB
EQOB;2018-10-03;РЖД Б01P2R;RU000A0JXQ44;0;0;;;;100;37.26;;8.68;;0;100.44;100.47;100;1856170;1835529.1;1856170;2037-04-02;2014;;;;;42.38;2026-04-16;2018-10-02;1000;SUR;;8.6714;;2026-04-21;RUB
EQOB;2018-10-04;РЖД Б01P2R;RU000A0JXQ44;1;993;99.3;99.3;99.3;99.3;37.49;99.3;8.81;99.3;1;99.31;100.73;99.3;3801527.2;1258159;3801527.2;2037-04-02;2008;8.81;;;;42.38;2026-04-16;2018-10-04;1000;SUR;;8.8006;;2026-04-21;RUB
EQOB;2018-10-05;РЖД Б01P2R;RU000A0JXQ44;0;0;;;;99.3;37.73;;8.81;;0;99.31;100.73;99.3;3800544.3;1258159;3800544.3;2037-04-02;2014;;;;;42.38;2026-04-16;2018-10-04;1000;SUR;;8.8052;;2026-04-21;RUB
EQOB;2018-10-08;РЖД Б01P2R;RU000A0JXQ44;2;5045.6;100.6;100.99;100.99;100.91;38.42;100.91;8.49;100.6;5;100.44;100.99;100.91;1865155.8;974531.4;1865155.8;2037-04-02;2011;8.51;;;;42.38;2026-04-16;2018-10-08;1000;SUR;;8.4805;;2026-04-21;RUB
EQOB;2018-10-09;РЖД Б01P2R;RU000A0JXQ44;0;0;;;;100.91;38.66;;8.49;;0;100.44;100.99;100.91;1862208.6;974531.4;1862208.6;2037-04-02;2011;;;;;42.38;2026-04-16;2018-10-08;1000;SUR;;8.4849;;2026-04-21;RUB
EQOB;2018-10-10;РЖД Б01P2R;RU000A0JXQ44;1;962692;100.7;100.7;100.7;100.7;38.89;100.7;8.55;100.7;956;100.53;100.85;100.7;2824900.6;1936224.5;2824900.6;2037-04-02;2008;8.55;;;;42.38;2026-04-16;2018-10-10;1000;SUR;;8.535;;2026-04-21;RUB
EQOB;2018-10-11;РЖД Б01P2R;RU000A0JXQ44;3;4747.9;93.59;97;97;94.96;39.12;94.96;9.26;93.6;5;100.83;100.83;94.96;1941971.3;1918774.2;1941971.3;2037-04-02;1981;9.67;;;;42.38;2026-04-16;2018-10-11;1000;SUR;;9.2501;;2026-04-21;RUB
EQOB;2018-10-12;РЖД Б01P2R;RU000A0JXQ44;1;1004.9;100.49;100.49;100.49;100.49;39.36;100.49;8.59;100.49;1;100.83;100.76;100.49;1941977.3;1371403.4;1941977.3;2037-04-02;2005;8.59;;;;42.38;2026-04-16;2018-10-12;1000;SUR;;8.5746;;2026-04-21;RUB
EQOB;2018-10-15;РЖД Б01P2R;RU000A0JXQ44;4;961237;99;100.55;100.55;100.55;40.05;100.55;8.58;99;956;100.74;100.61;100.55;2901214.1;1933721.4;2901214.1;2037-04-02;2003;8.58;;;;42.38;2026-04-16;2018-10-15;1000;SUR;;8.5636;;2026-04-21;RUB
EQOB;2018-10-16;РЖД Б01P2R;RU000A0JXQ44;0;0;;;;100.55;40.29;;8.57;;0;100.61;100.61;100.55;1935720.4;1933721.4;1935720.4;2037-04-02;2002;;;;;42.38;2026-04-16;2018-10-15;1000;SUR;;8.568;;2026-04-21;RUB
EQOB;2018-10-17;РЖД Б01P2R;RU000A0JXQ44;0;0;;;;100.55;40.52;;8.58;;0;100.61;100.61;100.55;1935720.4;1933721.4;1935720.4;2037-04-02;2001;;;;;42.38;2026-04-16;2018-10-15;1000;SUR;;8.5725;;2026-04-21;RUB
EQOB;2018-10-18;РЖД Б01P2R;RU000A0JXQ44;0;0;;;;100.55;40.75;;8.58;;0;100.61;100.61;100.55;1934727.4;1933721.4;1934727.4;2037-04-02;2000;;;;;42.38;2026-04-16;2018-10-15;1000;SUR;;8.5769;;2026-04-21;RUB
EQOB;2018-10-19;РЖД Б01P2R;RU000A0JXQ44;0;0;;;;100.55;40.99;;8.58;;0;100.61;100.61;100.55;1934727.4;1933721.4;1934727.4;2037-04-02;1999;;;;;42.38;2026-04-16;2018-10-15;1000;SUR;;8.5814;;2026-04-21;RUB
EQOB;2018-10-22;РЖД Б01P2R;RU000A0JXQ44;10;98069747.3;97.55;100;97.55;97.55;41.68;97.58;9.16;100;100507;97.58;97.58;97.55;98069747.3;98069747.3;98069747.3;2037-04-02;1982;9.15;;;;42.38;2026-04-16;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;РЖД Б01P2R;RU000A0JXQ44;20;122573016.8;97.75;98.4;97.75;97.75;41.92;98.02;9.12;97.99;125049;98.02;98.02;97.75;122573016.8;122573016.8;122573016.8;2037-04-02;1983;9.06;;;;42.38;2026-04-16;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;РЖД Б01P2R;RU000A0JXQ44;5;150098754;98.05;98.25;98.15;98.15;42.15;98.09;9.04;98.05;153014;98.06;98.09;98.15;272671770.8;152495833;272671770.8;2037-04-02;1983;9.05;;;;42.38;2026-04-16;2018-10-24;1000;SUR;;;;;RUB
