history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ВЭБ ПБО1Р7;RU000A0JXRP9;17;78067711.4;101;101.15;101;101;31.98;101;8.26;101.15;77294;101;101;101;78067711.4;78067711.4;78067711.4;2019-11-22;394;8.26;;;;45.13;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ВЭБ ПБО1Р7;RU000A0JXRP9;15;330579;100.55;101.3;101.05;101.05;32.23;101.09;8.21;101.3;327;;101.01;101.05;0;5380579;0;2019-11-22;393;8.18;;;;45.13;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ВЭБ ПБО1Р7;RU000A0JXRP9;18;3039673.5;101;101.1;101;101.01;32.48;101.02;8.26;101.1;3009;101.02;101.02;101.01;3039673.5;3039673.5;3039673.5;2019-11-22;392;8.24;;;;45.13;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ВЭБ ПБО1Р7;RU000A0JXRP9;15;2971599.2;100.95;101.1;100.95;100.95;32.73;101.01;8.31;101.1;2942;101.01;101.01;100.95;2971599.2;2971599.2;2971599.2;2019-11-22;391;8.25;;;;45.13;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;ВЭБ ПБО1Р7;RU000A0JXRP9;22;4637679.5;100.7;101.2;100.75;100.75;32.98;100.73;8.5;101.2;4604;100.73;100.73;100.75;4637679.5;4637679.5;4637679.5;2019-11-22;390;8.52;;;;45.13;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ВЭБ ПБО1Р7;RU000A0JXRP9;16;6782996.6;100.5;101.05;100.98;100.98;33.72;100.98;8.27;100.51;6717;100.98;100.98;100.98;6782996.6;6782996.6;6782996.6;2019-11-22;387;8.27;;;;45.13;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ВЭБ ПБО1Р7;RU000A0JXRP9;23;1562891.8;100.7;101.1;100.99;100.99;33.97;100.83;8.26;101.1;1550;100.83;100.83;100.99;1562891.8;1562891.8;1562891.8;2019-11-22;386;8.41;;;;45.13;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ВЭБ ПБО1Р7;RU000A0JXRP9;25;18596472.3;100.81;101.2;100.85;100.85;34.22;100.85;8.39;101.19;18439;100.85;100.85;100.85;18596472.3;18596472.3;18596472.3;2019-11-22;385;8.39;;;;45.13;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ВЭБ ПБО1Р7;RU000A0JXRP9;35;21269770.5;100.65;101.19;101.19;101.19;34.46;100.79;8.06;101;21103;100.79;100.79;101.19;21269770.5;21269770.5;21269770.5;2019-11-22;384;8.45;;;;45.13;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;ВЭБ ПБО1Р7;RU000A0JXRP9;7;120186.5;100.76;101.17;100.76;100.76;34.71;101;8.48;101.15;119;100.79;101.17;100.76;21389957;1197859.9;21389957;2019-11-22;383;8.24;;;;45.13;;2018-10-12;1000;SUR;;;;;RUB
