history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;КТЖФинанс1;RU000A0JXS34;16;239243.9;98.85;98.9;98.87;98.87;26.61;98.86;9.32;98.9;242;;98.71;98.87;0;512310.9;0;2022-06-07;1147;9.32;;;;43.63;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;КТЖФинанс1;RU000A0JXS34;8;9944359.5;98.77;99;98.9;98.9;26.85;98.9;9.31;99;10055;98.9;98.9;98.9;10183603.4;9994773.2;10183603.4;2022-06-07;1147;9.31;;;;43.63;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;КТЖФинанс1;RU000A0JXS34;10;1867925.6;98.61;99;98.85;98.85;27.09;98.88;9.33;99;1889;98.88;98.88;98.85;1867925.6;1867925.6;1867925.6;2022-06-07;1146;9.32;;;;43.63;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;КТЖФинанс1;RU000A0JXS34;19;1233466.1;98.1;98.99;98.6;98.6;27.33;98.6;9.41;98.99;1251;98.6;98.6;98.6;1233466.1;1233466.1;1233466.1;2022-06-07;1144;9.41;;;;43.63;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;КТЖФинанс1;RU000A0JXS34;61;1141401.7;66.03;98.99;98.75;98.89;27.57;86.54;9.36;74.83;1319;86.54;86.54;98.89;1141401.7;1141401.7;1141401.7;2022-06-07;1126;13.96;;;;43.63;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;КТЖФинанс1;RU000A0JXS34;18;1238937.4;96;99.2;98.98;98.98;28.29;98.8;9.28;96;1254;98.8;98.8;98.98;1238937.4;1238937.4;1238937.4;2022-06-07;1140;9.34;;;;43.63;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;КТЖФинанс1;RU000A0JXS34;4;234922.9;97.05;98.98;98.01;98.01;28.53;98.71;9.62;97.05;238;98.78;98.92;98.01;1473860.3;995132.5;1473860.3;2022-06-07;1139;9.38;;;;43.63;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;КТЖФинанс1;RU000A0JXS34;3;40590;99;99;99;99;28.77;99;9.28;99;41;98.79;98.64;99;1514450.3;510954.5;1514450.3;2022-06-07;1139;9.28;;;;43.63;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;КТЖФинанс1;RU000A0JXS34;33;954091.8;99;99.2;99.19;99.19;29.01;99.18;9.21;99;962;99.18;99.18;99.19;954091.8;954091.8;954091.8;2022-06-07;1138;9.21;;;;43.63;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;КТЖФинанс1;RU000A0JXS34;2;26720.2;98.62;99.2;98.62;98.62;29.25;98.96;9.41;99.2;27;99.17;99.17;98.62;980812;516654.8;980812;2022-06-07;1137;9.29;;;;43.63;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;КТЖФинанс1;RU000A0JXS34;6;1671417;98.89;98.94;98.9;98.9;29.97;98.9;9.31;98.9;1690;99;98.91;98.9;2652229;1752691.7;2652229;2022-06-07;1134;9.31;;;;43.63;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;КТЖФинанс1;RU000A0JXS34;14;2525779.2;98.72;99;98.76;98.76;30.21;98.78;9.36;98.72;2557;98.78;98.78;98.76;2525779.2;2525779.2;2525779.2;2022-06-07;1132;9.35;;;;43.63;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;КТЖФинанс1;RU000A0JXS34;6;650412;98.75;99.15;99.15;99.15;30.45;99.15;9.23;98.75;656;98.85;99.14;99.15;3176191.2;667201.2;3176191.2;2022-06-07;1132;9.23;;;;43.63;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;КТЖФинанс1;RU000A0JXS34;7;1369137.5;98.8;99;99;99;30.68;99;9.28;98.8;1383;99.05;99.04;99;2019549.5;1915454;2019549.5;2022-06-07;1131;9.28;;;;43.63;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;КТЖФинанс1;RU000A0JXS34;4;161204;98.8;99;98.8;98.8;30.92;98.9;9.35;99;163;98.99;98.99;98.8;1530341.5;1528365.5;1530341.5;2022-06-07;1130;9.31;;;;43.63;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;КТЖФинанс1;RU000A0JXS34;20;1094745;98.11;99.2;98.8;98.8;31.64;98.98;9.35;99.2;1106;98.98;98.98;98.8;1094745;1094745;1094745;2022-06-07;1127;9.29;;;;43.63;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;КТЖФинанс1;RU000A0JXS34;9;3236558.1;98.75;99.2;98.75;98.75;31.88;98.86;9.37;99.2;3274;98.89;98.86;98.75;4331303.1;3281018.1;4331303.1;2022-06-07;1125;9.33;;;;43.63;;2018-10-23;1000;SUR;;;;;RUB
