,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ВлгОб35007,RU000A0JXSD3,25,2279870.3,99.72,99.94,99.94,99.94,5.52,99.73,8.95,99.75,2286,99.73,99.73,99.94,2279870.3,2279870.3,2279870.3,2024-06-02,1373,9.01,,,,22.81,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,ВлгОб35007,RU000A0JXSD3,24,2535174.7,99.8,99.99,99.99,99.99,5.77,99.89,8.93,99.95,2538,99.89,99.89,99.99,2535174.7,2535174.7,2535174.7,2024-06-02,1372,8.96,,,,22.81,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,ВлгОб35007,RU000A0JXSD3,19,1304925.1,99.75,100.28,99.75,99.91,6.02,99.84,9.0,100.0,1307,99.84,99.84,99.91,1304925.1,1304925.1,1304925.1,2024-06-02,1371,8.98,,,,22.81,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,ВлгОб35007,RU000A0JXSD3,27,1583923.4,99.7,100.28,100.0,100.0,6.27,100.12,8.93,100.28,1582,100.12,100.12,100.0,1583923.4,1583923.4,1583923.4,2024-06-02,1371,8.9,,,,22.81,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,ВлгОб35007,RU000A0JXSD3,16,1715830.7,99.95,100.1,100.06,100.09,6.52,99.99,8.91,99.98,1716,99.99,99.99,100.09,1715830.7,1715830.7,1715830.7,2024-06-02,1370,8.93,,,,22.81,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,ВлгОб35007,RU000A0JXSD3,14,2135149.9,99.99,100.12,100.05,100.05,7.27,100.01,8.91,100.0,2135,100.01,100.01,100.05,2135149.9,2135149.9,2135149.9,2024-06-02,1367,8.93,,,,22.81,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ВлгОб35007,RU000A0JXSD3,9,73018.9,99.99,100.14,100.14,100.14,7.52,100.03,8.89,99.99,73,100.01,100.01,100.14,2208168.8,1208168.8,2208168.8,2024-06-02,1366,8.92,,,,22.81,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ВлгОб35007,RU000A0JXSD3,8,177940.0,99.9,100.13,99.96,99.96,7.77,99.97,8.94,100.12,178,,100.02,99.96,0.0,501077.9,0.0,2024-06-02,1365,8.94,,,,22.81,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ВлгОб35007,RU000A0JXSD3,4,73969.0,99.8,100.1,99.8,99.8,8.02,99.96,8.99,100.1,74,,100.01,99.8,0.0,565047.9,0.0,2024-06-02,1364,8.94,,,,22.81,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ВлгОб35007,RU000A0JXSD3,16,1064547.5,99.9,100.35,99.9,99.95,8.27,100.05,8.96,100.07,1064,100.05,100.05,99.95,1064547.5,1064547.5,1064547.5,2024-06-02,1363,8.91,,,,22.81,,2018-10-12,1000,SUR,,,,,RUB
