history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Акрон Б1P2;RU000A0JXSS1;0;0;;;;100.08;27.8;;8.7;;0;100.04;100.05;100.08;10705638.9;10484194.9;10705638.9;2027-05-25;1009;;;;;42.88;2021-11-30;2018-09-27;1000;SUR;;8.7203;;2021-12-03;RUB
EQOB;2018-10-02;Акрон Б1P2;RU000A0JXSS1;1;1005;100.5;100.5;100.5;100.5;28.04;100.5;8.59;100.5;1;100.03;100.05;100.5;10841702.8;10465319.9;10841702.8;2027-05-25;1009;8.59;;;;42.88;2021-11-30;2018-10-02;1000;SUR;;8.5664;;2021-12-03;RUB
EQOB;2018-10-03;Акрон Б1P2;RU000A0JXSS1;0;0;;;;100.5;28.27;;8.59;;0;100.04;100.05;100.5;10728683.8;10465319.9;10728683.8;2027-05-25;1007;;;;;42.88;2021-11-30;2018-10-02;1000;SUR;;8.5752;;2021-12-03;RUB
EQOB;2018-10-04;Акрон Б1P2;RU000A0JXSS1;2;19992;99.96;99.96;99.96;99.96;28.51;99.96;8.79;99.96;20;100.04;100.07;99.96;10748675.8;10221871.9;10748675.8;2027-05-25;1006;8.79;;;;42.88;2021-11-30;2018-10-04;1000;SUR;;8.7722;;2021-12-03;RUB
EQOB;2018-10-05;Акрон Б1P2;RU000A0JXSS1;1;10049;100.49;100.49;100.49;100.49;28.75;100.49;8.59;100.49;10;100.04;100.08;100.49;10736684.9;10040078.9;10736684.9;2027-05-25;1006;8.59;;;;42.88;2021-11-30;2018-10-05;1000;SUR;;8.5697;;2021-12-03;RUB
EQOB;2018-10-08;Акрон Б1P2;RU000A0JXSS1;0;0;;;;100.49;29.45;;8.59;;0;100.04;100.08;100.49;10736684.9;10040078.9;10736684.9;2027-05-25;1002;;;;;42.88;2021-11-30;2018-10-05;1000;SUR;;8.5964;;2021-12-03;RUB
EQOB;2018-10-09;Акрон Б1P2;RU000A0JXSS1;2;25062.5;100.25;100.25;100.25;100.25;29.69;100.25;8.68;100.25;25;100.07;100.08;100.25;10261983.4;10062141.7;10261983.4;2027-05-25;1001;8.68;;;;42.88;2021-11-30;2018-10-09;1000;SUR;;8.6611;;2021-12-03;RUB
EQOB;2018-10-10;Акрон Б1P2;RU000A0JXSS1;3;110734.5;99.75;99.99;99.75;99.75;29.92;99.76;8.87;99.99;111;100.08;100.18;99.75;10174876;4402876.2;10174876;2027-05-25;1000;8.87;;;;42.88;2021-11-30;2018-10-10;1000;SUR;;8.8536;;2021-12-03;RUB
EQOB;2018-10-11;Акрон Б1P2;RU000A0JXSS1;2;6011.4;100.19;100.19;100.19;100.19;30.16;100.19;8.7;100.19;6;;100.18;100.19;0;4408887.6;0;2027-05-25;999;8.7;;;;42.88;2021-11-30;2018-10-11;1000;SUR;;8.6841;;2021-12-03;RUB
EQOB;2018-10-12;Акрон Б1P2;RU000A0JXSS1;3;19037.1;100.19;100.2;100.2;100.2;30.39;100.2;8.7;100.19;19;;100.18;100.2;0;4427924.7;0;2027-05-25;998;8.7;;;;42.88;2021-11-30;2018-10-12;1000;SUR;;8.6805;;2021-12-03;RUB
EQOB;2018-10-15;Акрон Б1P2;RU000A0JXSS1;0;0;;;;100.2;31.1;;8.7;;0;;100.18;100.2;0;4427924.7;0;2027-05-25;995;;;;;42.88;2021-11-30;2018-10-12;1000;SUR;;8.7077;;2021-12-03;RUB
EQOB;2018-10-16;Акрон Б1P2;RU000A0JXSS1;0;0;;;;100.2;31.34;;8.7;;0;;100.18;100.2;0;4427924.7;0;2027-05-25;994;;;;;42.88;2021-11-30;2018-10-12;1000;SUR;;8.7168;;2021-12-03;RUB
EQOB;2018-10-17;Акрон Б1P2;RU000A0JXSS1;1;3011.7;100.39;100.39;100.39;100.39;31.57;100.39;8.63;100.39;3;;100.18;100.39;0;4430936.4;0;2027-05-25;994;8.63;;;;42.88;2021-11-30;2018-10-17;1000;SUR;;8.6073;;2021-12-03;RUB
EQOB;2018-10-18;Акрон Б1P2;RU000A0JXSS1;1;6023.4;100.39;100.39;100.39;100.39;31.81;100.39;8.63;100.39;6;;100.18;100.39;0;4436959.8;0;2027-05-25;993;8.63;;;;42.88;2021-11-30;2018-10-18;1000;SUR;;8.6071;;2021-12-03;RUB
EQOB;2018-10-19;Акрон Б1P2;RU000A0JXSS1;1;22041.8;100.19;100.19;100.19;100.19;32.04;100.19;8.7;100.19;22;;100.18;100.19;0;4459001.6;0;2027-05-25;991;8.7;;;;42.88;2021-11-30;2018-10-19;1000;SUR;;8.6844;;2021-12-03;RUB
EQOB;2018-10-22;Акрон Б1P2;RU000A0JXSS1;4;7268398;100.2;100.4;100.4;100.4;32.75;100.32;8.62;100.2;7245;100.31;100.32;100.4;7460320.4;7318512;7460320.4;2027-05-25;989;8.65;;;;42.88;2021-11-30;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;Акрон Б1P2;RU000A0JXSS1;4;11867040;100.5;100.5;100.5;100.5;32.99;100.5;8.58;100.5;11808;100.43;100.43;100.5;19166514.9;19163503.2;19166514.9;2027-05-25;988;8.58;;;;42.88;2021-11-30;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;Акрон Б1P2;RU000A0JXSS1;2;33165;100.5;100.5;100.5;100.5;33.22;100.5;8.58;100.5;33;100.43;100.43;100.5;19168603;19168603;19168603;2027-05-25;987;8.58;;;;42.88;2021-11-30;2018-10-24;1000;SUR;;;;;RUB
