,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ГПБ БО-13,RU000A0JXTF6,6,1009490.5,100.7,102.5,100.7,100.7,25.83,101.05,8.36,101.9,999,100.98,101.04,100.7,1524775.8,1149824.8,1524775.8,2020-06-14,578,8.12,,,,43.37,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,ГПБ БО-13,RU000A0JXTF6,1,46125.0,102.5,102.5,102.5,102.5,26.07,102.5,7.18,102.5,45,101.02,101.1,102.5,1570900.8,1115181.8,1570900.8,2020-06-14,577,7.18,,,,43.37,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,ГПБ БО-13,RU000A0JXTF6,3,20515288.0,100.4,101.1,101.05,101.05,26.31,100.4,8.12,101.1,20433,100.44,100.44,101.05,21570903.5,21570903.5,21570903.5,2020-06-14,576,8.55,,,,43.37,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,ГПБ БО-13,RU000A0JXTF6,3,2567747.6,101.04,102.5,101.04,101.04,26.54,101.05,8.13,102.5,2541,100.51,100.5,101.04,24653936.4,24006099.6,24653936.4,2020-06-14,575,8.12,,,,43.37,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,ГПБ БО-13,RU000A0JXTF6,4,102501.2,100.06,100.5,100.5,100.5,26.78,100.49,8.49,100.06,102,100.47,100.47,100.5,23185536.8,23185536.8,23185536.8,2020-06-14,574,8.49,,,,43.37,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,ГПБ БО-13,RU000A0JXTF6,6,74686.4,100.7,100.98,100.98,100.98,27.49,100.93,8.16,100.9,74,,100.94,100.98,0.0,682387.6,0.0,2020-06-14,571,8.2,,,,43.37,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ГПБ БО-13,RU000A0JXTF6,5,11101.0,100.85,101.0,100.9,100.9,27.73,100.92,8.22,101.0,11,,100.94,100.9,0.0,693488.6,0.0,2020-06-14,570,8.2,,,,43.37,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ГПБ БО-13,RU000A0JXTF6,4,22190.0,100.85,100.95,100.85,100.85,27.96,100.86,8.25,100.95,22,,100.94,100.85,0.0,715678.6,0.0,2020-06-14,569,8.24,,,,43.37,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ГПБ БО-13,RU000A0JXTF6,6,389458.1,100.8,100.95,100.88,100.88,28.2,100.9,8.23,100.95,386,,100.86,100.88,0.0,553715.5,0.0,2020-06-14,568,8.21,,,,43.37,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ГПБ БО-13,RU000A0JXTF6,8,311153.3,100.8,101.03,101.03,101.03,28.44,101.02,8.13,100.95,308,100.95,100.95,101.03,700611.4,693549.9,700611.4,2020-06-14,567,8.13,,,,43.37,,2018-10-12,1000,SUR,,,,,RUB
