,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,БинбанкБП3,RU000A0JXTN0,11,3381688.5,104.4,105.25,105.05,105.05,35.62,104.5,8.78,104.4,3236,104.5,104.5,105.05,3381688.5,3381688.5,3381688.5,2020-06-17,586,9.12,,,,121.83,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,БинбанкБП3,RU000A0JXTN0,33,3331296.2,100.0,105.26,104.96,104.96,35.95,103.65,8.83,105.25,3214,103.65,103.65,104.96,3331296.2,3331296.2,3331296.2,2020-06-17,585,9.65,,,,121.83,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,БинбанкБП3,RU000A0JXTN0,19,1853867.7,104.51,105.11,105.11,105.11,36.28,104.62,8.73,104.6,1772,104.62,104.62,105.11,1853867.7,1853867.7,1853867.7,2020-06-17,584,9.04,,,,121.83,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,БинбанкБП3,RU000A0JXTN0,7,349576.8,103.9,105.14,105.1,105.02,36.62,104.66,8.73,105.14,334,104.63,104.66,105.02,2203444.5,585043.9,2203444.5,2020-06-17,583,9.0,,,,121.83,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,БинбанкБП3,RU000A0JXTN0,16,1049886.6,103.69,105.47,105.27,104.66,36.95,104.67,8.62,105.47,1003,104.67,104.67,104.66,1049886.6,1049886.6,1049886.6,2020-06-17,582,8.99,,,,121.83,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,БинбанкБП3,RU000A0JXTN0,15,2158217.8,104.7,105.44,105.44,105.24,37.95,105.23,8.49,104.7,2051,105.23,105.23,105.24,2158217.8,2158217.8,2158217.8,2020-06-17,579,8.63,,,,121.83,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,БинбанкБП3,RU000A0JXTN0,13,598094.4,104.68,105.38,105.1,105.1,38.28,104.75,8.7,104.75,571,104.75,104.75,105.1,598094.4,598094.4,598094.4,2020-06-17,578,8.92,,,,121.83,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,БинбанкБП3,RU000A0JXTN0,11,552471.8,102.6,105.0,104.9,104.9,38.61,104.44,8.82,102.6,529,104.44,104.44,104.9,552471.8,552471.8,552471.8,2020-06-17,577,9.12,,,,121.83,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,БинбанкБП3,RU000A0JXTN0,3,839207.8,104.9,105.3,105.28,105.28,38.95,104.9,8.58,104.9,800,104.72,104.89,105.28,1391679.6,1183209.6,1391679.6,2020-06-17,576,8.82,,,,121.83,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,БинбанкБП3,RU000A0JXTN0,3,67203.6,105.0,105.36,105.36,105.02,39.28,105.01,8.52,105.0,64,104.73,104.89,105.02,1458883.2,1074023.4,1458883.2,2020-06-17,575,8.74,,,,121.83,,2018-10-12,1000,SUR,,,,,RUB
