history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ВЭБ ПБО1Р9;RU000A0JXU71;23;20276095.2;100.2;100.29;100.29;100.29;24.21;100.22;8.8;100.29;20218;100.29;100.29;100.29;20276095.2;20276095.2;20276095.2;2021-06-18;883;8.84;;;;43.63;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ВЭБ ПБО1Р9;RU000A0JXU71;9;406827.8;100.35;100.67;100.35;100.35;24.45;100.45;8.78;100.38;405;100.29;100.3;100.35;20682923;7840322.6;20682923;2021-06-18;882;8.73;;;;43.63;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ВЭБ ПБО1Р9;RU000A0JXU71;24;23106549.9;100.34;100.67;100.41;100.41;24.69;100.45;8.75;100.65;23003;100.45;100.45;100.41;23106549.9;23106549.9;23106549.9;2021-06-18;881;8.73;;;;43.63;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ВЭБ ПБО1Р9;RU000A0JXU71;17;840171.1;100.33;100.54;100.33;100.33;24.93;100.38;8.79;100.38;837;100.38;100.38;100.33;840171.1;840171.1;840171.1;2021-06-18;880;8.76;;;;43.63;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;ВЭБ ПБО1Р9;RU000A0JXU71;24;11220466.4;99.85;100.4;100.18;100.18;25.17;100.21;8.85;100.39;11197;100.21;100.21;100.18;11220466.4;11220466.4;11220466.4;2021-06-18;879;8.84;;;;43.63;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ВЭБ ПБО1Р9;RU000A0JXU71;22;5752616.6;99.8;100.19;99.99;99.99;25.89;99.89;8.94;100.19;5759;99.89;99.89;99.99;5752616.6;5752616.6;5752616.6;2021-06-18;876;8.98;;;;43.63;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ВЭБ ПБО1Р9;RU000A0JXU71;27;119942403.5;99.7;100.72;100.69;100.69;26.13;100.01;8.63;99.71;119935;100.01;100.01;100.69;119942403.5;119942403.5;119942403.5;2021-06-18;875;8.93;;;;43.63;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ВЭБ ПБО1Р9;RU000A0JXU71;11;996102;100.25;100.72;100.25;100.25;26.37;100.51;8.82;100.7;991;100.51;100.51;100.25;996102;996102;996102;2021-06-18;874;8.71;;;;43.63;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ВЭБ ПБО1Р9;RU000A0JXU71;24;1638957.3;100.03;100.71;100.15;100.15;26.61;100.12;8.87;100.71;1637;100.12;100.12;100.15;1638957.3;1638957.3;1638957.3;2021-06-18;873;8.88;;;;43.63;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;ВЭБ ПБО1Р9;RU000A0JXU71;37;21283147.3;100;100.5;100;100.01;26.85;100.02;8.93;100.5;21279;100.02;100.02;100.01;21283147.3;21283147.3;21283147.3;2021-06-18;872;8.92;;;;43.63;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;ВЭБ ПБО1Р9;RU000A0JXU71;10;1279006.2;99.65;100.48;100.04;100.04;27.57;100.08;8.91;99.65;1278;100.08;100.08;100.04;1279006.2;1279006.2;1279006.2;2021-06-18;869;8.9;;;;43.63;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;ВЭБ ПБО1Р9;RU000A0JXU71;3;120336;100.25;100.37;100.25;100.25;27.81;100.28;8.82;100.37;120;100.1;100.11;100.25;1399342.2;1188354.9;1399342.2;2021-06-18;868;8.81;;;;43.63;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;ВЭБ ПБО1Р9;RU000A0JXU71;6;6045368.2;100.07;100.34;100.27;100.27;28.05;100.06;8.81;100.34;6025;100.29;100.31;100.27;7444710.4;6707921;7444710.4;2021-06-18;867;8.91;;;;43.63;;2018-10-17;1000;SUR;;;;;RUB
