history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ОбувьрусБ1;RU000A0JXVY3;25;2766737.5;102.63;103.05;103.05;103.02;30.82;103.01;11.11;103.03;2686;103.01;103.01;103.02;2766737.5;2766737.5;2766737.5;2020-07-15;277;11.16;;;;74.79;2019-07-17;2018-10-01;1000;SUR;;10.9254;;2019-07-22;RUB
EQOB;2018-10-02;ОбувьрусБ1;RU000A0JXVY3;23;491177.8;102.72;103.05;103.05;103.05;31.23;102.97;11.09;103.05;477;;103.03;103.05;0;1704076.3;0;2020-07-15;276;11.2;;;;74.79;2019-07-17;2018-10-02;1000;SUR;;10.9107;;2019-07-22;RUB
EQOB;2018-10-03;ОбувьрусБ1;RU000A0JXVY3;29;4817713;102.84;103.45;103.45;103.44;31.64;103.1;10.52;103.05;4673;103.1;103.1;103.44;4817713;4817713;4817713;2020-07-15;275;11.01;;;;74.79;2019-07-17;2018-10-03;1000;SUR;;10.3516;;2019-07-22;RUB
EQOB;2018-10-04;ОбувьрусБ1;RU000A0JXVY3;30;1061876.2;102.77;103.44;103.31;103.3;32.05;103.09;10.7;103.3;1030;103.09;103.09;103.3;1061876.2;1061876.2;1061876.2;2020-07-15;274;11.01;;;;74.79;2019-07-17;2018-10-04;1000;SUR;;10.5255;;2019-07-22;RUB
EQOB;2018-10-05;ОбувьрусБ1;RU000A0JXVY3;23;324341.1;103.05;103.46;103.46;103.46;32.47;103.29;10.48;103.05;314;;103.22;103.46;0;555317.5;0;2020-07-15;273;10.71;;;;74.79;2019-07-17;2018-10-05;1000;SUR;;10.3033;;2019-07-22;RUB
EQOB;2018-10-08;ОбувьрусБ1;RU000A0JXVY3;32;986849.4;102.86;103.6;103.58;103.58;33.7;103.55;10.26;103.59;953;103.55;103.55;103.58;986849.4;986849.4;986849.4;2020-07-15;270;10.3;;;;74.79;2019-07-17;2018-10-08;1000;SUR;;10.0877;;2019-07-22;RUB
EQOB;2018-10-09;ОбувьрусБ1;RU000A0JXVY3;32;2378503.7;103.48;103.6;103.6;103.6;34.11;103.59;10.21;103.6;2296;103.59;103.59;103.6;2378503.7;2378503.7;2378503.7;2020-07-15;269;10.23;;;;74.79;2019-07-17;2018-10-09;1000;SUR;;10.0425;;2019-07-22;RUB
EQOB;2018-10-10;ОбувьрусБ1;RU000A0JXVY3;29;350821.1;103.1;103.59;103.58;103.58;34.52;103.48;10.22;103.58;339;;103.58;103.58;0;1927611.1;0;2020-07-15;268;10.36;;;;74.79;2019-07-17;2018-10-10;1000;SUR;;10.0522;;2019-07-22;RUB
EQOB;2018-10-11;ОбувьрусБ1;RU000A0JXVY3;38;1153578;103.12;103.58;103.57;103.55;34.93;103.37;10.22;103.12;1116;103.37;103.37;103.55;1153578;1153578;1153578;2020-07-15;267;10.5;;;;74.79;2019-07-17;2018-10-11;1000;SUR;;10.0482;;2019-07-22;RUB
EQOB;2018-10-12;ОбувьрусБ1;RU000A0JXVY3;29;2660090.6;103.5;103.6;103.58;103.58;35.34;103.59;10.19;103.56;2568;103.59;103.59;103.58;2660090.6;2660090.6;2660090.6;2020-07-15;266;10.17;;;;74.79;2019-07-17;2018-10-12;1000;SUR;;10.0164;;2019-07-22;RUB
EQOB;2018-10-15;ОбувьрусБ1;RU000A0JXVY3;27;3457477.5;103.4;103.89;103.89;103.89;36.58;103.76;9.69;103.6;3337;103.61;103.61;103.89;3457477.5;3457477.5;3457477.5;2020-07-15;263;9.88;;;;74.79;2019-07-17;2018-10-15;1000;SUR;;9.5273;;2019-07-22;RUB
EQOB;2018-10-16;ОбувьрусБ1;RU000A0JXVY3;24;903174.5;103.59;103.98;103.71;103.69;36.99;103.69;9.93;103.6;871;103.69;103.69;103.69;903174.5;903174.5;903174.5;2020-07-15;262;9.96;;;;74.79;2019-07-17;2018-10-16;1000;SUR;;9.7594;;2019-07-22;RUB
EQOB;2018-10-17;ОбувьрусБ1;RU000A0JXVY3;31;896787;103.1;103.6;103.55;103.51;37.4;103.44;10.14;103.6;867;103.44;103.44;103.51;896787;896787;896787;2020-07-15;261;10.3;;;;74.79;2019-07-17;2018-10-17;1000;SUR;;9.9658;;2019-07-22;RUB
EQOB;2018-10-18;ОбувьрусБ1;RU000A0JXVY3;23;4778419.8;103.4;103.55;103.4;103.4;37.81;103.41;10.34;103.41;4621;103.41;103.41;103.4;4778419.8;4778419.8;4778419.8;2020-07-15;260;10.32;;;;74.79;2019-07-17;2018-10-18;1000;SUR;;10.1601;;2019-07-22;RUB
EQOB;2018-10-19;ОбувьрусБ1;RU000A0JXVY3;47;5442702.1;103.4;104;103.55;103.55;38.22;103.83;10.1;103.41;5242;103.83;103.83;103.55;5442702.1;5442702.1;5442702.1;2020-07-15;259;9.7;;;;74.79;2019-07-17;2018-10-19;1000;SUR;;9.9286;;2019-07-22;RUB
EQOB;2018-10-22;ОбувьрусБ1;RU000A0JXVY3;47;5688169.1;103.16;103.7;103.4;103.4;39.45;103.4;10.27;103.7;5501;103.4;103.4;103.4;5688169.1;5688169.1;5688169.1;2020-07-15;256;10.27;;;;74.79;2019-07-17;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;ОбувьрусБ1;RU000A0JXVY3;15;315604.4;103.4;103.67;103.59;103.59;39.86;103.48;9.97;103.64;305;;103.42;103.59;0;776695;0;2020-07-15;255;10.13;;;;74.79;2019-07-17;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;ОбувьрусБ1;RU000A0JXVY3;20;512684.5;103.4;103.84;103.8;103.8;40.27;103.78;9.64;103.41;494;103.78;103.78;103.8;512684.5;512684.5;512684.5;2020-07-15;254;9.67;;;;74.79;2019-07-17;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;ОбувьрусБ1;RU000A0JXVY3;32;1572981.4;103.43;103.79;103.79;103.79;40.68;103.76;9.64;103.74;1516;103.76;103.76;103.79;1572981.4;1572981.4;1572981.4;2020-07-15;253;9.68;;;;74.79;2019-07-17;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;ОбувьрусБ1;RU000A0JXVY3;57;783211.5;103.43;103.8;103.77;103.77;41.1;103.51;9.65;103.8;755;103.74;103.74;103.77;783211.5;783211.5;783211.5;2020-07-15;252;10.03;;;;74.79;2019-07-17;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;ОбувьрусБ1;RU000A0JXVY3;32;3181138.8;103.5;103.9;103.5;103.5;42.33;103.03;9.99;103.76;3068;103.69;103.69;103.5;3181138.8;3181138.8;3181138.8;2020-07-15;249;10.7;;;;74.79;2019-07-17;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;ОбувьрусБ1;RU000A0JXVY3;19;5459889.9;103.42;103.9;103.85;103.85;42.74;103.64;9.44;103.43;5268;103.64;103.64;103.85;5459889.9;5459889.9;5459889.9;2020-07-15;248;9.76;;;;74.79;2019-07-17;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;ОбувьрусБ1;RU000A0JXVY3;42;2893255.4;103.3;103.6;103.6;103.6;43.15;103.48;9.8;103.42;2796;103.48;103.48;103.6;2893255.4;2893255.4;2893255.4;2020-07-15;247;9.98;;;;74.79;2019-07-17;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;ОбувьрусБ1;RU000A0JXVY3;8;207163.7;103.43;103.6;103.6;103.6;43.56;103.58;9.78;103.6;200;103.49;103.6;103.6;3100419.1;883671.7;3100419.1;2020-07-15;246;9.81;;;;74.79;2019-07-17;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;ОбувьрусБ1;RU000A0JXVY3;42;1723594.4;103;103.6;103.55;103.55;43.97;103.21;9.83;103.6;1670;103.21;103.21;103.55;1723594.4;1723594.4;1723594.4;2020-07-15;245;10.35;;;;74.79;2019-07-17;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;ОбувьрусБ1;RU000A0JXVY3;50;3454464.8;103.05;103.6;103.5;103.5;45.62;103.55;9.83;103.23;3336;103.55;103.55;103.5;3454464.8;3454464.8;3454464.8;2020-07-15;241;9.75;;;;74.79;2019-07-17;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;ОбувьрусБ1;RU000A0JXVY3;67;4894778.5;102.99;103.56;103.5;103.5;46.03;103.01;9.81;103.56;4745;103.16;103.16;103.5;4894778.5;4894778.5;4894778.5;2020-07-15;240;10.57;;;;74.79;2019-07-17;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-08;ОбувьрусБ1;RU000A0JXVY3;32;588498.7;103.01;103.6;103.5;103.5;46.44;103.43;9.79;103.08;569;103.43;103.43;103.5;588498.7;588498.7;588498.7;2020-07-15;239;9.89;;;;74.79;2019-07-17;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-09;ОбувьрусБ1;RU000A0JXVY3;62;3555631;103;103.6;103.59;103.59;46.85;103.36;9.62;103.6;3440;103.36;103.36;103.59;3555631;3555631;3555631;2020-07-15;238;9.98;;;;74.79;2019-07-17;2018-11-09;1000;SUR;;;;;RUB
EQOB;2018-11-12;ОбувьрусБ1;RU000A0JXVY3;51;5082374.5;103;103.6;103.14;103.14;48.08;103.11;10.27;103.6;4929;103.11;103.11;103.14;5082374.5;5082374.5;5082374.5;2020-07-15;235;10.32;;;;74.79;2019-07-17;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;ОбувьрусБ1;RU000A0JXVY3;56;5034031.6;102.75;103.38;102.95;102.95;48.49;102.78;10.56;103.06;4898;102.78;102.78;102.95;5034031.6;5034031.6;5034031.6;2020-07-15;234;10.83;;;;74.79;2019-07-17;2018-11-13;1000;SUR;;;;;RUB
EQOB;2018-11-14;ОбувьрусБ1;RU000A0JXVY3;50;1218426.3;102.54;102.97;102.74;102.75;48.9;102.73;10.88;102.97;1186;102.73;102.73;102.75;1218426.3;1218426.3;1218426.3;2020-07-15;233;10.89;;;;74.79;2019-07-17;2018-11-14;1000;SUR;;;;;RUB
