history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ФПКГарИнP2;RU000A0JXW46;3;2991.5;99.5;100.15;99.5;99.5;24.33;99.72;13.02;100.15;3;98.41;98.41;99.5;508789.4;506819.4;508789.4;2019-07-18;280;12.7;;;;59.84;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ФПКГарИнP2;RU000A0JXW46;0;0;;;;99.5;24.66;;13.02;;0;98.41;98.41;99.5;506819.4;506819.4;506819.4;2019-07-18;279;;;;;59.84;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-03;ФПКГарИнP2;RU000A0JXW46;0;0;;;;99.5;24.99;;13.02;;0;;98.41;99.5;0;506819.4;0;2019-07-18;278;;;;;59.84;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-04;ФПКГарИнP2;RU000A0JXW46;2;2975.2;99;99.52;99;99;25.32;99.17;13.76;99.52;3;;98.42;99;0;509794.6;0;2019-07-18;277;13.51;;;;59.84;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;ФПКГарИнP2;RU000A0JXW46;7;136850;99;100.15;99;99;25.64;99.17;13.77;100.15;138;;98.59;99;0;519579.6;0;2019-07-18;276;13.52;;;;59.84;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ФПКГарИнP2;RU000A0JXW46;1;10015;100.15;100.15;100.15;100.15;26.63;100.15;12.08;100.15;10;;98.61;100.15;0;509796.6;0;2019-07-18;273;12.08;;;;59.84;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ФПКГарИнP2;RU000A0JXW46;0;0;;;;100.15;26.96;;12.08;;0;;98.61;100.15;0;509796.6;0;2019-07-18;272;;;;;59.84;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-10;ФПКГарИнP2;RU000A0JXW46;0;0;;;;100.15;27.29;;12.08;;0;;98.61;100.15;0;509796.6;0;2019-07-18;271;;;;;59.84;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-11;ФПКГарИнP2;RU000A0JXW46;0;0;;;;100.15;27.62;;12.08;;0;;98.61;100.15;0;509796.6;0;2019-07-18;270;;;;;59.84;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-12;ФПКГарИнP2;RU000A0JXW46;0;0;;;;100.15;27.95;;12.08;;0;;98.61;100.15;0;509796.6;0;2019-07-18;269;;;;;59.84;;2018-10-08;1000;SUR;;;;;RUB
