history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
TQOD;2018-10-01;ГТЛК 1P-05;RU000A0JY023;4;10630.56;96.55;96.75;96.55;96.55;4.43;96.6414;6.23;96.5555;11;96.8958;96.7229;96.55;9183419.96;2799227.74;9183419.96;2024-08-21;1085;6.19;;;;12.22;;2018-10-01;1000;USD;;;;;USD
TQOD;2018-10-02;ГТЛК 1P-05;RU000A0JY023;0;0;;;;96.55;4.56;;6.23;;0;96.8958;96.7229;96.55;9183419.96;2799227.74;9183419.96;2024-08-21;1084;;;;;12.22;;2018-10-01;1000;USD;;;;;USD
TQOD;2018-10-03;ГТЛК 1P-05;RU000A0JY023;5;16520;97;97.2;97.2;97.2;4.7;97.1765;5.99;97;17;96.8243;96.9588;97.2;13179008.65;1838429.76;13179008.65;2024-08-21;1085;6;;;;12.22;;2018-10-03;1000;USD;;;;;USD
TQOD;2018-10-04;ГТЛК 1P-05;RU000A0JY023;9;91494;96.25;96.5001;96.5;96.5;4.83;96.3095;6.25;96.5001;95;96.4411;96.3624;96.5;7063409.15;6366315.34;7063409.15;2024-08-21;1081;6.32;;;;12.22;;2018-10-04;1000;USD;;;;;USD
TQOD;2018-10-05;ГТЛК 1P-05;RU000A0JY023;0;0;;;;96.5;4.97;;6.25;;0;96.4411;96.3624;96.5;7063409.15;6366315.34;7063409.15;2024-08-21;1080;;;;;12.22;;2018-10-04;1000;USD;;;;;USD
TQOD;2018-10-08;ГТЛК 1P-05;RU000A0JY023;1;969.1;96.9098;96.9098;96.9098;96.9098;5.37;96.9098;6.1;96.9098;1;96.3157;96.3157;96.9098;6050508.28;6050508.28;6050508.28;2024-08-21;1079;6.1;;;;12.22;;2018-10-08;1000;USD;;;;;USD
TQOD;2018-10-09;ГТЛК 1P-05;RU000A0JY023;8;62478.7;96.1;96.21;96.1;96.1186;5.5;96.1211;6.4;96.2;65;96.3269;96.1385;96.1186;11312082.21;4311807.61;11312082.21;2024-08-21;1075;6.39;;;;12.22;;2018-10-09;1000;USD;;;;;USD
TQOD;2018-10-10;ГТЛК 1P-05;RU000A0JY023;9;45167.15;95.7;96.495;96.4949;96.4949;5.64;96.1003;6.26;96.02;47;96.1124;96.1002;96.4949;7183348.12;6217079.72;7183348.12;2024-08-21;1074;6.4;;;;12.22;;2018-10-10;1000;USD;;;;;USD
TQOD;2018-10-11;ГТЛК 1P-05;RU000A0JY023;6;20203.99;96;96.3999;96.3996;96.3996;5.77;96.2095;6.29;96.3999;21;96.134;96.2445;96.3996;4336407.99;1976747.04;4336407.99;2024-08-21;1073;6.36;;;;12.22;;2018-10-11;1000;USD;;;;;USD
TQOD;2018-10-12;ГТЛК 1P-05;RU000A0JY023;7;18409.45;96.495;98;96.5;96.4965;5.91;96.8918;6.26;97.9999;19;96.5336;96.5981;96.4965;2566413.4;1864872.15;2566413.4;2024-08-21;1075;6.11;;;;12.22;;2018-10-12;1000;USD;;;;;USD
