,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,КарМаниБ1,RU000A0ZYAQ7,16,201036.5,101.46,101.89,101.84,101.84,1.4,101.53,16.1,101.48,198,,101.66,101.84,0.0,531691.3,0.0,2022-10-25,341,16.48,,,,14.44,2019-10-05,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,КарМаниБ1,RU000A0ZYAQ7,30,743511.1,100.9,101.89,101.83,101.83,1.86,101.3,16.11,101.89,734,101.3,101.3,101.83,743511.1,743511.1,743511.1,2022-10-25,340,16.76,,,,14.44,2019-10-05,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,КарМаниБ1,RU000A0ZYAQ7,17,162231.3,101.0,101.81,101.4,101.4,2.33,101.39,16.63,101.51,160,,101.07,101.4,0.0,551850.7,0.0,2022-10-25,339,16.65,,,,14.44,2019-10-05,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,КарМаниБ1,RU000A0ZYAQ7,13,230732.7,101.4,101.94,101.93,101.93,2.79,101.64,15.98,101.4,227,,101.24,101.93,0.0,782583.4,0.0,2022-10-25,338,16.33,,,,14.44,2019-10-05,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,КарМаниБ1,RU000A0ZYAQ7,13,262255.3,100.75,101.7,101.5,101.5,3.26,101.65,16.5,100.76,258,,101.64,101.5,0.0,513268.0,0.0,2022-10-25,337,16.32,,,,14.44,2019-10-05,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,КарМаниБ1,RU000A0ZYAQ7,7,231953.0,100.81,101.79,101.01,101.01,4.66,101.73,17.1,101.7,228,,101.69,101.01,0.0,513510.5,0.0,2022-10-25,335,16.2,,,,14.44,2019-10-05,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,КарМаниБ1,RU000A0ZYAQ7,8,155682.6,100.8,101.68,101.68,101.68,5.12,101.09,16.26,100.81,154,,101.53,101.68,0.0,537070.4,0.0,2022-10-25,333,17.0,,,,14.44,2019-10-05,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,КарМаниБ1,RU000A0ZYAQ7,2,9160.0,101.6,101.8,101.6,101.6,5.59,101.78,16.35,101.8,9,,101.53,101.6,0.0,546230.4,0.0,2022-10-25,333,16.13,,,,14.44,2019-10-05,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,КарМаниБ1,RU000A0ZYAQ7,16,626590.4,100.8,101.1,101.1,101.09,6.05,100.9,16.98,100.91,621,100.9,100.9,101.09,626590.4,626590.4,626590.4,2022-10-25,331,17.23,,,,14.44,2019-10-05,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,КарМаниБ1,RU000A0ZYAQ7,7,97581.2,101.64,101.65,101.65,101.65,6.52,101.65,16.28,101.65,96,101.0,101.03,101.65,724171.6,595063.8,724171.6,2022-10-25,331,16.28,,,,14.44,2019-10-05,2018-10-12,1000,SUR,,,,,RUB
