,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ДельКрБ1P1,RU000A0ZYBG6,1,4007.6,100.19,100.19,100.19,100.19,0.46,100.19,8.41,100.19,4,99.75,99.75,100.19,10102745.1,10102745.1,10102745.1,2020-09-30,687,8.41,,,,41.86,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,ДельКрБ1P1,RU000A0ZYBG6,1,6011.4,100.19,100.19,100.19,100.19,0.69,100.19,8.41,100.19,6,99.75,99.75,100.19,10104767.3,10104767.3,10104767.3,2020-09-30,686,8.41,,,,41.86,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,ДельКрБ1P1,RU000A0ZYBG6,3,27051.3,100.19,100.19,100.19,100.19,0.92,100.19,8.41,100.19,27,99.75,99.75,100.19,10151782.8,10102896.9,10151782.8,2020-09-30,685,8.41,,,,41.86,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,ДельКрБ1P1,RU000A0ZYBG6,1,93176.7,100.19,100.19,100.19,100.19,1.14,100.19,8.41,100.19,93,99.76,99.76,100.19,10244959.5,10185103.3,10244959.5,2020-09-30,684,8.41,,,,41.86,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,ДельКрБ1P1,RU000A0ZYBG6,1,27054.0,100.2,100.2,100.2,100.2,1.37,100.2,8.41,100.2,27,99.76,99.76,100.2,10266016.5,10211160.0,10266016.5,2020-09-30,683,8.41,,,,41.86,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,ДельКрБ1P1,RU000A0ZYBG6,6,1186210.0,99.5,100.0,100.0,100.0,2.06,99.51,8.52,100.0,1192,99.59,99.58,100.0,1339503.4,1318463.5,1339503.4,2020-09-30,680,8.81,,,,41.86,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ДельКрБ1P1,RU000A0ZYBG6,0,0.0,,,,100.0,2.29,,8.52,,0,99.59,99.58,100.0,1333492.0,1318463.5,1333492.0,2020-09-30,679,,,,,41.86,,2018-10-08,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ДельКрБ1P1,RU000A0ZYBG6,1,4998.0,99.96,99.96,99.96,99.96,2.52,99.96,8.54,99.96,5,99.73,99.58,99.96,11402368.0,1321457.7,11402368.0,2020-09-30,678,8.54,,,,41.86,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ДельКрБ1P1,RU000A0ZYBG6,1,36985.2,99.96,99.96,99.96,99.96,2.75,99.96,8.54,99.96,37,99.61,99.59,99.96,1399522.2,1348423.9,1399522.2,2020-09-30,677,8.54,,,,41.86,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ДельКрБ1P1,RU000A0ZYBG6,2,687288.5,99.75,99.8,99.75,99.75,2.97,99.75,8.67,99.8,689,99.61,99.61,99.75,1915481.7,1915481.7,1915481.7,2020-09-30,676,8.67,,,,41.86,,2018-10-12,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,ДельКрБ1P1,RU000A0ZYBG6,1,34006.8,100.02,100.02,100.02,100.02,3.66,100.02,8.51,100.02,34,99.66,99.61,100.02,2102781.9,1925488.5,2102781.9,2020-09-30,673,8.51,,,,41.86,,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,ДельКрБ1P1,RU000A0ZYBG6,1,30003.0,100.01,100.01,100.01,100.01,3.89,99.98,8.51,100.01,30,99.66,99.62,100.01,2126773.5,1935551.5,2126773.5,2020-09-30,672,8.53,,,,41.86,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,ДельКрБ1P1,RU000A0ZYBG6,1,59988.0,99.98,99.98,99.98,99.98,4.12,99.98,8.53,99.98,60,99.66,99.63,99.98,2159710.2,1896039.5,2159710.2,2020-09-30,671,8.53,,,,41.86,,2018-10-17,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,ДельКрБ1P1,RU000A0ZYBG6,1,35928.0,99.8,99.8,99.8,99.8,4.35,99.8,8.64,99.8,36,99.64,99.67,99.8,2102461.5,1583717.5,2102461.5,2020-09-30,670,8.64,,,,41.86,,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,ДельКрБ1P1,RU000A0ZYBG6,2,514968.0,99.8,99.8,99.8,99.8,4.58,99.8,8.64,99.8,516,99.67,99.8,99.8,2590375.5,1404165.5,2590375.5,2020-09-30,669,8.64,,,,41.86,,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,ДельКрБ1P1,RU000A0ZYBG6,1,10978.0,99.8,99.8,99.8,99.8,5.26,99.8,8.64,99.8,11,99.8,99.8,99.8,1415143.5,1410145.5,1415143.5,2020-09-30,666,8.64,,,,41.86,,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,ДельКрБ1P1,RU000A0ZYBG6,1,32934.0,99.8,99.8,99.8,99.8,5.49,99.8,8.64,99.8,33,99.8,99.79,99.8,1448077.5,1406094.3,1448077.5,2020-09-30,665,8.64,,,,41.86,,2018-10-23,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,ДельКрБ1P1,RU000A0ZYBG6,1,25948.0,99.8,99.8,99.8,99.8,5.72,99.8,8.64,99.8,26,99.8,99.79,99.8,1469027.5,1410086.3,1469027.5,2020-09-30,664,8.64,,,,41.86,,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,ДельКрБ1P1,RU000A0ZYBG6,1,24950.0,99.8,99.8,99.8,99.8,5.95,99.8,8.64,99.8,25,99.79,99.83,99.8,1456992.3,769703.8,1456992.3,2020-09-30,663,8.64,,,,41.86,,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,ДельКрБ1P1,RU000A0ZYBG6,1,25948.0,99.8,99.8,99.8,99.8,6.18,99.8,8.64,99.8,26,99.83,99.82,99.8,795651.8,761645.0,795651.8,2020-09-30,662,8.64,,,,41.86,,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,ДельКрБ1P1,RU000A0ZYBG6,26,680656.0,99.5,99.8,99.8,99.8,6.86,99.51,8.64,99.5,684,99.51,99.51,99.8,680656.0,680656.0,680656.0,2020-09-30,659,8.81,,,,41.86,,2018-10-29,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,ДельКрБ1P1,RU000A0ZYBG6,4,18997.1,99.98,99.99,99.99,99.98,7.09,99.98,8.52,99.99,19,99.52,99.53,99.98,699653.1,507618.1,699653.1,2020-09-30,658,8.53,,,,41.86,,2018-10-30,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,ДельКрБ1P1,RU000A0ZYBG6,3,5974.5,99.5,99.95,99.95,99.95,7.32,99.58,8.55,99.5,6,99.52,99.53,99.95,705627.6,502647.6,705627.6,2020-09-30,657,8.77,,,,41.86,,2018-10-31,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,ДельКрБ1P1,RU000A0ZYBG6,3,319077.5,99.7,99.85,99.85,99.71,7.55,99.71,8.61,99.7,320,,99.64,99.71,0.0,614765.1,0.0,2020-09-30,656,8.69,,,,41.86,,2018-11-01,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,ДельКрБ1P1,RU000A0ZYBG6,3,153769.0,99.85,99.85,99.85,99.85,7.78,99.85,8.61,99.85,154,99.62,99.76,99.85,1178474.1,514784.1,1178474.1,2020-09-30,655,8.61,,,,41.86,,2018-11-02,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,ДельКрБ1P1,RU000A0ZYBG6,7,3711839.3,99.75,99.99,99.99,99.99,8.69,99.75,8.52,99.75,3721,99.76,99.76,99.99,3865608.3,3865608.3,3865608.3,2020-09-30,651,8.67,,,,41.86,,2018-11-06,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,ДельКрБ1P1,RU000A0ZYBG6,2,531519.9,99.7,99.99,99.99,99.99,8.92,99.72,8.52,99.7,533,99.75,99.75,99.99,4397128.2,4393134.2,4397128.2,2020-09-30,650,8.68,,,,41.86,,2018-11-07,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,ДельКрБ1P1,RU000A0ZYBG6,4,193994.7,99.98,100.1,100.1,100.0,9.15,100.0,8.45,99.98,194,99.76,99.77,100.0,4437353.9,2153078.9,4437353.9,2020-09-30,649,8.51,,,,41.86,,2018-11-08,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,ДельКрБ1P1,RU000A0ZYBG6,1,51994.8,99.99,99.99,99.99,99.99,9.38,99.99,8.52,99.99,52,99.77,99.82,99.99,4643117.7,837501.2,4643117.7,2020-09-30,648,8.52,,,,41.86,,2018-11-09,1000,SUR,,,,,RUB
29,EQOB,2018-11-12,ДельКрБ1P1,RU000A0ZYBG6,0,0.0,,,,99.99,10.07,,8.52,,0,99.76,99.82,99.99,4489348.7,837501.2,4489348.7,2020-09-30,645,,,,,41.86,,2018-11-09,1000,SUR,,,,,RUB
30,EQOB,2018-11-13,ДельКрБ1P1,RU000A0ZYBG6,6,1309471.5,98.8,99.9,99.9,99.9,10.29,99.35,8.57,99.35,1318,99.52,99.45,99.9,2086980.9,1543463.4,2086980.9,2020-09-30,644,8.91,,,,41.86,,2018-11-13,1000,SUR,,,,,RUB
31,EQOB,2018-11-14,ДельКрБ1P1,RU000A0ZYBG6,2,62952.5,99.9,99.95,99.95,99.95,10.52,99.92,8.54,99.9,63,99.47,99.41,99.95,1618413.5,1437431.8,1618413.5,2020-09-30,643,8.56,,,,41.86,,2018-11-14,1000,SUR,,,,,RUB
32,EQOB,2018-11-15,ДельКрБ1P1,RU000A0ZYBG6,2,51000.5,99.8,100.05,100.05,100.05,10.75,100.0,8.48,99.8,51,99.4,99.4,100.05,1423424.5,1423424.5,1423424.5,2020-09-30,642,8.51,,,,41.86,,2018-11-15,1000,SUR,,,,,RUB
33,EQOB,2018-11-16,ДельКрБ1P1,RU000A0ZYBG6,1,7999.2,99.99,99.99,99.99,99.99,10.98,99.99,8.52,99.99,8,99.4,99.41,99.99,1431423.7,1371813.7,1431423.7,2020-09-30,641,8.52,,,,41.86,,2018-11-16,1000,SUR,,,,,RUB
34,EQOB,2018-11-19,ДельКрБ1P1,RU000A0ZYBG6,2,995072.0,99.5,99.98,99.98,99.51,11.67,99.51,8.52,99.5,1000,99.45,99.5,99.51,2426495.7,1572085.7,2426495.7,2020-09-30,638,8.81,,,,41.86,,2018-11-19,1000,SUR,,,,,RUB
35,EQOB,2018-11-20,ДельКрБ1P1,RU000A0ZYBG6,1,70992.9,99.99,99.99,99.99,99.99,11.9,99.99,8.52,99.99,71,99.54,99.58,99.99,3274998.0,1196997.1,3274998.0,2020-09-30,637,8.52,,,,41.86,,2018-11-20,1000,SUR,,,,,RUB
36,EQOB,2018-11-21,ДельКрБ1P1,RU000A0ZYBG6,9,681048.5,99.25,99.65,99.65,99.65,12.12,99.28,8.73,99.4,686,99.34,99.34,99.65,752041.4,752041.4,752041.4,2020-09-30,636,8.96,,,,41.86,,2018-11-21,1000,SUR,,,,,RUB
37,EQOB,2018-11-22,ДельКрБ1P1,RU000A0ZYBG6,1,67979.6,99.97,99.97,99.97,99.97,12.35,99.97,8.53,99.97,68,99.34,99.34,99.97,749028.1,749028.1,749028.1,2020-09-30,635,8.53,,,,41.86,,2018-11-22,1000,SUR,,,,,RUB
38,EQOB,2018-11-23,ДельКрБ1P1,RU000A0ZYBG6,2,70950.3,99.93,99.93,99.93,99.93,12.58,99.93,8.56,99.93,71,99.39,99.39,99.93,819978.4,805068.4,819978.4,2020-09-30,634,8.56,,,,41.86,,2018-11-23,1000,SUR,,,,,RUB
39,EQOB,2018-11-26,ДельКрБ1P1,RU000A0ZYBG6,1,999.3,99.93,99.93,99.93,99.93,13.27,99.93,8.55,99.93,1,99.44,99.39,99.93,891970.6,805073.7,891970.6,2020-09-30,631,8.55,,,,41.86,,2018-11-26,1000,SUR,,,,,RUB
40,EQOB,2018-11-27,ДельКрБ1P1,RU000A0ZYBG6,2,53821.0,99.65,99.9,99.9,99.9,13.5,99.67,8.57,99.65,54,99.41,99.42,99.9,874798.7,808275.7,874798.7,2020-09-30,630,8.72,,,,41.86,,2018-11-27,1000,SUR,,,,,RUB
41,EQOB,2018-11-28,ДельКрБ1P1,RU000A0ZYBG6,2,9995.0,99.95,99.95,99.95,99.95,13.73,99.95,8.54,99.95,10,99.5,99.49,99.95,2009858.3,589003.2,2009858.3,2020-09-30,629,8.54,,,,41.86,,2018-11-28,1000,SUR,,,,,RUB
42,EQOB,2018-11-29,ДельКрБ1P1,RU000A0ZYBG6,2,14998.5,99.99,99.99,99.99,99.99,13.95,99.99,8.52,99.99,15,99.49,99.51,99.99,1973856.3,604001.7,1973856.3,2020-09-30,628,8.52,,,,41.86,,2018-11-29,1000,SUR,,,,,RUB
43,EQOB,2018-11-30,ДельКрБ1P1,RU000A0ZYBG6,1,99850.0,99.85,99.85,99.85,99.85,14.18,99.85,8.6,99.85,100,99.5,99.55,99.85,2065707.1,703851.7,2065707.1,2020-09-30,627,8.6,,,,41.86,,2018-11-30,1000,SUR,,,,,RUB
44,EQOB,2018-12-03,ДельКрБ1P1,RU000A0ZYBG6,1,24997.5,99.99,99.99,99.99,99.99,14.87,99.99,8.52,99.99,25,99.51,99.57,99.99,1095632.6,728849.2,1095632.6,2020-09-30,624,8.52,,,,41.86,,2018-12-03,1000,SUR,,,,,RUB
45,EQOB,2018-12-04,ДельКрБ1P1,RU000A0ZYBG6,2,16998.3,99.99,99.99,99.99,99.99,15.1,99.99,8.52,99.99,17,99.49,99.58,99.99,1041638.0,745847.5,1041638.0,2020-09-30,623,8.52,,,,41.86,,2018-12-04,1000,SUR,,,,,RUB
