,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,РСХБ БО 3P,RU000A0ZYBT9,7,1308905.0,99.5,101.0,101.0,100.39,41.65,100.3,8.18,99.5,1305,99.73,99.73,100.39,2833205.0,2833205.0,2833205.0,2021-09-28,950,8.46,,,,41.88,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,РСХБ БО 3P,RU000A0ZYBT9,2,397285.5,99.69,100.59,99.69,99.69,0.0,100.58,8.7,100.59,395,99.83,100.02,99.69,3230490.5,2300490.5,3230490.5,2021-09-28,988,8.34,,,,41.88,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,РСХБ БО 3P,RU000A0ZYBT9,8,2064778.9,99.9,100.89,100.5,100.5,0.23,100.28,8.38,100.89,2059,100.33,100.33,100.5,2462064.4,2462064.4,2462064.4,2021-09-28,987,8.46,,,,41.88,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,РСХБ БО 3P,RU000A0ZYBT9,0,0.0,,,,100.5,0.46,,8.38,,0,100.33,100.33,100.5,2462064.4,2462064.4,2462064.4,2021-09-28,986,,,,,41.88,,2018-10-03,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,РСХБ БО 3P,RU000A0ZYBT9,1,2009.2,100.46,100.46,100.46,100.46,0.69,100.46,8.39,100.46,2,100.32,100.28,100.46,3772978.6,2071772.6,3772978.6,2021-09-28,985,8.39,,,,41.88,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,РСХБ БО 3P,RU000A0ZYBT9,7,495653.6,99.92,99.99,99.92,99.92,1.38,99.93,8.61,99.99,496,100.26,100.25,99.92,2959727.2,997444.8,2959727.2,2021-09-28,982,8.6,,,,41.88,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,РСХБ БО 3P,RU000A0ZYBT9,0,0.0,,,,99.92,1.61,,8.61,,0,100.21,100.25,99.92,2562441.7,997444.8,2562441.7,2021-09-28,981,,,,,41.88,,2018-10-08,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,РСХБ БО 3P,RU000A0ZYBT9,1,2009800.0,100.49,100.49,100.49,100.49,1.84,100.49,8.38,100.49,2000,100.12,100.39,100.49,7802732.2,2708462.8,7802732.2,2021-09-28,980,8.38,,,,41.88,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,РСХБ БО 3P,RU000A0ZYBT9,3,82991.1,99.97,99.99,99.97,99.97,2.07,99.99,8.59,99.99,83,100.37,100.37,99.97,2590453.9,2538449.7,2590453.9,2021-09-28,979,8.58,,,,41.88,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,РСХБ БО 3P,RU000A0ZYBT9,8,729916.9,99.5,99.99,99.5,99.5,2.3,99.58,8.78,99.99,733,99.62,99.58,99.5,812908.0,732916.0,812908.0,2021-09-28,978,8.74,,,,41.88,,2018-10-12,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,РСХБ БО 3P,RU000A0ZYBT9,4,3090450.9,99.75,99.99,99.99,99.99,2.99,99.98,8.58,99.75,3091,99.91,99.9,99.99,3820367.8,3769372.9,3820367.8,2021-09-28,975,8.58,,,,41.88,,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,РСХБ БО 3P,RU000A0ZYBT9,0,0.0,,,,99.99,3.22,,8.58,,0,99.91,99.9,99.99,3820367.8,3769372.9,3820367.8,2021-09-28,974,,,,,41.88,,2018-10-15,1000,SUR,,,,,RUB
