,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,МегафнБ1P3,RU000A0ZYC98,1,2970.0,99.0,99.0,99.0,99.0,37.64,99.0,8.31,99.0,3,98.23,98.67,99.0,1313309.2,520979.6,1313309.2,2022-10-03,1235,8.31,,,,39.14,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,МегафнБ1P3,RU000A0ZYC98,1,19980.0,99.9,99.9,99.9,99.9,37.85,99.9,8.03,99.9,20,98.15,98.77,99.9,1968919.8,502763.0,1968919.8,2022-10-03,1236,8.03,,,,39.14,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,МегафнБ1P3,RU000A0ZYC98,1,999.0,99.9,99.9,99.9,99.9,38.07,99.9,8.03,99.9,1,98.25,98.78,99.9,1334288.2,503762.0,1334288.2,2022-10-03,1235,8.03,,,,39.14,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,МегафнБ1P3,RU000A0ZYC98,5,100940.0,98.0,98.0,98.0,98.0,38.28,98.0,8.63,98.0,103,97.97,98.75,98.0,15165256.9,530267.6,15165256.9,2022-10-03,1231,8.63,,,,39.14,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,МегафнБ1P3,RU000A0ZYC98,4,115760.0,99.0,99.8,99.8,99.76,38.5,99.79,8.07,99.8,116,,99.19,99.76,0.0,518766.4,0.0,2022-10-03,1232,8.07,,,,39.14,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,МегафнБ1P3,RU000A0ZYC98,8,75294.6,97.76,99.7,97.76,97.76,0.0,97.79,8.71,99.7,77,,98.44,97.76,0.0,513877.0,0.0,2022-10-03,1275,8.7,,,,39.14,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,МегафнБ1P3,RU000A0ZYC98,3,17832.2,98.99,99.69,99.69,99.69,0.22,99.07,8.1,98.99,18,,98.46,99.69,0.0,531709.2,0.0,2022-10-03,1276,8.29,,,,39.14,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,МегафнБ1P3,RU000A0ZYC98,2,153384.0,99.6,99.6,99.6,99.6,0.43,99.6,8.13,99.6,154,,98.97,99.6,0.0,520574.4,0.0,2022-10-03,1275,8.13,,,,39.14,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,МегафнБ1P3,RU000A0ZYC98,2,48265.0,98.5,98.5,98.5,98.5,0.65,98.5,8.47,98.5,49,,98.94,98.5,0.0,506575.8,0.0,2022-10-03,1273,8.47,,,,39.14,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,МегафнБ1P3,RU000A0ZYC98,4,6952.5,98.25,99.5,99.5,99.25,0.86,99.32,8.16,99.5,7,,98.95,99.25,0.0,513528.3,0.0,2022-10-03,1273,8.21,,,,39.14,,2018-10-12,1000,SUR,,,,,RUB
