history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Карелия 18;RU000A0ZYCZ4;8;77316.6;99.09;99.79;99.09;99.09;11.62;99.64;8.52;99.55;78;;98.72;99.09;0;817405;0;2023-10-15;1288;8.35;;;;19.95;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;Карелия 18;RU000A0ZYCZ4;7;47597.6;99.1;99.71;99.71;99.71;11.84;99.16;8.33;99.5;48;;98.86;99.71;0;502228.2;0;2023-10-15;1286;8.5;;;;19.95;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;Карелия 18;RU000A0ZYCZ4;10;19875.8;99.17;99.51;99.51;99.49;12.05;99.38;8.39;99.17;20;;98.88;99.49;0;522104;0;2023-10-15;1285;8.43;;;;19.95;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;Карелия 18;RU000A0ZYCZ4;3;6935.3;99.04;99.09;99.04;99.04;12.27;99.08;8.54;99.09;7;;98.89;99.04;0;529039.3;0;2023-10-15;1283;8.53;;;;19.95;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;Карелия 18;RU000A0ZYCZ4;8;24773.3;99;99.1;99.1;99.1;12.49;99.09;8.52;99;25;;98.9;99.1;0;553812.6;0;2023-10-15;1283;8.52;;;;19.95;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;Карелия 18;RU000A0ZYCZ4;7;66155.7;98.55;99.02;98.71;98.71;13.15;98.74;8.64;99.01;67;;98.88;98.71;0;619968.3;0;2023-10-15;1279;8.63;;;;19.95;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;Карелия 18;RU000A0ZYCZ4;6;119338.9;98.21;98.9;98.9;98.9;13.37;98.63;8.58;98.21;121;;98.94;98.9;0;531305.3;0;2023-10-15;1278;8.67;;;;19.95;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;Карелия 18;RU000A0ZYCZ4;3;14848.5;98.99;98.99;98.99;98.99;13.59;98.99;8.55;98.99;15;;98.94;98.99;0;546153.8;0;2023-10-15;1277;8.55;;;;19.95;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;Карелия 18;RU000A0ZYCZ4;6;399629;98.01;99.2;99.2;99.2;13.81;99.16;8.49;98.02;403;99.04;99.09;99.2;533816.4;503369.7;533816.4;2023-10-15;1277;8.5;;;;19.95;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;Карелия 18;RU000A0ZYCZ4;8;46786.1;99.54;99.56;99.55;99.56;14.03;99.54;8.38;99.54;47;;99.16;99.56;0;513633.1;0;2023-10-15;1276;8.38;;;;19.95;;2018-10-12;1000;SUR;;;;;RUB
