,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,НижгорОб12,RU000A0ZYDQ1,0,0.0,,,,99.84,15.53,,8.41,,0,93.19,99.66,99.84,1949556.1,650767.7,1949556.1,2022-10-23,798,,,,,20.19,,2018-09-28,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,НижгорОб12,RU000A0ZYDQ1,0,0.0,,,,99.84,15.76,,8.41,,0,93.19,99.66,99.84,1949556.1,650767.7,1949556.1,2022-10-23,797,,,,,20.19,,2018-09-28,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,НижгорОб12,RU000A0ZYDQ1,4,56837.0,98.6,99.88,99.88,99.82,15.98,99.71,8.41,98.6,57,,99.66,99.82,0.0,707604.7,0.0,2022-10-23,796,8.49,,,,20.19,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,НижгорОб12,RU000A0ZYDQ1,0,0.0,,,,99.82,16.2,,8.41,,0,,99.66,99.82,0.0,707604.7,0.0,2022-10-23,795,,,,,20.19,,2018-10-03,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,НижгорОб12,RU000A0ZYDQ1,2,104866.4,98.93,98.94,98.93,98.93,16.42,98.93,8.88,98.94,106,,99.4,98.93,0.0,509908.5,0.0,2022-10-23,792,8.88,,,,20.19,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,НижгорОб12,RU000A0ZYDQ1,2,58909.0,99.35,100.0,99.35,99.35,17.09,99.85,8.67,100.0,59,,99.51,99.35,0.0,518460.3,0.0,2022-10-23,791,8.42,,,,20.19,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,НижгорОб12,RU000A0ZYDQ1,0,0.0,,,,99.35,17.31,,8.67,,0,,99.51,99.35,0.0,518460.3,0.0,2022-10-23,790,,,,,20.19,,2018-10-08,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,НижгорОб12,RU000A0ZYDQ1,0,0.0,,,,99.35,17.53,,8.67,,0,,99.51,99.35,0.0,518460.3,0.0,2022-10-23,789,,,,,20.19,,2018-10-08,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,НижгорОб12,RU000A0ZYDQ1,0,0.0,,,,99.35,17.75,,8.67,,0,,99.51,99.35,0.0,518460.3,0.0,2022-10-23,788,,,,,20.19,,2018-10-08,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,НижгорОб12,RU000A0ZYDQ1,0,0.0,,,,99.35,17.98,,8.67,,0,,99.51,99.35,0.0,518460.3,0.0,2022-10-23,787,,,,,20.19,,2018-10-08,1000,SUR,,,,,RUB
