,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,СвердлОб4,RU000A0ZYDU3,1,1920.0,96.0,96.0,96.0,96.0,13.29,96.0,8.99,96.0,2,97.29,97.29,96.0,599330.0,503944.0,599330.0,2025-10-22,1496,8.99,,,,19.2,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,СвердлОб4,RU000A0ZYDU3,0,0.0,,,,96.0,13.5,,8.99,,0,97.29,97.29,96.0,599330.0,503944.0,599330.0,2025-10-22,1499,,,,,19.2,,2018-10-01,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,СвердлОб4,RU000A0ZYDU3,1,4924.5,98.49,98.49,98.49,98.49,13.71,98.49,8.32,98.49,5,96.99,97.3,98.49,905905.0,508868.5,905905.0,2025-10-22,1502,8.32,,,,19.2,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,СвердлОб4,RU000A0ZYDU3,0,0.0,,,,98.49,13.92,,8.32,,0,97.3,97.3,98.49,604254.5,508868.5,604254.5,2025-10-22,1497,,,,,19.2,,2018-10-03,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,СвердлОб4,RU000A0ZYDU3,0,0.0,,,,98.49,14.13,,8.32,,0,95.99,97.3,98.49,2290300.7,508868.5,2290300.7,2025-10-22,1496,,,,,19.2,,2018-10-03,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,СвердлОб4,RU000A0ZYDU3,2,1965.0,98.0,98.5,98.0,98.25,14.77,98.25,8.45,98.5,2,95.99,97.3,98.25,2292265.7,510833.5,2292265.7,2025-10-22,1496,8.38,,,,19.2,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,СвердлОб4,RU000A0ZYDU3,0,0.0,,,,98.25,14.98,,8.45,,0,96.81,97.3,98.25,1107550.0,510833.5,1107550.0,2025-10-22,1492,,,,,19.2,,2018-10-08,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,СвердлОб4,RU000A0ZYDU3,0,0.0,,,,98.25,15.19,,8.45,,0,96.99,97.3,98.25,907870.0,510833.5,907870.0,2025-10-22,1491,,,,,19.2,,2018-10-08,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,СвердлОб4,RU000A0ZYDU3,0,0.0,,,,98.25,15.4,,8.45,,0,97.31,97.3,98.25,606219.5,510833.5,606219.5,2025-10-22,1490,,,,,19.2,,2018-10-08,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,СвердлОб4,RU000A0ZYDU3,1,979.5,97.95,97.95,97.95,97.95,15.61,97.95,8.46,97.95,1,,97.3,97.95,0.0,511813.0,0.0,2025-10-22,1491,8.46,,,,19.2,,2018-10-12,1000,SUR,,,,,RUB
