,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,НАО 2017,RU000A0ZYF61,22,248823.2,97.4,97.61,97.6,97.6,11.33,97.58,9.05,97.42,255,,97.52,97.6,0.0,516843.8,0.0,2024-11-07,924,9.06,,,,19.45,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,НАО 2017,RU000A0ZYF61,14,2167765.9,97.62,97.86,97.65,97.65,11.54,97.65,9.03,97.63,2220,97.65,97.65,97.65,2167765.9,2167765.9,2167765.9,2024-11-07,923,9.03,,,,19.45,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,НАО 2017,RU000A0ZYF61,17,1255767.2,97.71,97.96,97.72,97.72,11.75,97.88,9.0,97.95,1283,97.88,97.88,97.72,1255767.2,1255767.2,1255767.2,2024-11-07,923,8.93,,,,19.45,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,НАО 2017,RU000A0ZYF61,9,148377.8,97.54,98.24,97.54,97.55,11.97,97.62,9.08,98.24,152,97.85,97.85,97.55,1404145.0,523503.4,1404145.0,2024-11-07,921,9.05,,,,19.45,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,НАО 2017,RU000A0ZYF61,9,46004.5,97.18,97.99,97.63,97.63,12.18,97.88,9.04,97.99,47,,97.85,97.63,0.0,511744.9,0.0,2024-11-07,921,8.94,,,,19.45,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,НАО 2017,RU000A0ZYF61,97,10297300.0,97.01,97.09,97.09,97.09,12.82,97.09,9.29,97.09,10606,97.09,97.09,97.09,10297300.0,10297300.0,10297300.0,2024-11-07,915,9.29,,,,19.45,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,НАО 2017,RU000A0ZYF61,52,2258210.9,97.01,97.12,97.09,97.09,13.04,97.09,9.29,97.12,2326,97.09,97.09,97.09,2258210.9,2258210.9,2258210.9,2024-11-07,914,9.29,,,,19.45,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,НАО 2017,RU000A0ZYF61,36,1197855.0,97.08,97.7,97.09,97.09,13.25,97.23,9.29,97.37,1232,97.23,97.23,97.09,1197855.0,1197855.0,1197855.0,2024-11-07,913,9.23,,,,19.45,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,НАО 2017,RU000A0ZYF61,11,398148.5,97.08,97.4,97.09,97.09,13.46,97.11,9.29,97.4,410,,97.1,97.09,0.0,519504.7,0.0,2024-11-07,912,9.28,,,,19.45,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,НАО 2017,RU000A0ZYF61,17,275676.9,97.13,97.43,97.42,97.42,13.68,97.41,9.14,97.14,283,,97.23,97.42,0.0,618404.6,0.0,2024-11-07,912,9.15,,,,19.45,,2018-10-12,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,НАО 2017,RU000A0ZYF61,55,2577019.1,95.22,97.16,97.09,97.09,14.32,97.03,9.29,97.16,2656,97.03,97.03,97.09,2577019.1,2577019.1,2577019.1,2024-11-07,907,9.32,,,,19.45,,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,НАО 2017,RU000A0ZYF61,32,1316309.7,97.02,97.09,97.09,97.09,14.53,97.07,9.29,97.09,1356,97.07,97.07,97.09,1316309.7,1316309.7,1316309.7,2024-11-07,907,9.3,,,,19.45,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,НАО 2017,RU000A0ZYF61,35,3382615.3,97.08,97.09,97.09,97.09,14.75,97.09,9.3,97.08,3484,97.09,97.09,97.09,3382615.3,3382615.3,3382615.3,2024-11-07,906,9.3,,,,19.45,,2018-10-17,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,НАО 2017,RU000A0ZYF61,28,2883416.0,97.02,97.09,97.06,97.06,14.96,97.08,9.31,97.09,2970,97.08,97.08,97.06,2883416.0,2883416.0,2883416.0,2024-11-07,905,9.3,,,,19.45,,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,НАО 2017,RU000A0ZYF61,11,590948.9,97.15,97.37,97.29,97.29,15.17,97.2,9.21,97.37,608,97.2,97.2,97.29,590948.9,590948.9,590948.9,2024-11-07,904,9.25,,,,19.45,,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,НАО 2017,RU000A0ZYF61,19,1729134.9,97.0,97.09,97.06,97.06,15.81,97.09,9.32,97.09,1781,97.09,97.09,97.06,1729134.9,1729134.9,1729134.9,2024-11-07,901,9.3,,,,19.45,,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,НАО 2017,RU000A0ZYF61,26,1153318.8,97.05,97.09,97.09,97.09,16.03,97.08,9.3,97.09,1188,97.08,97.08,97.09,1153318.8,1153318.8,1153318.8,2024-11-07,900,9.31,,,,19.45,,2018-10-23,1000,SUR,,,,,RUB
