,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ОрлОбл2017,RU000A0ZYGM3,14,3019357.7,99.02,99.77,99.02,99.09,0.91,99.26,8.93,99.66,3042,99.26,99.26,99.09,3019357.7,3019357.7,3019357.7,2022-11-26,1057,8.84,,,,20.69,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,ОрлОбл2017,RU000A0ZYGM3,16,2173880.7,99.15,100.19,99.15,99.15,1.14,99.49,8.88,100.18,2185,99.49,99.49,99.15,2173880.7,2173880.7,2173880.7,2022-11-26,1056,8.75,,,,20.69,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,ОрлОбл2017,RU000A0ZYGM3,19,23127991.8,99.22,100.14,100.1,100.1,1.36,99.97,8.52,99.22,23134,99.97,99.97,100.1,23127991.8,23127991.8,23127991.8,2022-11-26,1056,8.57,,,,20.69,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,ОрлОбл2017,RU000A0ZYGM3,1,9935.0,99.35,99.35,99.35,99.35,1.59,99.35,8.81,99.35,10,99.97,100.05,99.35,23137926.8,19109459.1,23137926.8,2022-11-26,1054,8.81,,,,20.69,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,ОрлОбл2017,RU000A0ZYGM3,1,499750.0,99.95,99.95,99.95,99.95,1.82,99.95,8.58,99.95,500,99.97,100.05,99.95,23637676.8,19359334.1,23637676.8,2022-11-26,1054,8.58,,,,20.69,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,ОрлОбл2017,RU000A0ZYGM3,0,0.0,,,,99.95,2.5,,8.58,,0,99.93,100.05,99.95,25811557.5,19359334.1,25811557.5,2022-11-26,1051,,,,,20.69,,2018-10-05,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ОрлОбл2017,RU000A0ZYGM3,0,0.0,,,,99.95,2.73,,8.58,,0,99.97,100.05,99.95,23637676.8,19359334.1,23637676.8,2022-11-26,1050,,,,,20.69,,2018-10-05,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ОрлОбл2017,RU000A0ZYGM3,3,22030.2,100.13,100.14,100.14,100.14,2.96,100.14,8.51,100.13,22,99.78,100.09,100.14,31411452.5,14958144.3,31411452.5,2022-11-26,1049,8.51,,,,20.69,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ОрлОбл2017,RU000A0ZYGM3,3,124135.5,100.1,100.11,100.11,100.11,3.18,100.11,8.52,100.11,124,99.84,100.09,100.11,29611781.3,15025205.7,29611781.3,2022-11-26,1048,8.52,,,,20.69,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ОрлОбл2017,RU000A0ZYGM3,0,0.0,,,,100.11,3.41,,8.52,,0,99.86,100.09,100.11,28977080.9,15025205.7,28977080.9,2022-11-26,1047,,,,,20.69,,2018-10-11,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,ОрлОбл2017,RU000A0ZYGM3,5,6996.7,99.9,99.99,99.99,99.95,4.09,99.95,8.57,99.9,7,,99.99,99.95,0.0,652912.4,0.0,2022-11-26,1044,8.58,,,,20.69,,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,ОрлОбл2017,RU000A0ZYGM3,3,16013.4,100.0,100.17,100.17,100.17,4.32,100.08,8.5,100.0,16,,99.99,100.17,0.0,668925.8,0.0,2022-11-26,1043,8.53,,,,20.69,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,ОрлОбл2017,RU000A0ZYGM3,13,375016.1,99.03,100.14,100.14,100.13,4.55,100.0,8.51,99.7,375,,100.03,100.13,0.0,522161.7,0.0,2022-11-26,1042,8.56,,,,20.69,,2018-10-17,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,ОрлОбл2017,RU000A0ZYGM3,1,3003.3,100.11,100.11,100.11,100.11,4.78,100.11,8.52,100.11,3,,100.03,100.11,0.0,501138.6,0.0,2022-11-26,1041,8.52,,,,20.69,,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,ОрлОбл2017,RU000A0ZYGM3,21,5000884.4,99.02,100.06,100.06,100.06,5.0,99.07,8.54,99.5,5048,99.07,99.07,100.06,5000884.4,5000884.4,5000884.4,2022-11-26,1039,8.92,,,,20.69,,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,ОрлОбл2017,RU000A0ZYGM3,12,74586.8,99.0,99.98,99.94,99.04,5.68,99.45,8.58,99.5,75,,99.05,99.04,0.0,1287592.2,0.0,2022-11-26,1036,8.77,,,,20.69,,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,ОрлОбл2017,RU000A0ZYGM3,17,497127.5,99.08,100.06,99.8,99.8,5.91,99.62,8.64,99.5,499,,99.61,99.8,0.0,507036.9,0.0,2022-11-26,1035,8.71,,,,20.69,,2018-10-23,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,ОрлОбл2017,RU000A0ZYGM3,5,4969.0,99.36,99.4,99.4,99.4,6.14,99.38,8.79,99.36,5,99.62,99.62,99.4,502096.5,500110.6,502096.5,2022-11-26,1034,8.8,,,,20.69,,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,ОрлОбл2017,RU000A0ZYGM3,1,230138.0,100.06,100.06,100.06,100.06,6.37,100.06,8.54,100.06,230,99.76,100.01,100.06,732234.5,524040.6,732234.5,2022-11-26,1034,8.54,,,,20.69,,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,ОрлОбл2017,RU000A0ZYGM3,3,284895.0,99.9,99.99,99.9,99.9,6.59,99.96,8.6,99.99,285,99.79,100.0,99.9,1091716.3,529982.0,1091716.3,2022-11-26,1033,8.58,,,,20.69,,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,ОрлОбл2017,RU000A0ZYGM3,8,140913.5,99.43,99.95,99.95,99.95,7.28,99.94,8.58,99.95,141,,99.99,99.95,0.0,655946.5,0.0,2022-11-26,1030,8.58,,,,20.69,,2018-10-29,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,ОрлОбл2017,RU000A0ZYGM3,9,769680.4,99.7,99.9,99.88,99.89,7.5,99.83,8.61,99.89,771,99.85,99.83,99.89,910593.9,770679.9,910593.9,2022-11-26,1029,8.63,,,,20.69,,2018-10-30,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,ОрлОбл2017,RU000A0ZYGM3,7,543421.9,99.89,99.9,99.89,99.89,7.73,99.89,8.6,99.89,544,99.86,99.89,99.89,1313102.3,927991.0,1313102.3,2022-11-26,1028,8.6,,,,20.69,,2018-10-31,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,ОрлОбл2017,RU000A0ZYGM3,3,431457.9,99.8,99.9,99.9,99.9,7.96,99.87,8.6,99.8,432,99.89,99.89,99.9,974879.8,974879.8,974879.8,2022-11-26,1027,8.61,,,,20.69,,2018-11-01,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,ОрлОбл2017,RU000A0ZYGM3,4,17972.9,99.43,100.0,99.43,99.43,8.19,99.85,8.78,99.43,18,99.88,99.88,99.43,992852.7,551318.6,992852.7,2022-11-26,1026,8.62,,,,20.69,,2018-11-02,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,ОрлОбл2017,RU000A0ZYGM3,6,64967.2,99.4,100.05,100.05,100.05,9.1,99.95,8.54,99.41,65,,99.88,100.05,0.0,514398.0,0.0,2022-11-26,1022,8.58,,,,20.69,,2018-11-06,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,ОрлОбл2017,RU000A0ZYGM3,2,37033.3,100.09,100.09,100.09,100.09,9.32,100.09,8.53,100.09,37,,99.9,100.09,0.0,551431.3,0.0,2022-11-26,1021,8.53,,,,20.69,,2018-11-07,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,ОрлОбл2017,RU000A0ZYGM3,3,129750.0,99.8,99.9,99.8,99.81,9.55,99.81,8.64,99.9,130,,99.89,99.81,0.0,582379.3,0.0,2022-11-26,1020,8.63,,,,20.69,,2018-11-08,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,ОрлОбл2017,RU000A0ZYGM3,0,0.0,,,,99.81,9.78,,8.64,,0,,99.89,99.81,0.0,582379.3,0.0,2022-11-26,1019,,,,,20.69,,2018-11-08,1000,SUR,,,,,RUB
29,EQOB,2018-11-12,ОрлОбл2017,RU000A0ZYGM3,1,995.1,99.51,99.51,99.51,99.51,10.46,99.51,8.75,99.51,1,,99.89,99.51,0.0,583374.4,0.0,2022-11-26,1015,8.75,,,,20.69,,2018-11-12,1000,SUR,,,,,RUB
30,EQOB,2018-11-13,ОрлОбл2017,RU000A0ZYGM3,3,2987.3,99.5,99.68,99.55,99.55,10.69,99.58,8.73,99.68,3,99.86,99.89,99.55,1998266.0,586361.7,1998266.0,2022-11-26,1014,8.72,,,,20.69,,2018-11-13,1000,SUR,,,,,RUB
31,EQOB,2018-11-14,ОрлОбл2017,RU000A0ZYGM3,8,353422.7,98.51,99.01,98.7,98.7,10.92,98.72,9.07,99.01,358,,99.06,98.7,0.0,509174.9,0.0,2022-11-26,1012,9.06,,,,20.69,,2018-11-14,1000,SUR,,,,,RUB
32,EQOB,2018-11-15,ОрлОбл2017,RU000A0ZYGM3,1,2958.3,98.61,98.61,98.61,98.61,11.14,98.61,9.1,98.61,3,,99.06,98.61,0.0,512133.2,0.0,2022-11-26,1011,9.1,,,,20.69,,2018-11-15,1000,SUR,,,,,RUB
33,EQOB,2018-11-16,ОрлОбл2017,RU000A0ZYGM3,21,244650.4,98.2,99.99,99.99,99.85,11.37,98.65,8.56,99.94,248,,98.63,99.85,0.0,501031.3,0.0,2022-11-26,1010,9.09,,,,20.69,,2018-11-16,1000,SUR,,,,,RUB
34,EQOB,2018-11-19,ОрлОбл2017,RU000A0ZYGM3,5,42986.1,99.23,99.99,99.23,99.23,12.05,99.97,8.86,99.98,43,,98.74,99.23,0.0,534166.4,0.0,2022-11-26,1009,8.57,,,,20.69,,2018-11-19,1000,SUR,,,,,RUB
35,EQOB,2018-11-20,ОрлОбл2017,RU000A0ZYGM3,0,0.0,,,,99.23,12.28,,8.86,,0,,98.74,99.23,0.0,534166.4,0.0,2022-11-26,1006,,,,,20.69,,2018-11-19,1000,SUR,,,,,RUB
36,EQOB,2018-11-21,ОрлОбл2017,RU000A0ZYGM3,2,19993.9,99.96,99.97,99.97,99.97,12.51,99.97,8.57,99.96,20,,98.78,99.97,0.0,554160.3,0.0,2022-11-26,1007,8.57,,,,20.69,,2018-11-21,1000,SUR,,,,,RUB
37,EQOB,2018-11-22,ОрлОбл2017,RU000A0ZYGM3,0,0.0,,,,99.97,12.73,,8.57,,0,,98.78,99.97,0.0,554160.3,0.0,2022-11-26,1004,,,,,20.69,,2018-11-21,1000,SUR,,,,,RUB
38,EQOB,2018-11-23,ОрлОбл2017,RU000A0ZYGM3,4,52974.8,99.9,99.99,99.98,99.98,12.96,99.95,8.57,99.9,53,,98.88,99.98,0.0,607135.1,0.0,2022-11-26,1005,8.58,,,,20.69,,2018-11-23,1000,SUR,,,,,RUB
39,EQOB,2018-11-26,ОрлОбл2017,RU000A0ZYGM3,0,0.0,,,,99.98,13.64,,8.57,,0,98.9,98.88,99.98,719973.5,607135.1,719973.5,2022-11-26,1000,,,,,20.69,,2018-11-23,1000,SUR,,,,,RUB
40,EQOB,2018-11-27,ОрлОбл2017,RU000A0ZYGM3,1,1990.0,99.5,99.5,99.5,99.5,13.87,99.5,8.76,99.5,2,98.9,98.88,99.5,718976.2,609125.1,718976.2,2022-11-26,1000,8.76,,,,20.69,,2018-11-27,1000,SUR,,,,,RUB
41,EQOB,2018-11-28,ОрлОбл2017,RU000A0ZYGM3,1,995.0,99.5,99.5,99.5,99.5,14.1,99.5,8.76,99.5,1,,98.88,99.5,0.0,610120.1,0.0,2022-11-26,999,8.76,,,,20.69,,2018-11-28,1000,SUR,,,,,RUB
42,EQOB,2018-11-29,ОрлОбл2017,RU000A0ZYGM3,3,1315057.6,99.1,99.11,99.1,99.1,14.33,99.1,8.91,99.11,1327,99.09,99.14,99.1,1678647.8,1390011.7,1678647.8,2022-11-26,998,8.91,,,,20.69,,2018-11-29,1000,SUR,,,,,RUB
