history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ГПБ БО-15;RU000A0ZYHK5;3;50981.1;98.11;100;100;100;26.74;99.96;8.15;100;51;99.86;99.87;100;1878281.5;1805664.6;1878281.5;2020-12-01;724;8.17;;;;40.11;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ГПБ БО-15;RU000A0ZYHK5;1;40160;100.4;100.4;100.4;100.4;26.96;100.4;7.94;100.4;40;99.87;99.88;100.4;1917461.5;1844834.6;1917461.5;2020-12-01;723;7.94;;;;40.11;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100.4;27.18;;7.94;;0;99.87;99.88;100.4;1917461.5;1844834.6;1917461.5;2020-12-01;722;;;;;40.11;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-04;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100.4;27.4;;7.94;;0;99.88;99.88;100.4;1846814.6;1844834.6;1846814.6;2020-12-01;721;;;;;40.11;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-05;ГПБ БО-15;RU000A0ZYHK5;1;985.4;98.54;98.54;98.54;98.54;27.62;98.54;8.94;98.54;1;;99.95;98.54;0;1710190;0;2020-12-01;720;8.94;;;;40.11;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;98.54;28.27;;8.94;;0;;99.95;98.54;0;1710190;0;2020-12-01;717;;;;;40.11;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-09;ГПБ БО-15;RU000A0ZYHK5;1;2006;100.3;100.3;100.3;100.3;28.49;100.3;7.99;100.3;2;;100.01;100.3;0;1613196;0;2020-12-01;716;7.99;;;;40.11;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ГПБ БО-15;RU000A0ZYHK5;6;440512.3;100;100.15;100.15;100.14;28.71;100.12;8.07;100;440;100.12;100.12;100.14;544644.8;534644.8;544644.8;2020-12-01;715;8.09;;;;40.11;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ГПБ БО-15;RU000A0ZYHK5;5;450000;100;100;100;100;28.93;100;8.15;100;450;100.06;100.06;100;890512.3;852512.3;890512.3;2020-12-01;714;8.15;;;;40.11;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;ГПБ БО-15;RU000A0ZYHK5;6;106187.9;98.15;98.46;98.15;98.32;29.15;98.32;9.16;98.46;108;99.68;99.68;98.32;556187.9;556187.9;556187.9;2020-12-01;712;9.07;;;;40.11;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;ГПБ БО-15;RU000A0ZYHK5;2;49675;99.35;99.35;99.35;99.35;29.81;99.35;8.5;99.35;50;99.65;99.58;99.35;605862.9;508862.9;605862.9;2020-12-01;710;8.5;;;;40.11;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;ГПБ БО-15;RU000A0ZYHK5;3;1977803.2;99.99;100;100;100;30.03;99.99;8.15;99.99;1978;99.89;99.89;100;2133666.1;2130712.3;2133666.1;2020-12-01;709;8.16;;;;40.11;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100;30.25;;8.15;;0;99.91;99.89;100;2583666.1;2130712.3;2583666.1;2020-12-01;708;;;;;40.11;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-18;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100;30.47;;8.15;;0;99.89;99.89;100;2133666.1;2130712.3;2133666.1;2020-12-01;707;;;;;40.11;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-19;ГПБ БО-15;RU000A0ZYHK5;3;24212;100.3;101.4;101.4;100.88;30.68;100.88;7.4;100.3;24;99.95;99.96;100.88;3050396.4;2081135.8;3050396.4;2020-12-01;707;7.68;;;;40.11;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;ГПБ БО-15;RU000A0ZYHK5;6;72598.3;98.98;101;98.98;98.98;31.34;99.45;8.71;100.99;73;99.98;99.98;98.98;2074613.5;2074613.5;2074613.5;2020-12-01;703;8.45;;;;40.11;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;ГПБ БО-15;RU000A0ZYHK5;13;4203293.4;98.15;100.11;99;99;31.56;99.98;8.7;99.5;4204;99.98;99.98;99;4203293.4;4203293.4;4203293.4;2020-12-01;702;8.16;;;;40.11;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;ГПБ БО-15;RU000A0ZYHK5;3;86000.8;100;100.08;100;100;31.78;100;8.15;100.08;86;99.98;100.09;100;4289294.2;3957390.2;4289294.2;2020-12-01;701;8.15;;;;40.11;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100;32;;8.15;;0;99.98;100.09;100;4289294.2;3957390.2;4289294.2;2020-12-01;700;;;;;40.11;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-26;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100;32.22;;8.15;;0;99.97;100.09;100;4361892.5;3957390.2;4361892.5;2020-12-01;699;;;;;40.11;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-29;ГПБ БО-15;RU000A0ZYHK5;4;706842.5;99.1;100.29;99.1;99.1;32.88;99.14;8.65;100.29;713;99.86;99.96;99.1;4996136.7;4612996.5;4996136.7;2020-12-01;696;8.63;;;;40.11;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;ГПБ БО-15;RU000A0ZYHK5;2;650430;99;99;99;99;33.1;99;8.71;99;657;99.76;99.13;99;5743377;1447233.3;5743377;2020-12-01;695;8.71;;;;40.11;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;99;33.32;;8.71;;0;99.76;99.13;99;5743377;1447233.3;5743377;2020-12-01;694;;;;;40.11;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-11-01;ГПБ БО-15;RU000A0ZYHK5;7;764289.4;99;99.94;99.94;99.94;33.53;99;8.19;99;772;99.05;99.03;99.94;2121561.9;2065806.4;2121561.9;2020-12-01;693;8.71;;;;40.11;;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;ГПБ БО-15;RU000A0ZYHK5;5;416712.9;99.01;99.94;99.01;99.01;33.75;99.93;8.7;99.94;417;99.33;99.34;99.01;1181002.3;1132492.3;1181002.3;2020-12-01;692;8.19;;;;40.11;;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;ГПБ БО-15;RU000A0ZYHK5;3;53895.6;99.5;99.99;99.99;99.99;34.63;99.81;8.16;99.5;54;99.35;99.73;99.99;1234897.9;593377.9;1234897.9;2020-12-01;688;8.26;;;;40.11;;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;99.99;34.85;;8.16;;0;99.35;99.73;99.99;1234897.9;593377.9;1234897.9;2020-12-01;687;;;;;40.11;;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-08;ГПБ БО-15;RU000A0ZYHK5;3;211788;99.9;99.9;99.9;99.9;35.07;99.9;8.21;99.9;212;99.43;99.91;99.9;1446685.9;682396.5;1446685.9;2020-12-01;686;8.21;;;;40.11;;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-09;ГПБ БО-15;RU000A0ZYHK5;4;396653.3;98.72;99.99;98.72;98.72;35.29;99.91;8.87;99.9;397;99.91;99.9;98.72;1079049.8;662336.9;1079049.8;2020-12-01;685;8.21;;;;40.11;;2018-11-09;1000;SUR;;;;;RUB
EQOB;2018-11-12;ГПБ БО-15;RU000A0ZYHK5;1;5000;100;100;100;100;35.95;100;8.16;100;5;99.9;99.91;100;667336.9;647436.9;667336.9;2020-12-01;682;8.16;;;;40.11;;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100;36.16;;8.16;;0;99.39;99.91;100;2498769.2;647436.9;2498769.2;2020-12-01;681;;;;;40.11;;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-14;ГПБ БО-15;RU000A0ZYHK5;1;28014;100.05;100.05;100.05;100.05;36.38;100.05;8.13;100.05;28;99.54;99.92;100.05;1876353.2;665452.9;1876353.2;2020-12-01;680;8.13;;;;40.11;;2018-11-14;1000;SUR;;;;;RUB
EQOB;2018-11-15;ГПБ БО-15;RU000A0ZYHK5;17;7942023.1;97;99.4;99.4;99.4;36.6;99.16;8.49;98.72;8009;99.16;99.16;99.4;7942023.1;7942023.1;7942023.1;2020-12-01;679;8.63;;;;40.11;;2018-11-15;1000;SUR;;;;;RUB
EQOB;2018-11-16;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;99.4;36.82;;8.5;;0;99.16;99.17;99.4;7942023.1;7883138.5;7942023.1;2020-12-01;678;;;;;40.11;;2018-11-15;1000;SUR;;;;;RUB
EQOB;2018-11-19;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;99.4;37.48;;8.5;;0;99.16;99.17;99.4;7942023.1;7883138.5;7942023.1;2020-12-01;675;;;;;40.11;;2018-11-15;1000;SUR;;;;;RUB
EQOB;2018-11-20;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;99.4;37.7;;8.5;;0;99.17;99.17;99.4;7970037.1;7883138.5;7970037.1;2020-12-01;674;;;;;40.11;;2018-11-15;1000;SUR;;;;;RUB
EQOB;2018-11-21;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;99.4;37.92;;8.5;;0;99.16;99.17;99.4;7942023.1;7883138.5;7942023.1;2020-12-01;673;;;;;40.11;;2018-11-15;1000;SUR;;;;;RUB
EQOB;2018-11-22;ГПБ БО-15;RU000A0ZYHK5;1;4970;99.4;99.4;99.4;99.4;38.14;99.4;8.5;99.4;5;99.2;99.18;99.4;8376660.4;7859978.5;8376660.4;2020-12-01;672;8.5;;;;40.11;;2018-11-22;1000;SUR;;;;;RUB
EQOB;2018-11-23;ГПБ БО-15;RU000A0ZYHK5;3;49985.3;99.95;100.03;100.03;99.97;38.36;99.97;8.14;99.95;50;99.17;99.19;99.97;8029992.4;7881541.9;8029992.4;2020-12-01;671;8.17;;;;40.11;;2018-11-23;1000;SUR;;;;;RUB
EQOB;2018-11-26;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;99.97;39.01;;8.14;;0;99.17;99.19;99.97;8024992.4;7881541.9;8024992.4;2020-12-01;668;;;;;40.11;;2018-11-23;1000;SUR;;;;;RUB
EQOB;2018-11-27;ГПБ БО-15;RU000A0ZYHK5;6;394192.7;100;100.05;100.05;100.05;39.23;100.05;8.13;100.03;394;;99.47;100.05;0;4276048;0;2020-12-01;667;8.13;;;;40.11;;2018-11-27;1000;SUR;;;;;RUB
EQOB;2018-11-28;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100.05;39.45;;8.13;;0;;99.47;100.05;0;4276048;0;2020-12-01;666;;;;;40.11;;2018-11-27;1000;SUR;;;;;RUB
EQOB;2018-11-29;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100.05;39.67;;8.13;;0;;99.47;100.05;0;4276048;0;2020-12-01;665;;;;;40.11;;2018-11-27;1000;SUR;;;;;RUB
EQOB;2018-11-30;ГПБ БО-15;RU000A0ZYHK5;2;21998.4;99;100.04;99;99;39.89;99.99;8.74;100.04;22;;99.47;99;0;4298046.4;0;2020-12-01;664;8.17;;;;40.11;;2018-11-30;1000;SUR;;;;;RUB
EQOB;2018-12-03;ГПБ БО-15;RU000A0ZYHK5;8;7497186.1;99.9;100.2;99.99;99.99;0.44;99.99;8.16;100;7498;99.99;99.99;99.99;7519184.5;7519184.5;7519184.5;2020-12-01;688;8.16;;;;39.89;;2018-12-03;1000;SUR;;;;;RUB
EQOB;2018-12-04;ГПБ БО-15;RU000A0ZYHK5;2;1540146;99.99;100.05;100.05;100.05;0.66;100.01;8.13;99.99;1540;99.99;99.99;100.05;9037332.1;9037332.1;9037332.1;2020-12-01;687;8.15;;;;39.89;;2018-12-04;1000;SUR;;;;;RUB
EQOB;2018-12-05;ГПБ БО-15;RU000A0ZYHK5;5;244418.2;100.05;100.55;100.05;100.05;0.88;100.17;8.13;100.53;244;100;100;100.05;9277729.1;8509881.1;9277729.1;2020-12-01;686;8.06;;;;39.89;;2018-12-05;1000;SUR;;;;;RUB
EQOB;2018-12-06;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100.05;1.1;;8.13;;0;100;100;100.05;9299727.5;8509881.1;9299727.5;2020-12-01;685;;;;;39.89;;2018-12-05;1000;SUR;;;;;RUB
EQOB;2018-12-07;ГПБ БО-15;RU000A0ZYHK5;5;570285;100.05;100.05;100.05;100.05;1.32;100.05;8.13;100.05;570;100;100.07;100.05;9848014.1;1310932;9848014.1;2020-12-01;684;8.13;;;;39.89;;2018-12-07;1000;SUR;;;;;RUB
EQOB;2018-12-10;ГПБ БО-15;RU000A0ZYHK5;2;10048;100.3;100.5;100.5;100.48;1.97;100.48;7.87;100.3;10;100.04;100.08;100.48;2360876;812686;2360876;2020-12-01;681;7.88;;;;39.89;;2018-12-10;1000;SUR;;;;;RUB
EQOB;2018-12-11;ГПБ БО-15;RU000A0ZYHK5;1;16008;100.05;100.05;100.05;100.05;2.19;100.05;8.13;100.05;16;100.09;100.06;100.05;836738;670378;836738;2020-12-01;680;8.13;;;;39.89;;2018-12-11;1000;SUR;;;;;RUB
EQOB;2018-12-12;ГПБ БО-15;RU000A0ZYHK5;3;46023;100.05;100.05;100.05;100.05;2.41;100.05;8.13;100.05;46;100.06;100.06;100.05;642364;542314;642364;2020-12-01;679;8.13;;;;39.89;;2018-12-12;1000;SUR;;;;;RUB
EQOB;2018-12-13;ГПБ БО-15;RU000A0ZYHK5;6;153076;99;100.4;99;99.99;2.63;100.05;8.74;100.4;153;;100.06;99.99;0;676380.5;0;2020-12-01;678;8.13;;;;39.89;;2018-12-13;1000;SUR;;;;;RUB
EQOB;2018-12-14;ГПБ БО-15;RU000A0ZYHK5;3;84000;100;100;100;100;2.85;100;8.16;100;84;;100.05;100;0;545273;0;2020-12-01;677;8.16;;;;39.89;;2018-12-14;1000;SUR;;;;;RUB
EQOB;2018-12-17;ГПБ БО-15;RU000A0ZYHK5;2;28716;99.02;99.03;99.02;99.02;3.51;99.02;8.73;99.03;29;;100;99.02;0;573989;0;2020-12-01;674;8.73;;;;39.89;;2018-12-17;1000;SUR;;;;;RUB
EQOB;2018-12-18;ГПБ БО-15;RU000A0ZYHK5;16;296786.6;98.62;99.5;98.62;98.62;3.73;98.93;8.97;99.5;300;;99.3;98.62;0;500492.6;0;2020-12-01;673;8.79;;;;39.89;;2018-12-18;1000;SUR;;;;;RUB
EQOB;2018-12-19;ГПБ БО-15;RU000A0ZYHK5;10;9773848.5;99.97;100.05;100.05;100.05;3.95;100.05;8.13;99.97;9769;100.05;100.05;100.05;9773848.5;9773848.5;9773848.5;2020-12-01;672;8.13;;;;39.89;;2018-12-19;1000;SUR;;;;;RUB
EQOB;2018-12-20;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100.05;4.16;;8.13;;0;100.05;100.05;100.05;9773848.5;9773848.5;9773848.5;2020-12-01;671;;;;;39.89;;2018-12-19;1000;SUR;;;;;RUB
EQOB;2018-12-21;ГПБ БО-15;RU000A0ZYHK5;0;0;;;;100.05;4.38;;8.13;;0;100.05;100.05;100.05;9773848.5;9773848.5;9773848.5;2020-12-01;670;;;;;39.89;;2018-12-19;1000;SUR;;;;;RUB


