history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;МТС 001P-4;RU000A0ZYJ83;10;3122237.5;100;100.05;100.04;100.04;24.89;100.04;7.51;100.05;3121;100.04;100.04;100.04;3122237.5;3122237.5;3122237.5;2018-12-04;64;7.51;;;;38.39;;2018-10-01;1000;SUR;;;7.2868;;RUB
EQOB;2018-10-02;МТС 001P-4;RU000A0ZYJ83;30;2726031.7;100;100.07;100.07;100.02;25.1;100.04;7.32;100.05;2725;100.04;100.04;100.02;2726031.7;2726031.7;2726031.7;2018-12-04;63;7.51;;;;38.39;;2018-10-02;1000;SUR;;;7.1107;;RUB
EQOB;2018-10-03;МТС 001P-4;RU000A0ZYJ83;9;187125.1;99.99;100.07;100.07;100.04;25.32;100.07;7.31;100.07;187;100.04;100.04;100.04;2913156.8;502185.6;2913156.8;2018-12-04;62;7.31;;;;38.39;;2018-10-03;1000;SUR;;;7.0977;;RUB
EQOB;2018-10-04;МТС 001P-4;RU000A0ZYJ83;10;3484437.4;100.07;100.07;100.07;100.07;25.53;100.07;7.3;100.07;3482;100.07;100.07;100.07;3484437.4;3484437.4;3484437.4;2018-12-04;61;7.3;;;;38.39;;2018-10-04;1000;SUR;;;7.0901;;RUB
EQOB;2018-10-05;МТС 001P-4;RU000A0ZYJ83;10;4116879.8;100.07;100.07;100.07;100.07;25.74;100.07;7.3;100.07;4114;100.07;100.07;100.07;4116879.8;4116879.8;4116879.8;2018-12-04;60;7.3;;;;38.39;;2018-10-05;1000;SUR;;;7.0823;;RUB
EQOB;2018-10-08;МТС 001P-4;RU000A0ZYJ83;12;368240.4;100.03;100.08;100.03;100.03;26.37;100.07;7.54;100.08;368;;100.07;100.03;0;1079738.1;0;2018-12-04;57;7.27;;;;38.39;;2018-10-08;1000;SUR;;;7.31;;RUB
EQOB;2018-10-09;МТС 001P-4;RU000A0ZYJ83;11;3279192.3;100;100.08;100.07;100.06;26.58;100.07;7.26;100.08;3277;100.07;100.07;100.06;3254172.3;3254172.3;3254172.3;2018-12-04;56;7.26;;;;38.39;;2018-10-09;1000;SUR;;;7.049;;RUB
EQOB;2018-10-10;МТС 001P-4;RU000A0ZYJ83;5;66015.9;100.01;100.1;100.01;100.02;26.79;100.02;7.67;100.1;66;100.07;100.06;100.02;3320188.2;1160688.1;3320188.2;2018-12-04;55;7.6;;;;38.39;;2018-10-10;1000;SUR;;;7.432;;RUB
EQOB;2018-10-11;МТС 001P-4;RU000A0ZYJ83;6;115093;100;100.2;100.1;100.1;27;100.05;7.03;100.2;115;;100.07;100.1;0;1041710.9;0;2018-12-04;54;7.39;;;;38.39;;2018-10-11;1000;SUR;;;6.8316;;RUB
EQOB;2018-10-12;МТС 001P-4;RU000A0ZYJ83;10;288138.2;100.01;100.2;100.2;100.15;27.21;100.05;6.31;100.09;288;;100.05;100.15;0;530289.8;0;2018-12-04;53;7.38;;;;38.39;;2018-10-12;1000;SUR;;;6.1426;;RUB
EQOB;2018-10-15;МТС 001P-4;RU000A0ZYJ83;5;905204.5;100;100.15;100.15;100.15;27.85;100.02;6.59;100.1;905;100.03;100.02;100.15;1193342.7;1116244.2;1193342.7;2018-12-04;50;7.58;;;;38.39;;2018-10-15;1000;SUR;;;6.411;;RUB
EQOB;2018-10-16;МТС 001P-4;RU000A0ZYJ83;4;20017.7;100.06;100.09;100.06;100.06;28.06;100.09;7.26;100.09;20;100.03;100.02;100.06;1213360.4;930232.2;1213360.4;2018-12-04;49;7.03;;;;38.39;;2018-10-16;1000;SUR;;;7.0459;;RUB
EQOB;2018-10-17;МТС 001P-4;RU000A0ZYJ83;9;1717648.2;100;100.09;100.09;100.09;28.27;100.04;7.02;100.09;1717;100.04;100.04;100.09;1737665.9;1718648.8;1737665.9;2018-12-04;48;7.41;;;;38.39;;2018-10-17;1000;SUR;;;6.8123;;RUB
EQOB;2018-10-18;МТС 001P-4;RU000A0ZYJ83;12;1119653;100.02;100.09;100.09;100.09;28.48;100.06;7;100.09;1119;100.06;100.06;100.09;1119653;1119653;1119653;2018-12-04;47;7.24;;;;38.39;;2018-10-18;1000;SUR;;;6.7974;;RUB
EQOB;2018-10-19;МТС 001P-4;RU000A0ZYJ83;13;2111746;100.01;100.06;100.06;100.06;28.69;100.04;7.23;100.04;2111;100.04;100.04;100.06;2111746;2111746;2111746;2018-12-04;46;7.4;;;;38.39;;2018-10-19;1000;SUR;;;7.0152;;RUB
EQOB;2018-10-22;МТС 001P-4;RU000A0ZYJ83;13;4326060.4;99.99;100.1;99.99;99.99;29.32;100;7.82;100.1;4326;100;100;99.99;4326060.4;4326060.4;4326060.4;2018-12-04;43;7.73;;;;38.39;;2018-10-22;1000;SUR;;;7.5629;;RUB
EQOB;2018-10-23;МТС 001P-4;RU000A0ZYJ83;9;6233995.8;99.98;100.15;99.98;99.98;29.53;100;7.91;100.15;6234;100;100;99.98;10560056.2;6243994.8;10560056.2;2018-12-04;42;7.73;;;;38.39;;2018-10-23;1000;SUR;;;7.6492;;RUB
EQOB;2018-10-24;МТС 001P-4;RU000A0ZYJ83;11;690386.4;100;100.1;100;100;29.75;100.06;7.72;100.1;690;100.06;100.06;100;690386.4;690386.4;690386.4;2018-12-04;41;7.16;;;;38.39;;2018-10-24;1000;SUR;;;7.4695;;RUB
EQOB;2018-10-25;МТС 001P-4;RU000A0ZYJ83;13;1713051.3;99.99;100.1;100.09;100.09;29.96;100;6.87;100.02;1713;100;100;100.09;1713051.3;1713051.3;1713051.3;2018-12-04;40;7.72;;;;38.39;;2018-10-25;1000;SUR;;;6.6654;;RUB
EQOB;2018-10-26;МТС 001P-4;RU000A0ZYJ83;25;6527114.6;100;100.1;100;100.03;30.17;100.09;7.72;100.1;6521;100.09;100.09;100.03;6527114.6;6527114.6;6527114.6;2018-12-04;39;6.84;;;;38.39;;2018-10-26;1000;SUR;;;7.4678;;RUB
EQOB;2018-10-29;МТС 001P-4;RU000A0ZYJ83;7;332093.9;100;100.07;100.07;100.07;30.8;100.03;6.98;100.03;332;100.09;100.02;100.07;6859208.5;559108.4;6859208.5;2018-12-04;36;7.4;;;;38.39;;2018-10-29;1000;SUR;;;6.7724;;RUB
EQOB;2018-10-30;МТС 001P-4;RU000A0ZYJ83;21;689507.5;99.95;100.1;100.03;100.03;31.01;100.07;7.4;100.09;689;100.07;100.07;100.03;689507.5;689507.5;689507.5;2018-12-04;35;6.96;;;;38.39;;2018-10-30;1000;SUR;;;7.1593;;RUB
EQOB;2018-10-31;МТС 001P-4;RU000A0ZYJ83;14;1134349;100.02;100.07;100.04;100.03;31.22;100.03;7.27;100.07;1134;100.03;100.03;100.03;1134349;1134349;1134349;2018-12-04;34;7.39;;;;38.39;;2018-10-31;1000;SUR;;;7.045;;RUB
EQOB;2018-11-01;МТС 001P-4;RU000A0ZYJ83;7;336165.2;100;100.07;100.07;100.07;31.43;100.05;6.92;100.07;336;100.03;100.03;100.07;1470514.2;1346468.6;1470514.2;2018-12-04;33;7.15;;;;38.39;;2018-11-01;1000;SUR;;;6.7084;;RUB
EQOB;2018-11-02;МТС 001P-4;RU000A0ZYJ83;16;402061.3;100;100.03;100.03;100.03;31.64;100.02;7.37;100.03;402;;100.03;100.03;0;579185.2;0;2018-12-04;32;7.48;;;;38.39;;2018-11-02;1000;SUR;;;7.1293;;RUB
EQOB;2018-11-06;МТС 001P-4;RU000A0ZYJ83;15;623922;99.95;100.03;100;100;32.49;99.99;7.71;100.03;624;99.99;99.99;100;623922;623922;623922;2018-12-04;28;7.85;;;;38.39;;2018-11-06;1000;SUR;;;7.4491;;RUB
EQOB;2018-11-07;МТС 001P-4;RU000A0ZYJ83;17;638995.4;99.95;100;100;100;32.7;100;7.71;100;639;100;100;100;638995.4;638995.4;638995.4;2018-12-04;27;7.71;;;;38.39;;2018-11-07;1000;SUR;;;7.4485;;RUB
EQOB;2018-11-08;МТС 001P-4;RU000A0ZYJ83;18;534999.2;99.96;100;100;100;32.91;100;7.71;100;535;100;100;100;534999.2;534999.2;534999.2;2018-12-04;26;7.71;;;;38.39;;2018-11-08;1000;SUR;;;7.448;;RUB
EQOB;2018-11-09;МТС 001P-4;RU000A0ZYJ83;9;27999.9;99.99;100;100;100;33.12;100;7.71;100;28;100;100;100;562999.1;521999.1;562999.1;2018-12-04;25;7.71;;;;38.39;;2018-11-09;1000;SUR;;;7.4475;;RUB
