,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Автодор1P2,RU000A0ZYKM5,16,312559.7,99.31,99.95,99.91,99.91,23.97,99.86,8.33,99.95,313,,99.59,99.91,0.0,2884260.0,0.0,2019-12-13,417,8.38,,,,40.39,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,Автодор1P2,RU000A0ZYKM5,4,73172.8,99.91,100.25,100.25,100.25,24.19,100.24,8.02,99.91,73,,99.61,100.25,0.0,2957432.8,0.0,2019-12-13,416,8.02,,,,40.39,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,Автодор1P2,RU000A0ZYKM5,1,10025.0,100.25,100.25,100.25,100.25,24.41,100.25,8.02,100.25,10,,99.61,100.25,0.0,2967457.8,0.0,2019-12-13,415,8.02,,,,40.39,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,Автодор1P2,RU000A0ZYKM5,3,2229782.1,99.99,100.0,99.99,99.99,24.63,99.99,8.26,100.0,2230,99.98,100.0,99.99,2703500.8,2386913.3,2703500.8,2019-12-13,414,8.26,,,,40.39,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,Автодор1P2,RU000A0ZYKM5,4,4195800.0,99.9,99.9,99.9,99.9,24.85,99.9,8.34,99.9,4200,99.93,99.94,99.9,6821339.6,6505782.0,6821339.6,2019-12-13,413,8.34,,,,40.39,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,Автодор1P2,RU000A0ZYKM5,7,2389991.7,99.9,100.12,100.0,100.0,25.52,99.96,8.25,99.9,2391,99.92,99.92,100.0,6585791.7,6390986.7,6585791.7,2019-12-13,410,8.28,,,,40.39,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,Автодор1P2,RU000A0ZYKM5,4,524474.5,99.65,100.25,100.25,100.25,25.74,99.9,8.01,99.65,525,99.95,99.95,100.25,2914466.2,2910470.2,2914466.2,2019-12-13,409,8.34,,,,40.39,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,Автодор1P2,RU000A0ZYKM5,7,171031.4,100.0,100.24,100.0,100.0,25.96,100.02,8.25,100.0,171,99.93,99.93,100.0,695505.9,692516.4,695505.9,2019-12-13,408,8.23,,,,40.39,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,Автодор1P2,RU000A0ZYKM5,3,32967.0,99.9,99.9,99.9,99.9,26.19,99.9,8.34,99.9,33,,99.93,99.9,0.0,720488.4,0.0,2019-12-13,407,8.34,,,,40.39,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,Автодор1P2,RU000A0ZYKM5,5,363300.0,99.66,100.1,100.08,100.08,26.41,100.08,8.17,100.1,363,100.05,100.05,100.08,567298.4,502272.0,567298.4,2019-12-13,406,8.17,,,,40.39,,2018-10-12,1000,SUR,,,,,RUB
