,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.0,1.25,,8.11,,0,97.43,97.43,99.0,124080964.2,124076074.7,124080964.2,2024-12-17,1369,,,,,18.95,,2018-09-28,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,ХМАО 11,RU000A0ZYKW4,1,5940.0,99.0,99.0,99.0,99.0,1.46,99.0,8.11,99.0,6,,97.43,99.0,0.0,124074191.5,0.0,2024-12-17,1371,8.11,,,,18.95,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.0,1.67,,8.11,,0,,97.43,99.0,0.0,124074191.5,0.0,2024-12-17,1367,,,,,18.95,,2018-10-02,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,ХМАО 11,RU000A0ZYKW4,1,4850000.0,97.0,97.0,97.0,97.0,1.87,97.0,8.7,97.0,5000,,97.41,97.0,0.0,128915371.5,0.0,2024-12-17,1365,8.7,,,,18.95,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,97.0,2.08,,8.7,,0,,97.41,97.0,0.0,128915371.5,0.0,2024-12-17,1365,,,,,18.95,,2018-10-04,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,ХМАО 11,RU000A0ZYKW4,1,4912.0,98.24,98.24,98.24,98.24,2.71,98.24,8.33,98.24,5,,97.41,98.24,0.0,128913318.5,0.0,2024-12-17,1364,8.33,,,,18.95,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.24,2.92,,8.33,,0,,97.41,98.24,0.0,128913318.5,0.0,2024-12-17,1361,,,,,18.95,,2018-10-08,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.24,3.12,,8.33,,0,,97.41,98.24,0.0,128913318.5,0.0,2024-12-17,1360,,,,,18.95,,2018-10-08,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ХМАО 11,RU000A0ZYKW4,1,9825.0,98.25,98.25,98.25,98.25,3.33,98.25,8.33,98.25,10,,97.41,98.25,0.0,128918243.5,0.0,2024-12-17,1361,8.33,,,,18.95,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ХМАО 11,RU000A0ZYKW4,2,1940.0,97.0,97.0,97.0,97.0,3.54,97.0,8.7,97.0,2,,97.6,97.0,0.0,67064907.5,0.0,2024-12-17,1357,8.7,,,,18.95,,2018-10-12,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,ХМАО 11,RU000A0ZYKW4,1,1965.0,98.25,98.25,98.25,98.25,4.16,98.25,8.33,98.25,2,,97.13,98.25,0.0,5905748.0,0.0,2024-12-17,1357,8.33,,,,18.95,,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.25,4.37,,8.33,,0,,97.13,98.25,0.0,5905748.0,0.0,2024-12-17,1353,,,,,18.95,,2018-10-15,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,ХМАО 11,RU000A0ZYKW4,1,76635.0,98.25,98.25,98.25,98.25,4.58,98.25,8.33,98.25,78,,97.05,98.25,0.0,5021507.0,0.0,2024-12-17,1355,8.33,,,,18.95,,2018-10-17,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,ХМАО 11,RU000A0ZYKW4,1,6877.5,98.25,98.25,98.25,98.25,4.79,98.25,8.33,98.25,7,,97.05,98.25,0.0,5007594.5,0.0,2024-12-17,1354,8.33,,,,18.95,,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.25,5.0,,8.33,,0,,97.05,98.25,0.0,5007594.5,0.0,2024-12-17,1350,,,,,18.95,,2018-10-18,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.25,5.62,,8.33,,0,,97.05,98.25,0.0,5007594.5,0.0,2024-12-17,1347,,,,,18.95,,2018-10-18,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.25,5.83,,8.33,,0,,97.05,98.25,0.0,5007594.5,0.0,2024-12-17,1346,,,,,18.95,,2018-10-18,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.25,6.04,,8.33,,0,,97.05,98.25,0.0,5007594.5,0.0,2024-12-17,1345,,,,,18.95,,2018-10-18,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,ХМАО 11,RU000A0ZYKW4,1,1960.0,98.0,98.0,98.0,98.0,6.25,98.0,8.41,98.0,2,,97.03,98.0,0.0,4960054.5,0.0,2024-12-17,1346,8.41,,,,18.95,,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,ХМАО 11,RU000A0ZYKW4,3,29900.3,98.35,99.99,99.99,99.67,6.45,99.67,7.82,98.35,30,,97.04,99.67,0.0,4984014.8,0.0,2024-12-17,1349,7.91,,,,18.95,,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.67,7.08,,7.82,,0,,97.04,99.67,0.0,4984014.8,0.0,2024-12-17,1340,,,,,18.95,,2018-10-26,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.67,7.29,,7.82,,0,,97.04,99.67,0.0,4984014.8,0.0,2024-12-17,1339,,,,,18.95,,2018-10-26,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.67,7.5,,7.82,,0,,97.04,99.67,0.0,4984014.8,0.0,2024-12-17,1338,,,,,18.95,,2018-10-26,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.67,7.7,,7.82,,0,,97.04,99.67,0.0,4984014.8,0.0,2024-12-17,1337,,,,,18.95,,2018-10-26,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.67,7.91,,7.82,,0,,97.04,99.67,0.0,4984014.8,0.0,2024-12-17,1336,,,,,18.95,,2018-10-26,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.67,8.75,,7.82,,0,,97.04,99.67,0.0,4984014.8,0.0,2024-12-17,1332,,,,,18.95,,2018-10-26,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.67,8.95,,7.82,,0,,97.04,99.67,0.0,4984014.8,0.0,2024-12-17,1331,,,,,18.95,,2018-10-26,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.67,9.16,,7.82,,0,,97.04,99.67,0.0,4984014.8,0.0,2024-12-17,1330,,,,,18.95,,2018-10-26,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,ХМАО 11,RU000A0ZYKW4,1,1940.0,97.0,97.0,97.0,97.0,9.37,97.0,8.71,97.0,2,,97.04,97.0,0.0,4985954.8,0.0,2024-12-17,1329,8.71,,,,18.95,,2018-11-09,1000,SUR,,,,,RUB
29,EQOB,2018-11-12,ХМАО 11,RU000A0ZYKW4,1,14700.0,98.0,98.0,98.0,98.0,9.99,98.0,8.41,98.0,15,,97.04,98.0,0.0,5000654.8,0.0,2024-12-17,1328,8.41,,,,18.95,,2018-11-12,1000,SUR,,,,,RUB
30,EQOB,2018-11-13,ХМАО 11,RU000A0ZYKW4,2,9800.0,98.0,98.0,98.0,98.0,10.2,98.0,8.41,98.0,10,,97.05,98.0,0.0,5010454.8,0.0,2024-12-17,1327,8.41,,,,18.95,,2018-11-13,1000,SUR,,,,,RUB
31,EQOB,2018-11-14,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.0,10.41,,8.41,,0,,97.05,98.0,0.0,5010454.8,0.0,2024-12-17,1324,,,,,18.95,,2018-11-13,1000,SUR,,,,,RUB
32,EQOB,2018-11-15,ХМАО 11,RU000A0ZYKW4,1,260985.0,95.25,95.25,95.25,95.25,10.62,95.25,9.26,95.25,274,,96.95,95.25,0.0,5271439.8,0.0,2024-12-17,1319,9.26,,,,18.95,,2018-11-15,1000,SUR,,,,,RUB
33,EQOB,2018-11-16,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,95.25,10.83,,9.26,,0,,96.95,95.25,0.0,5271439.8,0.0,2024-12-17,1322,,,,,18.95,,2018-11-15,1000,SUR,,,,,RUB
34,EQOB,2018-11-19,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,95.25,11.45,,9.26,,0,,96.95,95.25,0.0,5271439.8,0.0,2024-12-17,1319,,,,,18.95,,2018-11-15,1000,SUR,,,,,RUB
35,EQOB,2018-11-20,ХМАО 11,RU000A0ZYKW4,1,1965.0,98.25,98.25,98.25,98.25,11.66,98.25,8.34,98.25,2,,96.96,98.25,0.0,5273404.8,0.0,2024-12-17,1321,8.34,,,,18.95,,2018-11-20,1000,SUR,,,,,RUB
36,EQOB,2018-11-21,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.25,11.87,,8.34,,0,,96.96,98.25,0.0,5273404.8,0.0,2024-12-17,1317,,,,,18.95,,2018-11-20,1000,SUR,,,,,RUB
37,EQOB,2018-11-22,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.25,12.08,,8.34,,0,,96.96,98.25,0.0,5273404.8,0.0,2024-12-17,1316,,,,,18.95,,2018-11-20,1000,SUR,,,,,RUB
38,EQOB,2018-11-23,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.25,12.28,,8.34,,0,,96.96,98.25,0.0,5273404.8,0.0,2024-12-17,1315,,,,,18.95,,2018-11-20,1000,SUR,,,,,RUB
39,EQOB,2018-11-26,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.25,12.91,,8.34,,0,,96.96,98.25,0.0,5273404.8,0.0,2024-12-17,1312,,,,,18.95,,2018-11-20,1000,SUR,,,,,RUB
40,EQOB,2018-11-27,ХМАО 11,RU000A0ZYKW4,3,79582.5,98.25,98.25,98.25,98.25,13.12,98.25,8.34,98.25,81,,96.73,98.25,0.0,502987.3,0.0,2024-12-17,1314,8.34,,,,18.95,,2018-11-27,1000,SUR,,,,,RUB
41,EQOB,2018-11-28,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.25,13.33,,8.34,,0,,96.73,98.25,0.0,502987.3,0.0,2024-12-17,1309,,,,,18.95,,2018-11-27,1000,SUR,,,,,RUB
42,EQOB,2018-11-29,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,98.25,13.53,,8.34,,0,,96.73,98.25,0.0,502987.3,0.0,2024-12-17,1308,,,,,18.95,,2018-11-27,1000,SUR,,,,,RUB
43,EQOB,2018-11-30,ХМАО 11,RU000A0ZYKW4,3,31926.2,99.59,100.0,100.0,99.77,13.74,99.77,7.82,99.59,32,,96.86,99.77,0.0,516271.5,0.0,2024-12-17,1314,7.89,,,,18.95,,2018-11-30,1000,SUR,,,,,RUB
44,EQOB,2018-12-03,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.77,14.37,,7.82,,0,,96.86,99.77,0.0,516271.5,0.0,2024-12-17,1305,,,,,18.95,,2018-11-30,1000,SUR,,,,,RUB
45,EQOB,2018-12-04,ХМАО 11,RU000A0ZYKW4,0,0.0,,,,99.77,14.58,,7.82,,0,,96.86,99.77,0.0,516271.5,0.0,2024-12-17,1304,,,,,18.95,,2018-11-30,1000,SUR,,,,,RUB
