,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,КЧР 2017,RU000A0ZYL22,19,1299169.4,99.83,100.6,99.83,99.84,2.86,100.24,9.03,100.24,1296,100.24,100.24,99.84,1299169.4,1299169.4,1299169.4,2024-12-18,1600,8.93,,,,21.69,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,КЧР 2017,RU000A0ZYL22,24,2103645.6,99.85,100.59,100.59,100.57,3.1,99.94,8.84,100.2,2105,99.94,99.94,100.57,2103645.6,2103645.6,2103645.6,2024-12-18,1598,9.0,,,,21.69,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,КЧР 2017,RU000A0ZYL22,46,890737.5,99.79,100.62,99.79,99.8,3.34,99.86,9.04,99.86,892,99.86,99.86,99.8,890737.5,890737.5,890737.5,2024-12-18,1597,9.02,,,,21.69,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,КЧР 2017,RU000A0ZYL22,40,989553.1,99.65,100.2,99.65,99.66,3.58,99.75,9.07,100.2,992,99.75,99.75,99.66,989553.1,989553.1,989553.1,2024-12-18,1595,9.05,,,,21.69,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,КЧР 2017,RU000A0ZYL22,77,3020044.3,99.22,99.87,99.35,99.35,3.81,99.51,9.15,99.81,3035,99.51,99.51,99.35,3020044.3,3020044.3,3020044.3,2024-12-18,1594,9.11,,,,21.69,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,КЧР 2017,RU000A0ZYL22,26,1211426.5,99.8,99.99,99.88,99.88,4.53,99.95,9.02,99.8,1212,99.95,99.95,99.88,1211426.5,1211426.5,1211426.5,2024-12-18,1592,9.0,,,,21.69,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,КЧР 2017,RU000A0ZYL22,42,2730344.1,99.0,99.98,99.94,99.94,4.77,99.83,9.0,99.95,2735,99.83,99.83,99.94,2730344.1,2730344.1,2730344.1,2024-12-18,1591,9.03,,,,21.69,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,КЧР 2017,RU000A0ZYL22,0,0.0,,,,99.94,5.01,,9.0,,0,99.83,99.87,99.94,2730344.1,1136531.7,2730344.1,2024-12-18,1590,,,,,21.69,,2018-10-09,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,КЧР 2017,RU000A0ZYL22,8,59790.0,99.6,99.7,99.7,99.7,5.24,99.65,9.06,99.6,60,99.83,99.93,99.7,2790134.1,1052301.7,2790134.1,2024-12-18,1588,9.07,,,,21.69,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,КЧР 2017,RU000A0ZYL22,57,11891528.4,99.5,99.95,99.5,99.5,5.48,99.51,9.11,99.88,11950,99.51,99.51,99.5,11891528.4,11891528.4,11891528.4,2024-12-18,1587,9.11,,,,21.69,,2018-10-12,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,КЧР 2017,RU000A0ZYL22,21,442614.0,99.89,99.99,99.89,99.89,6.2,99.91,9.01,99.89,443,,99.83,99.89,0.0,554054.0,0.0,2024-12-18,1585,9.01,,,,21.69,,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,КЧР 2017,RU000A0ZYL22,15,4487105.8,99.76,99.9,99.9,99.89,6.44,99.82,9.01,99.9,4495,99.82,99.82,99.89,4487105.8,4487105.8,4487105.8,2024-12-18,1584,9.03,,,,21.69,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,КЧР 2017,RU000A0ZYL22,12,1081545.6,99.75,100.12,100.12,100.12,6.67,99.96,8.96,99.94,1082,99.96,99.96,100.12,1081545.6,1081545.6,1081545.6,2024-12-18,1583,9.0,,,,21.69,,2018-10-17,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,КЧР 2017,RU000A0ZYL22,23,275445.7,99.56,100.16,99.93,99.93,6.91,99.8,9.0,99.99,276,,99.93,99.93,0.0,1209096.1,0.0,2024-12-18,1581,9.04,,,,21.69,,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,КЧР 2017,RU000A0ZYL22,47,2423456.4,99.6,100.1,99.69,99.69,7.15,99.69,9.06,99.9,2431,99.69,99.69,99.69,2423456.4,2423456.4,2423456.4,2024-12-18,1580,9.06,,,,21.69,,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,КЧР 2017,RU000A0ZYL22,12,3971053.0,99.5,99.94,99.83,99.5,7.87,99.73,9.03,99.94,3982,99.73,99.73,99.5,3971053.0,3971053.0,3971053.0,2024-12-18,1577,9.05,,,,21.69,,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,КЧР 2017,RU000A0ZYL22,32,599020.0,99.5,99.8,99.5,99.5,8.1,99.5,9.11,99.8,602,99.5,99.5,99.5,599020.0,599020.0,599020.0,2024-12-18,1576,9.11,,,,21.69,,2018-10-23,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,КЧР 2017,RU000A0ZYL22,56,1150174.3,99.2,99.8,99.4,99.4,8.34,99.32,9.14,99.64,1158,99.32,99.32,99.4,1150174.3,1150174.3,1150174.3,2024-12-18,1574,9.16,,,,21.69,,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,КЧР 2017,RU000A0ZYL22,32,333093.9,99.21,99.79,99.76,99.77,8.58,99.43,9.05,99.79,335,,99.28,99.77,0.0,976903.9,0.0,2024-12-18,1574,9.13,,,,21.69,,2018-10-25,1000,SUR,,,,,RUB
