history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;РСГ-ФинБ4;RU000A0ZYLB6;14;453401.2;96.01;97;96.01;96.01;30.74;96.06;13.54;96.9;472;;96.12;96.01;0;500795.1;0;2020-12-17;716;13.51;;;;54.85;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;РСГ-ФинБ4;RU000A0ZYLB6;5;13480.7;96.11;96.87;96.13;96.14;31.04;96.29;13.48;96.11;14;;96.12;96.14;0;512344.1;0;2020-12-17;715;13.38;;;;54.85;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;РСГ-ФинБ4;RU000A0ZYLB6;15;65315.7;96;96.1;96;96.05;31.34;96.05;13.55;96.04;68;;96.04;96.05;0;516709.1;0;2020-12-17;714;13.52;;;;54.85;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;РСГ-ФинБ4;RU000A0ZYLB6;18;570468;95.01;96.74;96.73;96.73;31.64;95.24;13.13;95.65;599;95.24;95.24;96.73;570468;570468;570468;2020-12-17;712;14;;;;54.85;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;РСГ-ФинБ4;RU000A0ZYLB6;4;3872.9;96.73;96.87;96.87;96.82;31.95;96.82;13.05;96.73;4;95.25;95.25;96.82;574340.9;551487.3;574340.9;2020-12-17;712;13.08;;;;54.85;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;РСГ-ФинБ4;RU000A0ZYLB6;1;1934;96.7;96.7;96.7;96.7;32.85;96.7;13.16;96.7;2;95.25;95.25;96.7;576274.9;553421.3;576274.9;2020-12-17;709;13.16;;;;54.85;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;РСГ-ФинБ4;RU000A0ZYLB6;7;59450.2;95.69;96.72;95.69;95.69;33.15;95.89;13.75;96.72;62;;95.38;95.69;0;504538.7;0;2020-12-17;708;13.63;;;;54.85;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;РСГ-ФинБ4;RU000A0ZYLB6;7;62573.2;95.78;96.68;96.4;96.4;33.45;96.27;13.34;95.78;65;;95.49;96.4;0;548108.9;0;2020-12-17;707;13.41;;;;54.85;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;РСГ-ФинБ4;RU000A0ZYLB6;3;15446.5;96.5;96.63;96.5;96.5;33.75;96.54;13.28;96.63;16;;95.52;96.5;0;563555.4;0;2020-12-17;706;13.26;;;;54.85;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;РСГ-ФинБ4;RU000A0ZYLB6;9;152140;95.93;96.5;95.93;95.94;34.05;96.29;13.62;96.5;158;;95.68;95.94;0;715695.4;0;2020-12-17;705;13.41;;;;54.85;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;РСГ-ФинБ4;RU000A0ZYLB6;18;268377.3;96.3;96.62;96.3;96.31;34.96;96.54;13.41;96.62;278;;96.39;96.31;0;526287.1;0;2020-12-17;702;13.27;;;;54.85;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;РСГ-ФинБ4;RU000A0ZYLB6;12;101330.4;96.28;96.61;96.61;96.61;35.26;96.51;13.23;96.57;105;;96.46;96.61;0;506411.7;0;2020-12-17;701;13.29;;;;54.85;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;РСГ-ФинБ4;RU000A0ZYLB6;14;119668.7;96.32;96.72;96.7;96.7;35.56;96.51;13.18;96.41;124;;96.5;96.7;0;508562.4;0;2020-12-17;700;13.29;;;;54.85;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;РСГ-ФинБ4;RU000A0ZYLB6;9;103756.2;95.99;96.7;96;96;35.86;96.07;13.59;96.7;108;;96.44;96;0;573812.4;0;2020-12-17;699;13.55;;;;54.85;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;РСГ-ФинБ4;RU000A0ZYLB6;30;296487;95.9;96.5;95.9;96.03;36.16;96.26;13.66;96.49;308;;96.28;96.03;0;513163.5;0;2020-12-17;698;13.44;;;;54.85;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;РСГ-ФинБ4;RU000A0ZYLB6;11;182802.9;96.01;96.97;96.01;96.11;37.07;96.21;13.6;96.97;190;;96.23;96.11;0;516729.9;0;2020-12-17;695;13.48;;;;54.85;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;РСГ-ФинБ4;RU000A0ZYLB6;15;200552.3;95.93;96.49;95.93;95.94;37.37;95.96;13.65;96.1;209;;96.09;95.94;0;545812.1;0;2020-12-17;694;13.63;;;;54.85;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;РСГ-ФинБ4;RU000A0ZYLB6;14;1277102.3;95.93;96.48;96.48;96.48;37.67;95.95;13.32;96;1331;95.95;95.95;96.48;1277102.3;1277102.3;1277102.3;2020-12-17;693;13.64;;;;54.85;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;РСГ-ФинБ4;RU000A0ZYLB6;24;150353.4;96.02;96.64;96.6;96.19;37.97;96.38;13.25;96.45;156;;95.99;96.19;0;1292990.7;0;2020-12-17;692;13.39;;;;54.85;;2018-10-25;1000;SUR;;;;;RUB
