history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Газпнф1P4R;RU000A0ZYLC4;3;10497.8;94.9;95.88;95.88;95.88;21.52;95.43;8.75;94.9;11;94.5;95;95.88;5394763.3;543381.9;5394763.3;2024-12-12;1791;8.85;;;;38.39;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;Газпнф1P4R;RU000A0ZYLC4;7;11184558.7;95.7;96.2;96.2;96.2;21.73;95.7;8.68;95.7;11687;95.7;95.7;96.2;11195056.5;11195056.5;11195056.5;2024-12-12;1791;8.79;;;;38.39;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;Газпнф1P4R;RU000A0ZYLC4;9;1441404.5;95.7;96;95.7;95.7;21.94;95.71;8.79;95.7;1506;95.7;95.71;95.7;12625963.2;1446214.5;12625963.2;2024-12-12;1790;8.79;;;;38.39;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;Газпнф1P4R;RU000A0ZYLC4;9;599514.8;95.6;96;96;96;22.15;95.92;8.72;95.6;625;95.77;95.92;96;2040919.3;607170.8;2040919.3;2024-12-12;1789;8.74;;;;38.39;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;Газпнф1P4R;RU000A0ZYLC4;9;557880;95.6;96;95.7;95.7;22.36;95.86;8.79;96;582;95.89;95.87;95.7;1157394.8;605880;1157394.8;2024-12-12;1788;8.75;;;;38.39;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;Газпнф1P4R;RU000A0ZYLC4;4;2289344;95;95.6;95;95;22.99;95.35;8.95;95.6;2401;95.45;95.39;95;2847224;2559224;2847224;2024-12-12;1784;8.87;;;;38.39;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;Газпнф1P4R;RU000A0ZYLC4;6;1188075.9;94.8;95.99;95.6;95.6;23.21;94.97;8.81;95;1251;95.22;95.22;95.6;3477419.9;3477419.9;3477419.9;2024-12-12;1782;8.96;;;;38.39;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;Газпнф1P4R;RU000A0ZYLC4;3;91006;94.6;94.8;94.8;94.8;23.42;94.8;9;94.6;96;95.21;94.96;94.8;3568425.9;1280031.9;3568425.9;2024-12-12;1780;9;;;;38.39;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;Газпнф1P4R;RU000A0ZYLC4;10;288289.5;94.5;94.8;94.5;94.5;23.63;94.52;9.07;94.8;305;;94.66;94.5;0;566071.4;0;2024-12-12;1778;9.06;;;;38.39;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;Газпнф1P4R;RU000A0ZYLC4;5;301455;94.5;94.5;94.5;94.5;23.84;94.5;9.07;94.5;319;94.51;94.5;94.5;589744.5;554735;589744.5;2024-12-12;1777;9.07;;;;38.39;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;Газпнф1P4R;RU000A0ZYLC4;5;9633230;94;95;95;95;24.47;94;8.95;94.1;10248;94.02;94.02;95;9934685;9934685;9934685;2024-12-12;1773;9.19;;;;38.39;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;Газпнф1P4R;RU000A0ZYLC4;3;8560.2;95;95.34;95;95;24.68;95.11;8.95;95.34;9;94.02;94;95;9943245.2;9651240.2;9943245.2;2024-12-12;1775;8.93;;;;38.39;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;Газпнф1P4R;RU000A0ZYLC4;19;3502257.9;94.15;94.99;94.17;94.17;24.89;94.17;9.15;94.15;3719;94.17;94.17;94.17;3502257.9;3502257.9;3502257.9;2024-12-12;1771;9.15;;;;38.39;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;Газпнф1P4R;RU000A0ZYLC4;1;950;95;95;95;95;25.1;95;8.96;95;1;94.17;94.18;95;3503207.9;2750007.9;3503207.9;2024-12-12;1773;8.96;;;;38.39;;2018-10-18;1000;SUR;;;;;RUB
