,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,iСЛТ 1Р1,RU000A0ZYLD2,14,1037993.7,99.91,100.0,100.0,100.0,30.74,99.98,11.28,100.0,1038,100.0,100.0,100.0,1037993.7,1037993.7,1037993.7,2020-12-17,645,11.29,,,,54.85,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,iСЛТ 1Р1,RU000A0ZYLD2,24,1548999.4,99.98,100.0,100.0,100.0,31.04,99.99,11.28,100.0,1549,100.0,100.0,100.0,1548999.4,1548999.4,1548999.4,2020-12-17,644,11.29,,,,54.85,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,iСЛТ 1Р1,RU000A0ZYLD2,21,2989929.2,99.92,100.0,100.0,100.0,31.34,99.98,11.28,99.99,2990,100.0,100.0,100.0,2989929.2,2989929.2,2989929.2,2020-12-17,643,11.29,,,,54.85,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,iСЛТ 1Р1,RU000A0ZYLD2,14,1846912.1,99.95,100.0,99.96,99.96,31.64,99.98,11.31,99.99,1847,100.0,100.0,99.96,1846912.1,1846912.1,1846912.1,2020-12-17,642,11.29,,,,54.85,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,iСЛТ 1Р1,RU000A0ZYLD2,10,849993.3,99.95,100.0,100.0,100.0,31.95,99.99,11.28,99.98,850,100.0,100.0,100.0,849993.3,849993.3,849993.3,2020-12-17,641,11.29,,,,54.85,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,iСЛТ 1Р1,RU000A0ZYLD2,29,5988321.3,99.31,100.0,99.99,99.97,32.85,99.58,11.29,100.0,6015,99.56,99.56,99.97,5988321.3,5988321.3,5988321.3,2020-12-17,637,11.54,,,,54.85,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,iСЛТ 1Р1,RU000A0ZYLD2,21,1352726.2,99.85,100.02,99.99,99.99,33.15,99.98,11.29,100.02,1353,99.98,99.98,99.99,1352726.2,1352726.2,1352726.2,2020-12-17,637,11.29,,,,54.85,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,iСЛТ 1Р1,RU000A0ZYLD2,14,1162939.2,99.97,100.0,99.99,99.98,33.45,99.99,11.29,99.99,1163,99.99,99.99,99.98,1162939.2,1162939.2,1162939.2,2020-12-17,636,11.29,,,,54.85,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,iСЛТ 1Р1,RU000A0ZYLD2,25,4527856.5,99.92,100.0,99.99,99.99,33.75,99.98,11.29,99.97,4528,100.0,100.0,99.99,4527856.5,4527856.5,4527856.5,2020-12-17,635,11.29,,,,54.85,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,iСЛТ 1Р1,RU000A0ZYLD2,8,2029998.0,99.98,100.0,100.0,100.0,34.05,99.98,11.28,100.0,2030,100.0,100.0,100.0,6557854.5,3009900.0,6557854.5,2020-12-17,634,11.29,,,,54.85,,2018-10-12,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,iСЛТ 1Р1,RU000A0ZYLD2,18,1098840.0,99.96,100.0,100.0,100.0,34.96,99.98,11.28,100.0,1099,99.99,99.99,100.0,1098840.0,1098840.0,1098840.0,2020-12-17,631,11.29,,,,54.85,,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,iСЛТ 1Р1,RU000A0ZYLD2,32,1800019.3,99.9,100.0,100.0,100.0,35.26,99.95,11.28,100.0,1801,99.95,99.95,100.0,1800019.3,1800019.3,1800019.3,2020-12-17,630,11.31,,,,54.85,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,iСЛТ 1Р1,RU000A0ZYLD2,23,10359596.5,99.85,100.0,100.0,100.0,35.56,99.88,11.28,100.0,10370,99.9,99.9,100.0,10359596.5,10359596.5,10359596.5,2020-12-17,629,11.36,,,,54.85,,2018-10-17,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,iСЛТ 1Р1,RU000A0ZYLD2,16,608980.0,99.99,100.0,100.0,100.0,35.86,99.99,11.28,100.0,609,100.0,100.0,100.0,608980.0,608980.0,608980.0,2020-12-17,628,11.29,,,,54.85,,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,iСЛТ 1Р1,RU000A0ZYLD2,27,3072794.2,99.75,100.0,99.75,99.75,36.16,99.96,11.44,99.99,3074,99.96,99.96,99.75,3072794.2,3072794.2,3072794.2,2020-12-17,627,11.31,,,,54.85,,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,iСЛТ 1Р1,RU000A0ZYLD2,34,14593020.7,99.86,99.99,99.87,99.89,37.07,99.87,11.36,99.98,14610,99.88,99.88,99.89,14593020.7,14593020.7,14593020.7,2020-12-17,624,11.36,,,,54.85,,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,iСЛТ 1Р1,RU000A0ZYLD2,14,6472329.8,99.9,100.0,99.99,99.99,37.37,99.98,11.29,99.99,6473,99.99,99.99,99.99,6472329.8,6472329.8,6472329.8,2020-12-17,623,11.3,,,,54.85,,2018-10-23,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,iСЛТ 1Р1,RU000A0ZYLD2,34,11267984.4,99.8,100.0,99.9,99.9,37.67,99.84,11.35,99.9,11284,99.86,99.86,99.9,11267984.4,11267984.4,11267984.4,2020-12-17,622,11.38,,,,54.85,,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,iСЛТ 1Р1,RU000A0ZYLD2,45,11362363.3,99.92,100.0,99.94,99.95,37.97,99.96,11.32,100.0,11367,99.96,99.96,99.95,11362363.3,11362363.3,11362363.3,2020-12-17,621,11.31,,,,54.85,,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,iСЛТ 1Р1,RU000A0ZYLD2,28,1651120.4,99.5,99.99,99.99,99.99,38.27,99.95,11.29,99.99,1652,99.95,99.95,99.99,1651120.4,1651120.4,1651120.4,2020-12-17,620,11.32,,,,54.85,,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,iСЛТ 1Р1,RU000A0ZYLD2,53,2810486.7,99.41,99.99,99.86,99.88,39.18,99.88,11.37,99.9,2814,99.88,99.88,99.88,2810486.7,2810486.7,2810486.7,2020-12-17,617,11.36,,,,54.85,,2018-10-29,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,iСЛТ 1Р1,RU000A0ZYLD2,34,7801686.0,99.9,99.99,99.95,99.95,39.48,99.94,11.32,99.96,7805,99.96,99.96,99.95,7801686.0,7801686.0,7801686.0,2020-12-17,616,11.32,,,,54.85,,2018-10-30,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,iСЛТ 1Р1,RU000A0ZYLD2,26,4286045.0,99.85,99.99,99.9,99.9,39.78,99.96,11.35,99.9,4288,99.95,99.95,99.9,4286045.0,4286045.0,4286045.0,2020-12-17,615,11.31,,,,54.85,,2018-10-31,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,iСЛТ 1Р1,RU000A0ZYLD2,19,2336808.6,99.9,99.99,99.9,99.9,40.08,99.94,11.35,99.99,2338,99.95,99.95,99.9,2336808.6,2336808.6,2336808.6,2020-12-17,614,11.32,,,,54.85,,2018-11-01,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,iСЛТ 1Р1,RU000A0ZYLD2,31,5571134.5,99.86,99.99,99.98,99.98,40.38,99.95,11.3,99.98,5573,99.97,99.97,99.98,5571134.5,5571134.5,5571134.5,2020-12-17,613,11.32,,,,54.85,,2018-11-02,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,iСЛТ 1Р1,RU000A0ZYLD2,52,2893463.1,99.5,100.0,99.5,99.5,41.59,99.75,11.61,100.0,2901,99.74,99.74,99.5,2893463.1,2893463.1,2893463.1,2020-12-17,609,11.45,,,,54.85,,2018-11-06,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,iСЛТ 1Р1,RU000A0ZYLD2,65,5438892.4,99.03,99.98,99.6,99.6,41.89,99.34,11.54,99.98,5475,99.34,99.34,99.6,5438892.4,5438892.4,5438892.4,2020-12-17,607,11.71,,,,54.85,,2018-11-07,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,iСЛТ 1Р1,RU000A0ZYLD2,29,4879520.8,99.55,99.9,99.65,99.65,42.19,99.77,11.51,99.9,4891,99.77,99.77,99.65,4879520.8,4879520.8,4879520.8,2020-12-17,607,11.43,,,,54.85,,2018-11-08,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,iСЛТ 1Р1,RU000A0ZYLD2,50,7973096.4,99.1,99.98,99.71,99.71,42.49,99.75,11.47,99.85,7983,99.88,99.88,99.71,7973096.4,7973096.4,7973096.4,2020-12-17,606,11.45,,,,54.85,,2018-11-09,1000,SUR,,,,,RUB
29,EQOB,2018-11-12,iСЛТ 1Р1,RU000A0ZYLD2,92,8913667.8,98.99,99.92,99.47,99.47,43.4,99.15,11.63,99.51,8991,99.14,99.14,99.47,8913667.8,8913667.8,8913667.8,2020-12-17,602,11.84,,,,54.85,,2018-11-12,1000,SUR,,,,,RUB
30,EQOB,2018-11-13,iСЛТ 1Р1,RU000A0ZYLD2,38,7495093.2,99.06,99.4,99.1,99.1,43.7,99.11,11.87,99.07,7556,99.19,99.19,99.1,7495093.2,7495093.2,7495093.2,2020-12-17,601,11.87,,,,54.85,,2018-11-13,1000,SUR,,,,,RUB
31,EQOB,2018-11-14,iСЛТ 1Р1,RU000A0ZYLD2,43,8373556.3,98.99,99.43,99.19,99.19,44.0,99.04,11.82,99.43,8453,99.06,99.06,99.19,8373556.3,8373556.3,8373556.3,2020-12-17,600,11.91,,,,54.85,,2018-11-14,1000,SUR,,,,,RUB
32,EQOB,2018-11-15,iСЛТ 1Р1,RU000A0ZYLD2,34,3141910.8,98.96,99.14,99.14,99.14,44.3,99.01,11.85,99.06,3173,99.02,99.02,99.14,3141910.8,3141910.8,3141910.8,2020-12-17,599,11.94,,,,54.85,,2018-11-15,1000,SUR,,,,,RUB
33,EQOB,2018-11-16,iСЛТ 1Р1,RU000A0ZYLD2,45,5787951.7,98.96,99.44,99.29,99.29,44.6,99.1,11.75,98.96,5839,99.13,99.13,99.29,5787951.7,5787951.7,5787951.7,2020-12-17,598,11.88,,,,54.85,,2018-11-16,1000,SUR,,,,,RUB
34,EQOB,2018-11-19,iСЛТ 1Р1,RU000A0ZYLD2,33,3837040.6,98.96,99.34,99.0,99.0,45.51,99.01,11.95,99.2,3875,99.02,99.02,99.0,3837040.6,3837040.6,3837040.6,2020-12-17,595,11.94,,,,54.85,,2018-11-19,1000,SUR,,,,,RUB
35,EQOB,2018-11-20,iСЛТ 1Р1,RU000A0ZYLD2,30,1081868.2,98.96,99.17,98.96,98.97,45.81,99.06,11.98,99.0,1092,99.07,99.07,98.97,1081868.2,1081868.2,1081868.2,2020-12-17,594,11.91,,,,54.85,,2018-11-20,1000,SUR,,,,,RUB
36,EQOB,2018-11-21,iСЛТ 1Р1,RU000A0ZYLD2,106,8641386.4,97.8,99.0,98.0,98.06,46.11,98.36,12.62,98.98,8784,98.38,98.38,98.06,8641386.4,8641386.4,8641386.4,2020-12-17,593,12.38,,,,54.85,,2018-11-21,1000,SUR,,,,,RUB
37,EQOB,2018-11-22,iСЛТ 1Р1,RU000A0ZYLD2,28,3252577.1,97.9,98.43,98.34,98.33,46.41,98.31,12.39,98.35,3308,98.32,98.32,98.33,3252577.1,3252577.1,3252577.1,2020-12-17,592,12.41,,,,54.85,,2018-11-22,1000,SUR,,,,,RUB
38,EQOB,2018-11-23,iСЛТ 1Р1,RU000A0ZYLD2,93,6048384.0,97.8,98.68,98.2,98.2,46.71,98.2,12.49,98.01,6159,98.2,98.2,98.2,6048384.0,6048384.0,6048384.0,2020-12-17,591,12.49,,,,54.85,,2018-11-23,1000,SUR,,,,,RUB
39,EQOB,2018-11-26,iСЛТ 1Р1,RU000A0ZYLD2,37,4535792.7,97.81,98.4,98.39,98.39,47.62,98.02,12.37,97.9,4627,98.03,98.03,98.39,4535792.7,4535792.7,4535792.7,2020-12-17,587,12.62,,,,54.85,,2018-11-26,1000,SUR,,,,,RUB
40,EQOB,2018-11-27,iСЛТ 1Р1,RU000A0ZYLD2,58,3825444.0,97.78,98.28,98.04,98.04,47.92,97.99,12.61,98.2,3903,98.01,98.01,98.04,3825444.0,3825444.0,3825444.0,2020-12-17,586,12.64,,,,54.85,,2018-11-27,1000,SUR,,,,,RUB
41,EQOB,2018-11-28,iСЛТ 1Р1,RU000A0ZYLD2,64,4338282.8,97.75,98.38,98.28,98.28,48.22,97.95,12.45,98.0,4429,97.95,97.95,98.28,4338282.8,4338282.8,4338282.8,2020-12-17,585,12.67,,,,54.85,,2018-11-28,1000,SUR,,,,,RUB
42,EQOB,2018-11-29,iСЛТ 1Р1,RU000A0ZYLD2,73,8681777.9,97.9,98.7,97.9,97.9,48.52,98.03,12.71,98.0,8837,98.24,98.24,97.9,8681777.9,8681777.9,8681777.9,2020-12-17,584,12.62,,,,54.85,,2018-11-29,1000,SUR,,,,,RUB
43,EQOB,2018-11-30,iСЛТ 1Р1,RU000A0ZYLD2,47,3525130.4,97.87,98.36,98.3,98.3,48.82,98.01,12.44,98.01,3596,98.03,98.03,98.3,3525130.4,3525130.4,3525130.4,2020-12-17,583,12.63,,,,54.85,,2018-11-30,1000,SUR,,,,,RUB
44,EQOB,2018-12-03,iСЛТ 1Р1,RU000A0ZYLD2,66,11242187.5,97.75,98.6,98.0,98.0,49.73,98.02,12.65,98.48,11467,98.04,98.04,98.0,11242187.5,11242187.5,11242187.5,2020-12-17,580,12.63,,,,54.85,,2018-12-03,1000,SUR,,,,,RUB
45,EQOB,2018-12-04,iСЛТ 1Р1,RU000A0ZYLD2,85,14351130.7,97.7,98.4,98.19,98.19,50.03,97.84,12.52,98.4,14665,97.86,97.86,98.19,14351130.7,14351130.7,14351130.7,2020-12-17,579,12.76,,,,54.85,,2018-12-04,1000,SUR,,,,,RUB
46,EQOB,2018-12-05,iСЛТ 1Р1,RU000A0ZYLD2,40,3784251.8,97.7,98.21,98.11,98.11,50.33,97.84,12.58,98.21,3867,97.86,97.86,98.11,3784251.8,3784251.8,3784251.8,2020-12-17,578,12.76,,,,54.85,,2018-12-05,1000,SUR,,,,,RUB
47,EQOB,2018-12-06,iСЛТ 1Р1,RU000A0ZYLD2,89,9537559.5,97.48,98.16,98.0,97.99,50.63,97.6,12.66,98.16,9765,97.67,97.67,97.99,9537559.5,9537559.5,9537559.5,2020-12-17,577,12.93,,,,54.85,,2018-12-06,1000,SUR,,,,,RUB
