,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ВЭБПБО1Р10,RU000A0ZYLH3,2,61085.3,99.53,100.15,99.53,99.53,22.92,100.14,8.67,100.15,61,100.0,100.0,99.53,30835960.3,9576960.3,30835960.3,2020-06-18,584,8.26,,,,40.89,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,ВЭБПБО1Р10,RU000A0ZYLH3,6,691244.6,99.6,100.4,100.4,100.4,23.14,99.6,8.09,99.63,694,99.99,99.78,100.4,31527204.9,987799.9,31527204.9,2020-06-18,583,8.62,,,,40.89,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,ВЭБПБО1Р10,RU000A0ZYLH3,15,18515115.6,99.6,99.99,99.99,99.99,23.36,99.63,8.36,99.65,18584,99.63,99.63,99.99,18515115.6,18515115.6,18515115.6,2020-06-18,582,8.6,,,,40.89,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,ВЭБПБО1Р10,RU000A0ZYLH3,0,0.0,,,,99.99,23.59,,8.36,,0,99.63,99.63,99.99,18515115.6,18121680.6,18515115.6,2020-06-18,581,,,,,40.89,,2018-10-03,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,ВЭБПБО1Р10,RU000A0ZYLH3,2,400000.0,100.0,100.0,100.0,100.0,23.81,100.0,8.36,100.0,400,99.64,99.64,100.0,18915115.6,18275668.6,18915115.6,2020-06-18,580,8.36,,,,40.89,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,ВЭБПБО1Р10,RU000A0ZYLH3,3,10991.0,99.5,100.0,99.5,99.55,24.49,99.92,8.69,100.0,11,99.64,99.99,99.55,19617351.2,1804851.6,19617351.2,2020-06-18,577,8.41,,,,40.89,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ВЭБПБО1Р10,RU000A0ZYLH3,5,77887.2,99.5,99.99,99.54,99.85,24.71,99.86,8.67,99.53,78,,99.98,99.85,0.0,588868.2,0.0,2020-06-18,576,8.45,,,,40.89,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ВЭБПБО1Р10,RU000A0ZYLH3,0,0.0,,,,99.85,24.94,,8.67,,0,,99.98,99.85,0.0,588868.2,0.0,2020-06-18,575,,,,,40.89,,2018-10-09,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ВЭБПБО1Р10,RU000A0ZYLH3,2,13026.6,99.12,100.53,99.12,99.12,25.16,100.2,8.95,100.53,13,99.98,99.98,99.12,501904.8,501904.8,501904.8,2020-06-18,574,8.22,,,,40.89,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ВЭБПБО1Р10,RU000A0ZYLH3,11,626441.0,99.23,99.99,99.99,99.99,25.39,99.75,8.36,99.99,628,99.75,99.75,99.99,626441.0,626441.0,626441.0,2020-06-18,573,8.52,,,,40.89,,2018-10-12,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,ВЭБПБО1Р10,RU000A0ZYLH3,5,699074.2,99.6,99.89,99.89,99.89,26.06,99.87,8.43,99.6,700,99.81,99.74,99.89,1325515.2,939566.1,1325515.2,2020-06-18,570,8.44,,,,40.89,,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,ВЭБПБО1Р10,RU000A0ZYLH3,2,12482159.0,99.65,99.65,99.65,99.65,26.28,99.65,8.59,99.65,12526,99.67,99.66,99.65,13807674.2,13364166.0,13807674.2,2020-06-18,569,8.59,,,,40.89,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,ВЭБПБО1Р10,RU000A0ZYLH3,0,0.0,,,,99.65,26.51,99.8,8.59,,0,99.67,99.66,99.65,13820700.8,13364166.0,13820700.8,2020-06-18,568,0.0,,,,40.89,,2018-10-16,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,ВЭБПБО1Р10,RU000A0ZYLH3,2,1005097.0,99.7,100.41,99.7,99.7,26.73,100.41,8.56,100.41,1001,99.72,99.72,99.7,14812771.2,14232325.6,14812771.2,2020-06-18,567,8.08,,,,40.89,,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,ВЭБПБО1Р10,RU000A0ZYLH3,10,3981294.0,99.7,100.53,100.0,99.7,26.96,99.71,8.36,100.53,3993,99.71,99.71,99.7,3981294.0,3981294.0,3981294.0,2020-06-18,566,8.55,,,,40.89,,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,ВЭБПБО1Р10,RU000A0ZYLH3,10,20198438.7,99.7,100.55,99.7,99.7,27.63,100.48,8.56,100.21,20101,100.48,100.48,99.7,20198438.7,20198438.7,20198438.7,2020-06-18,563,8.03,,,,40.89,,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,ВЭБПБО1Р10,RU000A0ZYLH3,6,614559.7,99.7,100.39,99.7,99.7,27.86,99.93,8.56,100.0,615,100.47,100.49,99.7,20812998.4,18819407.9,20812998.4,2020-06-18,562,8.4,,,,40.89,,2018-10-23,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,ВЭБПБО1Р10,RU000A0ZYLH3,2,57995.0,99.95,100.0,99.95,99.95,28.08,99.99,8.39,100.0,58,100.47,99.81,99.95,20870993.4,1400364.7,20870993.4,2020-06-18,561,8.36,,,,40.89,,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,ВЭБПБО1Р10,RU000A0ZYLH3,1,1212420.0,100.2,100.2,100.2,100.2,28.31,100.2,8.22,100.2,1210,100.34,100.03,100.2,26064707.4,2283774.7,26064707.4,2020-06-18,560,8.22,,,,40.89,,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,ВЭБПБО1Р10,RU000A0ZYLH3,1,3011.4,100.38,100.38,100.38,100.38,28.53,100.38,8.1,100.38,3,100.45,100.11,100.38,22086424.8,1887986.1,22086424.8,2020-06-18,559,8.1,,,,40.89,,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,ВЭБПБО1Р10,RU000A0ZYLH3,15,6971745.3,99.5,100.1,99.79,99.51,29.21,99.51,8.5,100.1,7006,99.51,99.51,99.51,6971745.3,6971745.3,6971745.3,2020-06-18,556,8.7,,,,40.89,,2018-10-29,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,ВЭБПБО1Р10,RU000A0ZYLH3,58,1418861.5,99.53,100.03,99.8,99.8,29.43,99.78,8.5,99.87,1422,99.78,99.78,99.8,1418861.5,1418861.5,1418861.5,2020-06-18,555,8.51,,,,40.89,,2018-10-30,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,ВЭБПБО1Р10,RU000A0ZYLH3,10,105828.3,99.65,100.2,100.2,99.7,29.65,99.84,8.22,99.8,106,,99.87,99.7,0.0,586259.9,0.0,2020-06-18,554,8.47,,,,40.89,,2018-10-31,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,ВЭБПБО1Р10,RU000A0ZYLH3,5,43029.9,99.99,100.14,99.99,99.99,29.88,100.07,8.36,100.0,43,,99.89,99.99,0.0,629289.8,0.0,2020-06-18,553,8.31,,,,40.89,,2018-11-01,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,ВЭБПБО1Р10,RU000A0ZYLH3,21,2922927.7,99.67,100.37,99.81,99.77,30.1,100.27,8.49,99.99,2915,100.27,100.27,99.77,2922927.7,2922927.7,2922927.7,2020-06-18,552,8.17,,,,40.89,,2018-11-02,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,ВЭБПБО1Р10,RU000A0ZYLH3,8,5486500.0,99.7,99.8,99.8,99.76,31.0,99.75,8.5,99.8,5500,99.93,99.75,99.76,8409427.7,5488496.1,8409427.7,2020-06-18,548,8.53,,,,40.89,,2018-11-06,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,ВЭБПБО1Р10,RU000A0ZYLH3,1,299970.0,99.99,99.99,99.99,99.99,31.23,99.99,8.37,99.99,300,99.94,99.77,99.99,8709397.7,5787468.1,8709397.7,2020-06-18,547,8.37,,,,40.89,,2018-11-07,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,ВЭБПБО1Р10,RU000A0ZYLH3,6,1426112.2,100.0,100.34,100.34,100.34,31.45,100.01,8.12,100.0,1426,99.81,99.82,100.34,7212582.2,6967206.2,7212582.2,2020-06-18,546,8.35,,,,40.89,,2018-11-08,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,ВЭБПБО1Р10,RU000A0ZYLH3,5,753891.1,99.8,99.99,99.99,99.99,31.68,99.99,8.37,99.99,754,100.0,100.0,99.99,2180003.3,1793003.3,2180003.3,2020-06-18,545,8.37,,,,40.89,,2018-11-09,1000,SUR,,,,,RUB
29,EQOB,2018-11-12,ВЭБПБО1Р10,RU000A0ZYLH3,11,440305.6,99.66,100.0,99.92,99.92,32.35,99.84,8.42,99.98,441,,99.92,99.92,0.0,894260.2,0.0,2020-06-18,542,8.47,,,,40.89,,2018-11-12,1000,SUR,,,,,RUB
30,EQOB,2018-11-13,ВЭБПБО1Р10,RU000A0ZYLH3,0,0.0,,,,99.92,32.58,,8.42,,0,,99.92,99.92,0.0,894260.2,0.0,2020-06-18,541,,,,,40.89,,2018-11-12,1000,SUR,,,,,RUB
